Loan ID,Status,Year,Country,Borrower,Lender,Finance Type,USD (M),Interest Rate,Libor Rate,Grace Period,Term,Purpose,Sector,Contractor,Resource Security,Narratives
"AO.001","Completed",2002,"Angola","Government","CIDCA","ZIL",6,"0",,,,"Luanda Hospital","Health",,,
"AO.002","Signed",2003,"Angola","Government","CIDCA","ZIL",11,"0",,,,"Economic Housing Project","Other social",,,
"AO.003.02","Completed",2005,"Angola","Government","Eximbank","FA-sub",41,,"Libor + 1.5",5,"17","Andulo; Bié and Caála; Huambo; Construction of 2 Agrarian Technical Schools","Education","Sinohydro Ltd.","Oil Exports",
"AO.003.03","Completed",2005,"Angola","Government","Eximbank","FA-sub",15,,"Libor + 1.5",5,"17","Quéssua; Malange; Agrarian Institute Rebuild","Education","China National Machinery Import and Export Corporation (CMC)","Oil Exports",
"AO.003.04","Completed",2005,"Angola","Government","Eximbank","FA-sub",53,,"Libor + 1.5",5,"17","Benguela; 2 Institute of Technology Constructions; Luanda; 4 Institute of Technology Constructions","Education","China National Machinery Import and Export Corporation (CMC)","Oil Exports",
"AO.003.05","Completed",2005,"Angola","Government","Eximbank","FA-sub",16,,"Libor + 1.5",5,"17","Benguela; 1 Secondary School Construction; Luanda; 3 Secondary School Constructions","Education","China National Machinery Import and Export Corporation (CMC)","Oil Exports",
"AO.003.06","Completed",2006,"Angola","Government","Eximbank","FA-sub",9,,"Libor + 1.5",5,"17","Sumbe; Institute of Technology Construction  ","Education","China-Africa Machinery Corporation (CAMACO)","Oil Exports",
"AO.003.07","Completed",2005,"Angola","Government","Eximbank","FA-sub",7,,"Libor + 1.5",5,"17","Malange; 2 Secondary School Constructions","Education","Sinohydro Ltd.","Oil Exports",
"AO.003.08","Completed",2005,"Angola","Government","Eximbank","FA-sub",13,,"Libor + 1.5",5,"17","Huíla; 1 Institute of Technology and 1 Secondary School Construction","Education","Sinohydro Ltd.","Oil Exports",
"AO.003.09","Completed",2005,"Angola","Government","Eximbank","FA-sub",41,,"Libor + 1.5",5,"17","Kwanza-Sul and Kwanza-Norte; 2 Agrarian Technical Schools ","Education","China-Africa Machinery Corporation (CAMACO)","Oil Exports",
"AO.003.10","Completed",2005,"Angola","Government","Eximbank","FA-sub",4,,"Libor + 1.5",5,"17","Ambulances Purchase - 86 Units","Health","Sinohydro Ltd.","Oil Exports",
"AO.003.11","Completed",2005,"Angola","Government","Eximbank","FA-sub",4,,"Libor + 1.5",5,"17","Huambo; Health Care Center","Health","Sinohydro Ltd.","Oil Exports",
"AO.003.12","Completed",2005,"Angola","Government","Eximbank","FA-sub",11,,"Libor + 1.5",5,"17","Malange; 3 Health Care Centers ","Health","Sinohydro Ltd.","Oil Exports",
"AO.003.13","Completed",2005,"Angola","Government","Eximbank","FA-sub",17,,"Libor + 1.5",5,"17","Cazengo; Kwanza-Norte and Sumbe; Kwanza-Sul; Municipal Hospitals ","Health","China-Africa Machinery Corporation (CAMACO)","Oil Exports",
