Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Aruba,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,71.0418806099999
Aruba,2019,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.96194731
Aruba,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.90231745
Aruba,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.52674223
Aruba,2019,Curaçao,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.53893521
Aruba,2019,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,633.601991170001
Aruba,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,534.51364622
Aruba,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,96.9939584100001
Aruba,2019,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13.68951727
Aruba,2019,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12.52425668
Aruba,2019,World,Animal,Export,Export(US$ Mil),0.24189281
Aruba,2019,World,Vegetable,Export,Export(US$ Mil),0.14835186
Aruba,2019,World,Food Products,Export,Export(US$ Mil),36.09412444
Aruba,2019,World,Minerals,Export,Export(US$ Mil),0.00089882
Aruba,2019,World,Fuels,Export,Export(US$ Mil),0.00854997
Aruba,2019,World,Chemicals,Export,Export(US$ Mil),7.53447256
Aruba,2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.38126831
Aruba,2019,World,Hides and Skins,Export,Export(US$ Mil),0.52430573
Aruba,2019,World,Wood,Export,Export(US$ Mil),2.49379972
Aruba,2019,World,Textiles and Clothing,Export,Export(US$ Mil),0.96784251
Aruba,2019,World,Footwear,Export,Export(US$ Mil),0.32750316
Aruba,2019,World,Stone and Glass,Export,Export(US$ Mil),11.98472031
Aruba,2019,World,Metals,Export,Export(US$ Mil),5.38330544
Aruba,2019,World,Mach and Elec,Export,Export(US$ Mil),5.04826442
Aruba,2019,World,Transportation,Export,Export(US$ Mil),3.50412998
Aruba,2019,World,Miscellaneous,Export,Export(US$ Mil),8.98362033
Aruba,2019,World,Raw materials,Export,Export(US$ Mil),4.65411146
Aruba,2019,World,Intermediate goods,Export,Export(US$ Mil),1.93090114
Aruba,2019,World,Consumer goods,Export,Export(US$ Mil),63.89027619
Aruba,2019,World,Capital goods,Export,Export(US$ Mil),8.55632013000001
Aruba,2019,World,Raw materials,Import,Import(US$ Mil),137.49445191
Aruba,2019,World,Intermediate goods,Import,Import(US$ Mil),110.60132134
Aruba,2019,World,Consumer goods,Import,Import(US$ Mil),802.80134333
Aruba,2019,World,Capital goods,Import,Import(US$ Mil),249.40176469
Aruba,2019,World,All Products,Export,Exports (in US$ Mil),83.6270503699999
Aruba,2019,World,All Products,Import,Imports (in US$ Mil),1320.09700684
Aruba,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),161625.987222824
Aruba,2019,...,...,Development,Trade Balance (current US$ Mil),
Aruba,2019,...,...,Development,GDP (current US$ Mil),
Aruba,2019,...,...,Tariff,No. Of Tariff Agreement,1
Aruba,2019,...,...,Import,No. Of Import partners,20
Aruba,2019,...,...,Import,No. Of Import products,3400
Aruba,2019,...,...,Export,No. Of Export partners,10
Aruba,2019,...,...,Export,No. Of Export products,885
Aruba,2019,...,...,Others,Population,106314
Aruba,2019,...,...,Others,CPIA Trade Ratings,
Aruba,2019,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,84.9508
Aruba,2019,Venezuela,All Products,Export,Partner share(%)-Top 5 Export Partner,4.7376
Aruba,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6663
Aruba,2019,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,3.0214
Aruba,2019,Curaçao,All Products,Export,Partner share(%)-Top 5 Export Partner,1.8402
Aruba,2019,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,47.9966
Aruba,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,40.4905
Aruba,2019,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3475
Aruba,2019,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,1.037
Aruba,2019,Panama,All Products,Import,Partner share(%)-Top 5 Import Partner,0.9487
Aruba,2019,World,Animal,Export,Export Product share(%),0.2893
Aruba,2019,World,Vegetable,Export,Export Product share(%),0.1774
Aruba,2019,World,Food Products,Export,Export Product share(%),43.1608
Aruba,2019,World,Minerals,Export,Export Product share(%),0.0011
Aruba,2019,World,Fuels,Export,Export Product share(%),0.0102
Aruba,2019,World,Chemicals,Export,Export Product share(%),9.0096
Aruba,2019,World,Plastic or Rubber,Export,Export Product share(%),0.4559
Aruba,2019,World,Hides and Skins,Export,Export Product share(%),0.627
Aruba,2019,World,Wood,Export,Export Product share(%),2.982
Aruba,2019,World,Textiles and Clothing,Export,Export Product share(%),1.1573
Aruba,2019,World,Footwear,Export,Export Product share(%),0.3916
Aruba,2019,World,Stone and Glass,Export,Export Product share(%),14.3312
Aruba,2019,World,Metals,Export,Export Product share(%),6.4373
Aruba,2019,World,Mach and Elec,Export,Export Product share(%),6.0366
Aruba,2019,World,Transportation,Export,Export Product share(%),4.1902
Aruba,2019,World,Miscellaneous,Export,Export Product share(%),10.7425
Aruba,2019,World,Raw materials,Export,Export Product share(%),5.5653
Aruba,2019,World,Intermediate goods,Export,Export Product share(%),2.3089
Aruba,2019,World,Consumer goods,Export,Export Product share(%),76.3991
Aruba,2019,World,Capital goods,Export,Export Product share(%),10.2315
Aruba,2019,World,Raw materials,Import,Import Product share(%),10.4155
Aruba,2019,World,Intermediate goods,Import,Import Product share(%),8.3783
Aruba,2019,World,Consumer goods,Import,Import Product share(%),60.8138
Aruba,2019,World,Capital goods,Import,Import Product share(%),18.8927
Aruba,2019,World,Raw materials,Tariff,Weighted Average (%),1.08037584169649
Aruba,2019,World,Intermediate goods,Tariff,Weighted Average (%),28.6941298210187
Aruba,2019,World,Consumer goods,Tariff,Weighted Average (%),11.6061494440899
Aruba,2019,World,Capital goods,Tariff,Weighted Average (%),12.4609903194663
Aruba,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Aruba,2019,World,All Products,Trade Indicator,Country Growth (%),-33.3399849481963
Aruba,2019,World,All Products,Tariff,Simple Average (%),10.9218367660905
Aruba,2019,World,All Products,Tariff,Weighted Average (%),12.1207805233201
Aruba,2019,World,All Products,Tariff,Maximum Rate (%),3000
Aruba,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),8.76666040923597
Aruba,2019,...,...,Trade Indicator,Index of export market penetration,1.2350114894506
Aruba,2019,...,...,Trade Indicator,HH Market concentration index,0.340648798967167
Aruba,2019,...,...,Development,Trade Balance (% of GDP),
Aruba,2019,...,...,Development,Trade in services (% of GDP),
Aruba,2019,...,...,Development,Trade (% of GDP),
Aruba,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",
