Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Albania,2018,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1381.26165001467
Albania,2018,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,325.425974399689
Albania,2018,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,223.944894552417
Albania,2018,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,124.48058773977
Albania,2018,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,121.498212773932
Albania,2018,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1623.65504020331
Albania,2018,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,501.941661210723
Albania,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,498.572059323932
Albania,2018,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,482.804336282346
Albania,2018,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,459.373031018679
Albania,2018,World,Animal,Export,Export(US$ Mil),7.99925171076738
Albania,2018,World,Vegetable,Export,Export(US$ Mil),109.851480873494
Albania,2018,World,Food Products,Export,Export(US$ Mil),107.182091993068
Albania,2018,World,Minerals,Export,Export(US$ Mil),139.199130644445
Albania,2018,World,Fuels,Export,Export(US$ Mil),383.265295079126
Albania,2018,World,Chemicals,Export,Export(US$ Mil),17.0312219615216
Albania,2018,World,Plastic or Rubber,Export,Export(US$ Mil),24.4984896367291
Albania,2018,World,Hides and Skins,Export,Export(US$ Mil),25.2665102919359
Albania,2018,World,Wood,Export,Export(US$ Mil),89.2935107885678
Albania,2018,World,Textiles and Clothing,Export,Export(US$ Mil),583.098716643858
Albania,2018,World,Footwear,Export,Export(US$ Mil),563.239094248727
Albania,2018,World,Stone and Glass,Export,Export(US$ Mil),20.0574717504758
Albania,2018,World,Metals,Export,Export(US$ Mil),472.907100529205
Albania,2018,World,Mach and Elec,Export,Export(US$ Mil),3.00663082053618
Albania,2018,World,Transportation,Export,Export(US$ Mil),20.3543179028033
Albania,2018,World,Miscellaneous,Export,Export(US$ Mil),309.609463889948
Albania,2018,World,Raw materials,Export,Export(US$ Mil),152.138964479877
Albania,2018,World,Intermediate goods,Export,Export(US$ Mil),348.879819931884
Albania,2018,World,Consumer goods,Export,Export(US$ Mil),693.939839758893
Albania,2018,World,Capital goods,Export,Export(US$ Mil),3.3380557592997
Albania,2018,World,Raw materials,Import,Import(US$ Mil),210.871246611182
Albania,2018,World,Intermediate goods,Import,Import(US$ Mil),757.243013859767
Albania,2018,World,Consumer goods,Import,Import(US$ Mil),1814.78090191332
Albania,2018,World,Capital goods,Import,Import(US$ Mil),446.824034637035
Albania,2018,World,All Products,Export,Exports (in US$ Mil),2875.85977876521
Albania,2018,World,All Products,Import,Imports (in US$ Mil),5941.28694948696
Albania,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2615004.04695548
Albania,2019,...,...,Development,Trade Balance (current US$ Mil),-2105.531126
Albania,2019,...,...,Development,GDP (current US$ Mil),15279.18329
Albania,2018,...,...,Tariff,No. Of Tariff Agreement,5
Albania,2018,...,...,Import,No. Of Import partners,184
Albania,2018,...,...,Import,No. Of Import products,2410
Albania,2018,...,...,Export,No. Of Export partners,127
Albania,2018,...,...,Export,No. Of Export products,415
Albania,2019,...,...,Others,Population,2854191
Albania,2019,...,...,Others,Ease of Doing Business Rank,82
Albania,2019,...,...,Others,Trading Across Borders Rank,25
Albania,2019,...,...,Others,CPIA Trade Ratings,
Albania,2018,...,...,Others,LPI Rank,88
Albania,2018,...,...,Others,LPI Score,2.66
Albania,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0691712
Albania,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0691712
Albania,,...,...,Others,Services Trade Restrictions Index - Over All,19.4
Albania,2018,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,48.0295
Albania,2018,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Partner share(%)-Top 5 Export Partner,11.3158
Albania,2018,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,7.7871
Albania,2018,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3285
Albania,2018,Greece,All Products,Export,Partner share(%)-Top 5 Export Partner,4.2248
Albania,2018,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,27.3283
Albania,2018,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,8.4484
