Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Andorra,2018,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,79.9059303958001
Andorra,2018,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23.6528084193825
Andorra,2018,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.83588162427413
Andorra,2018,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.91545884892586
Andorra,2018,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.53592594498901
Andorra,2018,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1033.55091460518
Andorra,2018,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,211.79159406595
Andorra,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,58.6287628827927
Andorra,2018,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,57.7234050111098
Andorra,2018,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,55.4843272496734
Andorra,2018,World,Animal,Export,Export(US$ Mil),0.064644205778214
Andorra,2018,World,Vegetable,Export,Export(US$ Mil),0.133472187610861
Andorra,2018,World,Food Products,Export,Export(US$ Mil),0.556144290241145
Andorra,2018,World,Minerals,Export,Export(US$ Mil),0.441643077351325
Andorra,2018,World,Fuels,Export,Export(US$ Mil),0.01765486297227
Andorra,2018,World,Chemicals,Export,Export(US$ Mil),4.22935950295665
Andorra,2018,World,Plastic or Rubber,Export,Export(US$ Mil),0.713185038349639
Andorra,2018,World,Hides and Skins,Export,Export(US$ Mil),1.11798283722628
Andorra,2018,World,Wood,Export,Export(US$ Mil),9.4763113629446
Andorra,2018,World,Textiles and Clothing,Export,Export(US$ Mil),8.8773773993908
Andorra,2018,World,Footwear,Export,Export(US$ Mil),3.38239010474961
Andorra,2018,World,Stone and Glass,Export,Export(US$ Mil),5.44882835440783
Andorra,2018,World,Metals,Export,Export(US$ Mil),5.83042596053813
Andorra,2018,World,Mach and Elec,Export,Export(US$ Mil),43.0941001250756
Andorra,2018,World,Transportation,Export,Export(US$ Mil),23.9313869694948
Andorra,2018,World,Miscellaneous,Export,Export(US$ Mil),22.1332447361041
Andorra,2018,World,Raw materials,Export,Export(US$ Mil),5.52559797498
Andorra,2018,World,Intermediate goods,Export,Export(US$ Mil),6.39059512797443
Andorra,2018,World,Consumer goods,Export,Export(US$ Mil),71.9355608784089
Andorra,2018,World,Capital goods,Export,Export(US$ Mil),45.1441600083442
Andorra,2018,World,Raw materials,Import,Import(US$ Mil),76.1708021174955
Andorra,2018,World,Intermediate goods,Import,Import(US$ Mil),130.839867969959
Andorra,2018,World,Consumer goods,Import,Import(US$ Mil),1158.5313642233
Andorra,2018,World,Capital goods,Import,Import(US$ Mil),242.71173084736
Andorra,2018,World,All Products,Export,Exports (in US$ Mil),129.448151015192
Andorra,2018,World,All Products,Import,Imports (in US$ Mil),1609.39424925538
Andorra,2019,...,...,Development,Trade Balance (current US$ Mil),
Andorra,2019,...,...,Development,GDP (current US$ Mil),3154.057987
Andorra,2018,...,...,Import,No. Of Import partners,137
Andorra,2018,...,...,Import,No. Of Import products,3037
Andorra,2018,...,...,Export,No. Of Export partners,120
Andorra,2018,...,...,Export,No. Of Export products,1091
Andorra,2019,...,...,Others,Population,77142
Andorra,2019,...,...,Others,CPIA Trade Ratings,
Andorra,2018,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,61.7281
Andorra,2018,France,All Products,Export,Partner share(%)-Top 5 Export Partner,18.272
Andorra,2018,Norway,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7358
