Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
United Arab Emirates,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,201871.137538211
United Arab Emirates,2019,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23993.3414931881
United Arab Emirates,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14667.5497955059
United Arab Emirates,2019,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13739.8232744925
United Arab Emirates,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13656.2618576318
United Arab Emirates,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,40777.6583034298
United Arab Emirates,2019,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39371.1511955703
United Arab Emirates,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26735.3112545326
United Arab Emirates,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20015.5610048094
United Arab Emirates,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12613.9317734441
United Arab Emirates,2019,World,Animal,Export,Export(US$ Mil),1886.10936921281
United Arab Emirates,2019,World,Vegetable,Export,Export(US$ Mil),3310.46592932868
United Arab Emirates,2019,World,Food Products,Export,Export(US$ Mil),8319.57119224928
United Arab Emirates,2019,World,Minerals,Export,Export(US$ Mil),1299.68630300538
United Arab Emirates,2019,World,Fuels,Export,Export(US$ Mil),213243.307422011
United Arab Emirates,2019,World,Chemicals,Export,Export(US$ Mil),8690.92494971756
United Arab Emirates,2019,World,Plastic or Rubber,Export,Export(US$ Mil),7709.51987986698
United Arab Emirates,2019,World,Hides and Skins,Export,Export(US$ Mil),497.75231556504
United Arab Emirates,2019,World,Wood,Export,Export(US$ Mil),2031.00344457486
United Arab Emirates,2019,World,Textiles and Clothing,Export,Export(US$ Mil),4682.97052499186
United Arab Emirates,2019,World,Footwear,Export,Export(US$ Mil),1086.10745854404
United Arab Emirates,2019,World,Stone and Glass,Export,Export(US$ Mil),49234.7762950195
United Arab Emirates,2019,World,Metals,Export,Export(US$ Mil),16714.9888207219
United Arab Emirates,2019,World,Mach and Elec,Export,Export(US$ Mil),48879.454694584
United Arab Emirates,2019,World,Transportation,Export,Export(US$ Mil),15643.7484114961
United Arab Emirates,2019,World,Miscellaneous,Export,Export(US$ Mil),6142.11813720824
United Arab Emirates,2019,World,Raw materials,Export,Export(US$ Mil),137411.982458663
United Arab Emirates,2019,World,Intermediate goods,Export,Export(US$ Mil),50750.8445849769
United Arab Emirates,2019,World,Consumer goods,Export,Export(US$ Mil),147794.179048509
United Arab Emirates,2019,World,Capital goods,Export,Export(US$ Mil),53357.8789483312
United Arab Emirates,2019,World,Raw materials,Import,Import(US$ Mil),19473.5591438485
United Arab Emirates,2019,World,Intermediate goods,Import,Import(US$ Mil),69966.2537454358
United Arab Emirates,2019,World,Consumer goods,Import,Import(US$ Mil),125773.893289474
United Arab Emirates,2019,World,Capital goods,Import,Import(US$ Mil),73163.464140755
