Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Argentina,2019,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10385.4633864
Argentina,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6817.85279941
Argentina,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4109.53199338
Argentina,2019,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3069.24081941
Argentina,2019,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2806.23809366
Argentina,2019,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10093.94294987
Argentina,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9258.74437535999
Argentina,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6273.63618244001
Argentina,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2765.8726214
Argentina,2019,Paraguay,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1646.75747626
Argentina,2019,World,Animal,Export,Export(US$ Mil),6454.63912319
Argentina,2019,World,Vegetable,Export,Export(US$ Mil),20010.05363148
Argentina,2019,World,Food Products,Export,Export(US$ Mil),12250.61860362
Argentina,2019,World,Minerals,Export,Export(US$ Mil),245.8313309
Argentina,2019,World,Fuels,Export,Export(US$ Mil),3014.47175154
Argentina,2019,World,Chemicals,Export,Export(US$ Mil),2789.76865073
Argentina,2019,World,Plastic or Rubber,Export,Export(US$ Mil),1124.72512698
Argentina,2019,World,Hides and Skins,Export,Export(US$ Mil),548.45538993
Argentina,2019,World,Wood,Export,Export(US$ Mil),526.10555951
Argentina,2019,World,Textiles and Clothing,Export,Export(US$ Mil),487.01009412
Argentina,2019,World,Footwear,Export,Export(US$ Mil),9.68927736
Argentina,2019,World,Stone and Glass,Export,Export(US$ Mil),2301.63972371
Argentina,2019,World,Metals,Export,Export(US$ Mil),1890.92362185
Argentina,2019,World,Mach and Elec,Export,Export(US$ Mil),975.01396762
Argentina,2019,World,Transportation,Export,Export(US$ Mil),6558.64590093
Argentina,2019,World,Miscellaneous,Export,Export(US$ Mil),5926.53590602999
Argentina,2019,World,Raw materials,Export,Export(US$ Mil),21288.54837097
Argentina,2019,World,Intermediate goods,Export,Export(US$ Mil),19553.44867379
Argentina,2019,World,Consumer goods,Export,Export(US$ Mil),6547.96231641
Argentina,2019,World,Capital goods,Export,Export(US$ Mil),5180.310327
Argentina,2019,World,Raw materials,Import,Import(US$ Mil),3203.27659034
Argentina,2019,World,Intermediate goods,Import,Import(US$ Mil),12697.08368722
Argentina,2019,World,Consumer goods,Import,Import(US$ Mil),14724.82809681
Argentina,2019,World,Capital goods,Import,Import(US$ Mil),17909.61150333
Argentina,2019,World,All Products,Export,Exports (in US$ Mil),65114.1276595
Argentina,2019,World,All Products,Import,Imports (in US$ Mil),49125.02997595
Argentina,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),18629992.21174
Argentina,2019,...,...,Development,Trade Balance (current US$ Mil),10030.374538
Argentina,2019,...,...,Development,GDP (current US$ Mil),445445
Argentina,2019,...,...,Tariff,No. Of Tariff Agreement,62
Argentina,2019,...,...,Import,No. Of Import partners,184
Argentina,2019,...,...,Import,No. Of Import products,4033
Argentina,2019,...,...,Export,No. Of Export partners,168
Argentina,2019,...,...,Export,No. Of Export products,1736
Argentina,2019,...,...,Others,Population,44938712
Argentina,2019,...,...,Others,Ease of Doing Business Rank,126
Argentina,2019,...,...,Others,Trading Across Borders Rank,119
Argentina,2019,...,...,Others,CPIA Trade Ratings,
Argentina,2018,...,...,Others,LPI Rank,61
Argentina,2018,...,...,Others,LPI Score,2.89
Argentina,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
Argentina,2014,...,...,Others,No Of NTM Measures,73
Argentina,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0916354
Argentina,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1447481
Argentina,,...,...,Others,Services Trade Restrictions Index - Over All,17
Argentina,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,3.022084475
Argentina,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.992624998
Argentina,2019,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,15.9496
Argentina,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,10.4706
Argentina,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,6.3113
Argentina,2019,Chile,All Products,Export,Partner share(%)-Top 5 Export Partner,4.7136
Argentina,2019,Vietnam,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3097
Argentina,2019,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,20.5475
Argentina,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,18.8473
Argentina,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,12.7708
Argentina,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6303
Argentina,2019,Paraguay,All Products,Import,Partner share(%)-Top 5 Import Partner,3.3522
Argentina,2019,World,Animal,Export,Export Product share(%),9.9128
Argentina,2019,World,Vegetable,Export,Export Product share(%),30.7307
Argentina,2019,World,Food Products,Export,Export Product share(%),18.8141
