Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Armenia,2019,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,719.71889547
Armenia,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,457.8162416
Armenia,2019,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,207.41135177
Armenia,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,193.68198366
Armenia,2019,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,177.27195884
Armenia,2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1489.34505555
Armenia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,748.023776880001
Armenia,2019,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,324.70217148
Armenia,2019,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,265.41267677
Armenia,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,253.86682412
Armenia,2019,World,Animal,Export,Export(US$ Mil),51.32440799
Armenia,2019,World,Vegetable,Export,Export(US$ Mil),82.05457076
Armenia,2019,World,Food Products,Export,Export(US$ Mil),642.15666227
Armenia,2019,World,Minerals,Export,Export(US$ Mil),674.05980701
Armenia,2019,World,Fuels,Export,Export(US$ Mil),68.87725506
Armenia,2019,World,Chemicals,Export,Export(US$ Mil),34.12424803
Armenia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),13.63393807
Armenia,2019,World,Hides and Skins,Export,Export(US$ Mil),8.6700406
Armenia,2019,World,Wood,Export,Export(US$ Mil),2.97612338
Armenia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),169.26509678
Armenia,2019,World,Footwear,Export,Export(US$ Mil),2.58712936
Armenia,2019,World,Stone and Glass,Export,Export(US$ Mil),430.62893419
Armenia,2019,World,Metals,Export,Export(US$ Mil),261.05969199
Armenia,2019,World,Mach and Elec,Export,Export(US$ Mil),41.15783893
Armenia,2019,World,Transportation,Export,Export(US$ Mil),28.87654061
Armenia,2019,World,Miscellaneous,Export,Export(US$ Mil),108.61716408
Armenia,2019,World,Raw materials,Export,Export(US$ Mil),904.07209435
Armenia,2019,World,Intermediate goods,Export,Export(US$ Mil),555.88903753
Armenia,2019,World,Consumer goods,Export,Export(US$ Mil),1058.3641332
Armenia,2019,World,Capital goods,Export,Export(US$ Mil),99.88273444
Armenia,2019,World,Raw materials,Import,Import(US$ Mil),484.25083702
Armenia,2019,World,Intermediate goods,Import,Import(US$ Mil),1135.00906372
Armenia,2019,World,Consumer goods,Import,Import(US$ Mil),2397.36176184
Armenia,2019,World,Capital goods,Import,Import(US$ Mil),1052.76911872
Armenia,2019,World,All Products,Export,Exports (in US$ Mil),2620.06944911
Armenia,2019,World,All Products,Import,Imports (in US$ Mil),5071.64443369
Armenia,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2229356.45753
Armenia,2019,...,...,Development,Trade Balance (current US$ Mil),-1826.583099
Armenia,2019,...,...,Development,GDP (current US$ Mil),13672.802158
Armenia,2019,...,...,Tariff,No. Of Tariff Agreement,6
Armenia,2019,...,...,Import,No. Of Import partners,179
Armenia,2019,...,...,Import,No. Of Import products,3907
Armenia,2019,...,...,Export,No. Of Export partners,92
Armenia,2019,...,...,Export,No. Of Export products,1925
Armenia,2019,...,...,Others,Population,2957731
Armenia,2019,...,...,Others,Ease of Doing Business Rank,47
