Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Australia,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,102995.845332671
Australia,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,39454.9551602302
Australia,2019,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17463.8688660737
Australia,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10570.2639664292
Australia,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10170.5114884929
Australia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,56946.5562585551
Australia,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26226.4102561519
Australia,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15471.9581260646
Australia,2019,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10667.0310221903
Australia,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10527.5729100506
Australia,2019,World,Animal,Export,Export(US$ Mil),15859.144332704
Australia,2019,World,Vegetable,Export,Export(US$ Mil),8439.62314124019
Australia,2019,World,Food Products,Export,Export(US$ Mil),5886.34737145713
Australia,2019,World,Minerals,Export,Export(US$ Mil),77275.6184869603
Australia,2019,World,Fuels,Export,Export(US$ Mil),50418.571239025
Australia,2019,World,Chemicals,Export,Export(US$ Mil),8668.79634138633
Australia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),1062.72633162768
Australia,2019,World,Hides and Skins,Export,Export(US$ Mil),594.003548384981
Australia,2019,World,Wood,Export,Export(US$ Mil),2732.35989374366
Australia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),3782.48204537228
Australia,2019,World,Footwear,Export,Export(US$ Mil),75.2472439077693
Australia,2019,World,Stone and Glass,Export,Export(US$ Mil),17583.8475303347
Australia,2019,World,Metals,Export,Export(US$ Mil),10448.3335678502
Australia,2019,World,Mach and Elec,Export,Export(US$ Mil),8212.7709339989
Australia,2019,World,Transportation,Export,Export(US$ Mil),3600.11247553947
Australia,2019,World,Miscellaneous,Export,Export(US$ Mil),51737.2411316885
Australia,2019,World,Raw materials,Export,Export(US$ Mil),152839.721598849
Australia,2019,World,Intermediate goods,Export,Export(US$ Mil),36796.4973172241
Australia,2019,World,Consumer goods,Export,Export(US$ Mil),16641.0508690953
Australia,2019,World,Capital goods,Export,Export(US$ Mil),12619.4095536527
Australia,2019,World,Raw materials,Import,Import(US$ Mil),13262.5582989532
Australia,2019,World,Intermediate goods,Import,Import(US$ Mil),30698.2249923507
Australia,2019,World,Consumer goods,Import,Import(US$ Mil),99534.39640877
Australia,2019,World,Capital goods,Import,Import(US$ Mil),72153.4800384771
Australia,2019,World,All Products,Export,Exports (in US$ Mil),266377.225615221
Australia,2019,World,All Products,Import,Imports (in US$ Mil),221481.291585121
Australia,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),157611577.675288
Australia,2019,...,...,Development,Trade Balance (current US$ Mil),35075
Australia,2019,...,...,Development,GDP (current US$ Mil),1396570
