Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Burundi,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,70.43056479
Burundi,2019,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19.89783972
Burundi,2019,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.09480414
Burundi,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10.31002138
Burundi,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.56278061
Burundi,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,136.21922226
Burundi,2019,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,134.514609
Burundi,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,70.04338899
Burundi,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,61.16552919
Burundi,2019,Tanzania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,48.75720309
Burundi,2019,World,Animal,Export,Export(US$ Mil),0.13965482
Burundi,2019,World,Vegetable,Export,Export(US$ Mil),71.04591156
Burundi,2019,World,Food Products,Export,Export(US$ Mil),9.46738986
Burundi,2019,World,Minerals,Export,Export(US$ Mil),13.24178016
Burundi,2019,World,Fuels,Export,Export(US$ Mil),4.76272347
Burundi,2019,World,Chemicals,Export,Export(US$ Mil),1.47333758
Burundi,2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.59628869
Burundi,2019,World,Hides and Skins,Export,Export(US$ Mil),1.00972669
Burundi,2019,World,Wood,Export,Export(US$ Mil),0.07671964
Burundi,2019,World,Textiles and Clothing,Export,Export(US$ Mil),0.59165474
Burundi,2019,World,Footwear,Export,Export(US$ Mil),0.01329639
Burundi,2019,World,Stone and Glass,Export,Export(US$ Mil),68.11633623
Burundi,2019,World,Metals,Export,Export(US$ Mil),3.79386272
Burundi,2019,World,Mach and Elec,Export,Export(US$ Mil),3.19943236
Burundi,2019,World,Transportation,Export,Export(US$ Mil),2.74819517
Burundi,2019,World,Miscellaneous,Export,Export(US$ Mil),0.4408906
Burundi,2019,World,Raw materials,Export,Export(US$ Mil),54.17875131
Burundi,2019,World,Intermediate goods,Export,Export(US$ Mil),82.24121613
Burundi,2019,World,Consumer goods,Export,Export(US$ Mil),38.58405458
Burundi,2019,World,Capital goods,Export,Export(US$ Mil),5.68098876
Burundi,2019,World,Raw materials,Import,Import(US$ Mil),64.3574588
Burundi,2019,World,Intermediate goods,Import,Import(US$ Mil),227.45257846
Burundi,2019,World,Consumer goods,Import,Import(US$ Mil),469.460510080001
Burundi,2019,World,Capital goods,Import,Import(US$ Mil),123.07081554
Burundi,2019,World,All Products,Export,Exports (in US$ Mil),180.71720068
Burundi,2019,World,All Products,Import,Imports (in US$ Mil),887.018854510001
Burundi,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),118986.705752194
Burundi,2019,...,...,Development,Trade Balance (current US$ Mil),-710.7597256
Burundi,2019,...,...,Development,GDP (current US$ Mil),3012.334882
Burundi,2019,...,...,Tariff,No. Of Tariff Agreement,5
Burundi,2019,...,...,Import,No. Of Import partners,122
Burundi,2019,...,...,Import,No. Of Import products,2898
Burundi,2019,...,...,Export,No. Of Export partners,67
Burundi,2019,...,...,Export,No. Of Export products,698
Burundi,2019,...,...,Others,Population,11530580
Burundi,2019,...,...,Others,Ease of Doing Business Rank,166
Burundi,2019,...,...,Others,Trading Across Borders Rank,169
Burundi,2019,...,...,Others,CPIA Trade Ratings,4
Burundi,2018,...,...,Others,LPI Rank,158
Burundi,2018,...,...,Others,LPI Score,2.06
Burundi,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0703175
Burundi,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0985606
Burundi,,...,...,Others,Services Trade Restrictions Index - Over All,20.2
Burundi,2019,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,38.9728
Burundi,2019,"Congo, Dem. Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,11.0105
Burundi,2019,Pakistan,All Products,Export,Partner share(%)-Top 5 Export Partner,6.1393
Burundi,2019,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,5.7051
Burundi,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,3.6315
Burundi,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,15.357
Burundi,2019,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,15.1648
Burundi,2019,India,All Products,Import,Partner share(%)-Top 5 Import Partner,7.8965
Burundi,2019,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,6.8956
Burundi,2019,Tanzania,All Products,Import,Partner share(%)-Top 5 Import Partner,5.4967
Burundi,2019,World,Animal,Export,Export Product share(%),0.0773
Burundi,2019,World,Vegetable,Export,Export Product share(%),39.3133
