Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Burkina Faso,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1791.28186086
Burkina Faso,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,574.33379885
Burkina Faso,2019,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,211.40192236
Burkina Faso,2019,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,178.49761741
Burkina Faso,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,104.66514183
Burkina Faso,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,519.47623116
Burkina Faso,2019,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,451.62317941
Burkina Faso,2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,335.83590121
Burkina Faso,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,312.12693939
Burkina Faso,2019,Ghana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,293.10810143
Burkina Faso,2019,World,Animal,Export,Export(US$ Mil),1.04866784
Burkina Faso,2019,World,Vegetable,Export,Export(US$ Mil),308.83038837
Burkina Faso,2019,World,Food Products,Export,Export(US$ Mil),15.34298981
Burkina Faso,2019,World,Minerals,Export,Export(US$ Mil),8.56439878
Burkina Faso,2019,World,Fuels,Export,Export(US$ Mil),19.97567112
Burkina Faso,2019,World,Chemicals,Export,Export(US$ Mil),13.63078528
Burkina Faso,2019,World,Plastic or Rubber,Export,Export(US$ Mil),4.52457118
Burkina Faso,2019,World,Hides and Skins,Export,Export(US$ Mil),0.1464021
Burkina Faso,2019,World,Wood,Export,Export(US$ Mil),0.26417068
Burkina Faso,2019,World,Textiles and Clothing,Export,Export(US$ Mil),357.03449638
Burkina Faso,2019,World,Footwear,Export,Export(US$ Mil),0.03885914
Burkina Faso,2019,World,Stone and Glass,Export,Export(US$ Mil),2273.11187934
Burkina Faso,2019,World,Metals,Export,Export(US$ Mil),172.59998508
Burkina Faso,2019,World,Mach and Elec,Export,Export(US$ Mil),38.13076487
Burkina Faso,2019,World,Transportation,Export,Export(US$ Mil),44.42572829
Burkina Faso,2019,World,Miscellaneous,Export,Export(US$ Mil),5.37122367
Burkina Faso,2019,World,Raw materials,Export,Export(US$ Mil),626.11836152
Burkina Faso,2019,World,Intermediate goods,Export,Export(US$ Mil),2468.6759396
Burkina Faso,2019,World,Consumer goods,Export,Export(US$ Mil),86.4378016
Burkina Faso,2019,World,Capital goods,Export,Export(US$ Mil),81.80887921
Burkina Faso,2019,World,Raw materials,Import,Import(US$ Mil),91.53872294
Burkina Faso,2019,World,Intermediate goods,Import,Import(US$ Mil),832.653483909999
