Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bahrain,2018,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6898.30499984409
Bahrain,2018,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1910.68210367101
Bahrain,2018,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,877.926308458983
Bahrain,2018,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,682.752561431217
Bahrain,2018,Oman,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,654.59470823117
Bahrain,2018,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6813.97740678064
Bahrain,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1877.51934352816
Bahrain,2018,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1308.89382541638
Bahrain,2018,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1205.60653227898
Bahrain,2018,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,945.574624969196
Bahrain,2018,World,Animal,Export,Export(US$ Mil),213.076018760411
Bahrain,2018,World,Vegetable,Export,Export(US$ Mil),22.9890994633544
Bahrain,2018,World,Food Products,Export,Export(US$ Mil),360.137726510156
Bahrain,2018,World,Minerals,Export,Export(US$ Mil),992.391713444014
Bahrain,2018,World,Fuels,Export,Export(US$ Mil),6924.81262291759
Bahrain,2018,World,Chemicals,Export,Export(US$ Mil),668.711237174937
Bahrain,2018,World,Plastic or Rubber,Export,Export(US$ Mil),202.799267195595
Bahrain,2018,World,Hides and Skins,Export,Export(US$ Mil),10.5076169748334
Bahrain,2018,World,Wood,Export,Export(US$ Mil),125.102542705035
Bahrain,2018,World,Textiles and Clothing,Export,Export(US$ Mil),224.16050125547
Bahrain,2018,World,Footwear,Export,Export(US$ Mil),25.6205300691393
Bahrain,2018,World,Stone and Glass,Export,Export(US$ Mil),358.138505693321
Bahrain,2018,World,Metals,Export,Export(US$ Mil),3179.55054597909
Bahrain,2018,World,Mach and Elec,Export,Export(US$ Mil),394.541052568854
Bahrain,2018,World,Transportation,Export,Export(US$ Mil),474.392151690059
Bahrain,2018,World,Miscellaneous,Export,Export(US$ Mil),170.806361768234
Bahrain,2018,World,Raw materials,Export,Export(US$ Mil),1161.89072557349
Bahrain,2018,World,Intermediate goods,Export,Export(US$ Mil),3797.38859215837
Bahrain,2018,World,Consumer goods,Export,Export(US$ Mil),8829.22338840106
Bahrain,2018,World,Capital goods,Export,Export(US$ Mil),549.560762959771
Bahrain,2018,World,Raw materials,Import,Import(US$ Mil),7337.8759900472
Bahrain,2018,World,Intermediate goods,Import,Import(US$ Mil),3650.40330445321
Bahrain,2018,World,Consumer goods,Import,Import(US$ Mil),5363.37511739853
Bahrain,2018,World,Capital goods,Import,Import(US$ Mil),4238.80661846509
Bahrain,2018,World,All Products,Export,Exports (in US$ Mil),14347.7374941701
