Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bosnia and Herzegovina,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,958.742633611608
Bosnia and Herzegovina,2019,Croatia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,801.689897035746
Bosnia and Herzegovina,2019,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,751.33072072
Bosnia and Herzegovina,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,744.950744
Bosnia and Herzegovina,2019,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,623.75070544
Bosnia and Herzegovina,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1337.86682601
Bosnia and Herzegovina,2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1334.6149987
Bosnia and Herzegovina,2019,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1238.16174177
Bosnia and Herzegovina,2019,Croatia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1156.22589019572
Bosnia and Herzegovina,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,829.55524821
Bosnia and Herzegovina,2019,World,Animal,Export,Export(US$ Mil),85.48472598
Bosnia and Herzegovina,2019,World,Vegetable,Export,Export(US$ Mil),196.938325065804
Bosnia and Herzegovina,2019,World,Food Products,Export,Export(US$ Mil),175.64617094
Bosnia and Herzegovina,2019,World,Minerals,Export,Export(US$ Mil),80.64068443
Bosnia and Herzegovina,2019,World,Fuels,Export,Export(US$ Mil),532.2882763
Bosnia and Herzegovina,2019,World,Chemicals,Export,Export(US$ Mil),542.34173241
Bosnia and Herzegovina,2019,World,Plastic or Rubber,Export,Export(US$ Mil),285.92345812
Bosnia and Herzegovina,2019,World,Hides and Skins,Export,Export(US$ Mil),82.38651627
Bosnia and Herzegovina,2019,World,Wood,Export,Export(US$ Mil),604.612753971513
