Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Belarus,2019,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13624.0931
Belarus,2019,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4141.6326
Belarus,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2292.7216
Belarus,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1621.7349
Belarus,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1298.0999
Belarus,2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21623.5351
Belarus,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3664.318
Belarus,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1776.6293
Belarus,2019,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1682.1133
Belarus,2019,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1497.1062
Belarus,2019,World,Animal,Export,Export(US$ Mil),3244.0075
Belarus,2019,World,Vegetable,Export,Export(US$ Mil),938.2565
Belarus,2019,World,Food Products,Export,Export(US$ Mil),1301.9297
Belarus,2019,World,Minerals,Export,Export(US$ Mil),258.0649
Belarus,2019,World,Fuels,Export,Export(US$ Mil),6821.2218
Belarus,2019,World,Chemicals,Export,Export(US$ Mil),4507.0699
Belarus,2019,World,Plastic or Rubber,Export,Export(US$ Mil),1481.5525
Belarus,2019,World,Hides and Skins,Export,Export(US$ Mil),56.3882
Belarus,2019,World,Wood,Export,Export(US$ Mil),1744.8251
Belarus,2019,World,Textiles and Clothing,Export,Export(US$ Mil),1300.0222
Belarus,2019,World,Footwear,Export,Export(US$ Mil),229.6393
Belarus,2019,World,Stone and Glass,Export,Export(US$ Mil),565.4198
Belarus,2019,World,Metals,Export,Export(US$ Mil),2402.3536
Belarus,2019,World,Mach and Elec,Export,Export(US$ Mil),2526.0899
Belarus,2019,World,Transportation,Export,Export(US$ Mil),2891.188
Belarus,2019,World,Miscellaneous,Export,Export(US$ Mil),2687.0935
Belarus,2019,World,Raw materials,Export,Export(US$ Mil),2835.6535
Belarus,2019,World,Intermediate goods,Export,Export(US$ Mil),10250.289
Belarus,2019,World,Consumer goods,Export,Export(US$ Mil),13181.9101
Belarus,2019,World,Capital goods,Export,Export(US$ Mil),4833.0262
Belarus,2019,World,Raw materials,Import,Import(US$ Mil),9705.94300000001
Belarus,2019,World,Intermediate goods,Import,Import(US$ Mil),7567.6713
Belarus,2019,World,Consumer goods,Import,Import(US$ Mil),12229.3973
Belarus,2019,World,Capital goods,Import,Import(US$ Mil),8125.8495
Belarus,2019,World,All Products,Export,Exports (in US$ Mil),32955.1224
Belarus,2019,World,All Products,Import,Imports (in US$ Mil),39476.6792
Belarus,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),25600992.8
Belarus,2019,...,...,Development,Trade Balance (current US$ Mil),-304.857061
Belarus,2019,...,...,Development,GDP (current US$ Mil),63080.457023
Belarus,2019,...,...,Tariff,No. Of Tariff Agreement,8
Belarus,2019,...,...,Import,No. Of Import partners,180
Belarus,2019,...,...,Import,No. Of Import products,4222
Belarus,2019,...,...,Export,No. Of Export partners,166
Belarus,2019,...,...,Export,No. Of Export products,3764
Belarus,2019,...,...,Others,Population,9417849
Belarus,2019,...,...,Others,Ease of Doing Business Rank,49
Belarus,2019,...,...,Others,Trading Across Borders Rank,24
Belarus,2019,...,...,Others,CPIA Trade Ratings,
Belarus,2018,...,...,Others,LPI Rank,103
Belarus,2018,...,...,Others,LPI Score,2.57
Belarus,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0801941
Belarus,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.111352
Belarus,,...,...,Others,Services Trade Restrictions Index - Over All,35.1
Belarus,2019,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,41.3414
Belarus,2019,Ukraine,All Products,Export,Partner share(%)-Top 5 Export Partner,12.5675
Belarus,2019,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9571
Belarus,2019,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,4.921
Belarus,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,3.939
Belarus,2019,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,54.7755
Belarus,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.2822
Belarus,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,4.5005
Belarus,2019,Ukraine,All Products,Import,Partner share(%)-Top 5 Import Partner,4.261
Belarus,2019,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,3.7924
Belarus,2019,World,Animal,Export,Export Product share(%),9.8437
Belarus,2019,World,Vegetable,Export,Export Product share(%),2.8471
Belarus,2019,World,Food Products,Export,Export Product share(%),3.9506
Belarus,2019,World,Minerals,Export,Export Product share(%),0.7831
Belarus,2019,World,Fuels,Export,Export Product share(%),20.6985
Belarus,2019,World,Chemicals,Export,Export Product share(%),13.6764
Belarus,2019,World,Plastic or Rubber,Export,Export Product share(%),4.4957
Belarus,2019,World,Hides and Skins,Export,Export Product share(%),0.1711
Belarus,2019,World,Wood,Export,Export Product share(%),5.2945
Belarus,2019,World,Textiles and Clothing,Export,Export Product share(%),3.9448
Belarus,2019,World,Footwear,Export,Export Product share(%),0.6968
Belarus,2019,World,Stone and Glass,Export,Export Product share(%),1.7157
Belarus,2019,World,Metals,Export,Export Product share(%),7.2898
Belarus,2019,World,Mach and Elec,Export,Export Product share(%),7.6652
Belarus,2019,World,Transportation,Export,Export Product share(%),8.7731
Belarus,2019,World,Miscellaneous,Export,Export Product share(%),8.1538
Belarus,2019,World,Raw materials,Export,Export Product share(%),8.6046
Belarus,2019,World,Intermediate goods,Export,Export Product share(%),31.1038
Belarus,2019,World,Consumer goods,Export,Export Product share(%),39.9996
Belarus,2019,World,Capital goods,Export,Export Product share(%),14.6655
Belarus,2019,World,Raw materials,Import,Import Product share(%),24.5865
Belarus,2019,World,Intermediate goods,Import,Import Product share(%),19.17
Belarus,2019,World,Consumer goods,Import,Import Product share(%),30.9788
Belarus,2019,World,Capital goods,Import,Import Product share(%),20.5839
Belarus,2019,World,Raw materials,Tariff,Weighted Average (%),0.623193711385412
Belarus,2019,World,Intermediate goods,Tariff,Weighted Average (%),1.82127687437372
Belarus,2019,World,Consumer goods,Tariff,Weighted Average (%),5.9485388102595
Belarus,2019,World,Capital goods,Tariff,Weighted Average (%),1.8341391241241
Belarus,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Belarus,2019,World,All Products,Trade Indicator,Country Growth (%),-6.23745389356239
Belarus,2019,World,All Products,Tariff,Simple Average (%),7.92714703462592
Belarus,2019,World,All Products,Tariff,Weighted Average (%),2.82017183968771
Belarus,2019,World,All Products,Tariff,Maximum Rate (%),3000
Belarus,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),31.2171958554086
Belarus,2019,...,...,Trade Indicator,Index of export market penetration,4.19861957706313
Belarus,2019,...,...,Trade Indicator,HH Market concentration index,0.33106608099143
Belarus,2019,...,...,Development,Trade Balance (% of GDP),-0.483282899999992
Belarus,2019,...,...,Development,Trade in services (% of GDP),24.51456557
Belarus,2019,...,...,Development,Trade (% of GDP),133.3459895
Belarus,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",6320
