Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Brazil,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,63357.520588
Brazil,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29859.993214
Brazil,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10125.900763
Brazil,2019,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9791.474547
Brazil,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5431.769382
Brazil,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35270.816762
Brazil,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30417.378375
Brazil,2019,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10552.232182
Brazil,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10280.263597
Brazil,2019,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7018.822667
Brazil,2019,World,Animal,Export,Export(US$ Mil),16888.297302
Brazil,2019,World,Vegetable,Export,Export(US$ Mil),41539.402102
Brazil,2019,World,Food Products,Export,Export(US$ Mil),19910.226949
Brazil,2019,World,Minerals,Export,Export(US$ Mil),26413.958922
Brazil,2019,World,Fuels,Export,Export(US$ Mil),30313.657363
Brazil,2019,World,Chemicals,Export,Export(US$ Mil),10091.189547
Brazil,2019,World,Plastic or Rubber,Export,Export(US$ Mil),4738.148306
Brazil,2019,World,Hides and Skins,Export,Export(US$ Mil),1232.088706
Brazil,2019,World,Wood,Export,Export(US$ Mil),12477.900066
Brazil,2019,World,Textiles and Clothing,Export,Export(US$ Mil),3572.235662
Brazil,2019,World,Footwear,Export,Export(US$ Mil),1097.265562
Brazil,2019,World,Stone and Glass,Export,Export(US$ Mil),5962.411979
Brazil,2019,World,Metals,Export,Export(US$ Mil),16428.599224
Brazil,2019,World,Mach and Elec,Export,Export(US$ Mil),16004.586591
Brazil,2019,World,Transportation,Export,Export(US$ Mil),15966.505488
Brazil,2019,World,Miscellaneous,Export,Export(US$ Mil),2747.008699
Brazil,2019,World,Raw materials,Export,Export(US$ Mil),112304.61195
Brazil,2019,World,Intermediate goods,Export,Export(US$ Mil),56947.7073670001
Brazil,2019,World,Consumer goods,Export,Export(US$ Mil),27545.947078
Brazil,2019,World,Capital goods,Export,Export(US$ Mil),28570.171102
Brazil,2019,World,Raw materials,Import,Import(US$ Mil),15392.23461
Brazil,2019,World,Intermediate goods,Import,Import(US$ Mil),58305.5638580001
Brazil,2019,World,Consumer goods,Import,Import(US$ Mil),44083.1097080001
Brazil,2019,World,Capital goods,Import,Import(US$ Mil),59538.932788
Brazil,2019,World,All Products,Export,Exports (in US$ Mil),225383.482468
Brazil,2019,World,All Products,Import,Imports (in US$ Mil),177347.934749
Brazil,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),51740971.51
Brazil,2019,...,...,Development,Trade Balance (current US$ Mil),-6104
Brazil,2019,...,...,Development,GDP (current US$ Mil),1839760
Brazil,2019,...,...,Tariff,No. Of Tariff Agreement,64
Brazil,2019,...,...,Import,No. Of Import partners,219
Brazil,2019,...,...,Import,No. Of Import products,4257
Brazil,2019,...,...,Export,No. Of Export partners,227
Brazil,2019,...,...,Export,No. Of Export products,4183
Brazil,2019,...,...,Others,Population,211049527
Brazil,2019,...,...,Others,Ease of Doing Business Rank,124
Brazil,2019,...,...,Others,Trading Across Borders Rank,108
Brazil,2019,...,...,Others,CPIA Trade Ratings,
Brazil,2018,...,...,Others,LPI Rank,56
Brazil,2018,...,...,Others,LPI Score,2.99
Brazil,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),4035
Brazil,2014,...,...,Others,No Of NTM Measures,64
Brazil,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2169706
Brazil,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2338574
Brazil,,...,...,Others,Services Trade Restrictions Index - Over All,22.5
Brazil,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,1.956605911
Brazil,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.770239472
Brazil,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,28.111
Brazil,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,13.2485
Brazil,2019,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,4.4927
Brazil,2019,Argentina,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3444
Brazil,2019,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,2.41
Brazil,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,19.8879
Brazil,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,17.1512
Brazil,2019,Argentina,All Products,Import,Partner share(%)-Top 5 Import Partner,5.95
Brazil,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,5.7967
Brazil,2019,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,3.9577
Brazil,2019,World,Animal,Export,Export Product share(%),7.4931
Brazil,2019,World,Vegetable,Export,Export Product share(%),18.4305
Brazil,2019,World,Food Products,Export,Export Product share(%),8.8339
Brazil,2019,World,Minerals,Export,Export Product share(%),11.7196
Brazil,2019,World,Fuels,Export,Export Product share(%),13.4498
Brazil,2019,World,Chemicals,Export,Export Product share(%),4.4773
Brazil,2019,World,Plastic or Rubber,Export,Export Product share(%),2.1023
Brazil,2019,World,Hides and Skins,Export,Export Product share(%),0.5467
Brazil,2019,World,Wood,Export,Export Product share(%),5.5363
Brazil,2019,World,Textiles and Clothing,Export,Export Product share(%),1.585
Brazil,2019,World,Footwear,Export,Export Product share(%),0.4868
Brazil,2019,World,Stone and Glass,Export,Export Product share(%),2.6455
Brazil,2019,World,Metals,Export,Export Product share(%),7.2892
Brazil,2019,World,Mach and Elec,Export,Export Product share(%),7.101
Brazil,2019,World,Transportation,Export,Export Product share(%),7.0842
Brazil,2019,World,Miscellaneous,Export,Export Product share(%),1.2188
Brazil,2019,World,Raw materials,Export,Export Product share(%),49.8282
Brazil,2019,World,Intermediate goods,Export,Export Product share(%),25.267
Brazil,2019,World,Consumer goods,Export,Export Product share(%),12.2218
Brazil,2019,World,Capital goods,Export,Export Product share(%),12.6762
Brazil,2019,World,Raw materials,Import,Import Product share(%),8.6791
Brazil,2019,World,Intermediate goods,Import,Import Product share(%),32.8764
Brazil,2019,World,Consumer goods,Import,Import Product share(%),24.8568
Brazil,2019,World,Capital goods,Import,Import Product share(%),33.5718
Brazil,2019,World,Raw materials,Tariff,Weighted Average (%),1.07914412835197
Brazil,2019,World,Intermediate goods,Tariff,Weighted Average (%),6.04517408792864
Brazil,2019,World,Consumer goods,Tariff,Weighted Average (%),12.6023658638516
Brazil,2019,World,Capital goods,Tariff,Weighted Average (%),8.92532866721783
Brazil,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Brazil,2019,World,All Products,Trade Indicator,Country Growth (%),-2.1419601276795
Brazil,2019,World,All Products,Tariff,Simple Average (%),13.433278512378
Brazil,2019,World,All Products,Tariff,Weighted Average (%),7.9747897351297
Brazil,2019,World,All Products,Tariff,Maximum Rate (%),55
Brazil,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),17.2400057360463
Brazil,2019,...,...,Trade Indicator,Index of export market penetration,12.584414805771
Brazil,2019,...,...,Trade Indicator,HH Market concentration index,0.122366175772003
Brazil,2019,...,...,Development,Trade Balance (% of GDP),-0.33178594
Brazil,2019,...,...,Development,Trade in services (% of GDP),5.63573825
Brazil,2019,...,...,Development,Trade (% of GDP),28.97662365
Brazil,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",9130
