Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Barbados,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,108.437553
Barbados,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,92.634813
Barbados,2019,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,31.039034
Barbados,2019,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29.943658
Barbados,2019,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28.647529
Barbados,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,594.534061
Barbados,2019,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,237.598389
Barbados,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,131.073952
Barbados,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,92.096785
Barbados,2019,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,65.908837
Barbados,2019,World,Animal,Export,Export(US$ Mil),1.783556
Barbados,2019,World,Vegetable,Export,Export(US$ Mil),15.405648
Barbados,2019,World,Food Products,Export,Export(US$ Mil),75.781864
Barbados,2019,World,Minerals,Export,Export(US$ Mil),25.402308
Barbados,2019,World,Fuels,Export,Export(US$ Mil),127.448871
Barbados,2019,World,Chemicals,Export,Export(US$ Mil),50.385846
Barbados,2019,World,Plastic or Rubber,Export,Export(US$ Mil),5.491408
Barbados,2019,World,Hides and Skins,Export,Export(US$ Mil),1.226933
Barbados,2019,World,Wood,Export,Export(US$ Mil),17.219548
Barbados,2019,World,Textiles and Clothing,Export,Export(US$ Mil),6.508235
Barbados,2019,World,Footwear,Export,Export(US$ Mil),2.418904
Barbados,2019,World,Stone and Glass,Export,Export(US$ Mil),28.045676
Barbados,2019,World,Metals,Export,Export(US$ Mil),21.283782
Barbados,2019,World,Mach and Elec,Export,Export(US$ Mil),12.991065
Barbados,2019,World,Transportation,Export,Export(US$ Mil),6.387548
Barbados,2019,World,Miscellaneous,Export,Export(US$ Mil),46.304177
Barbados,2019,World,Raw materials,Export,Export(US$ Mil),24.780985
Barbados,2019,World,Intermediate goods,Export,Export(US$ Mil),64.7099269999999
Barbados,2019,World,Consumer goods,Export,Export(US$ Mil),319.333141
Barbados,2019,World,Capital goods,Export,Export(US$ Mil),25.442791
Barbados,2019,World,Raw materials,Import,Import(US$ Mil),112.315727
Barbados,2019,World,Intermediate goods,Import,Import(US$ Mil),156.538862
Barbados,2019,World,Consumer goods,Import,Import(US$ Mil),989.613625999998
Barbados,2019,World,Capital goods,Import,Import(US$ Mil),256.198901
Barbados,2019,World,All Products,Export,Exports (in US$ Mil),444.085369
Barbados,2019,World,All Products,Import,Imports (in US$ Mil),1580.842477
Barbados,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),149661.191
Barbados,2019,...,...,Development,Trade Balance (current US$ Mil),16.90685
Barbados,2019,...,...,Development,GDP (current US$ Mil),5209
Barbados,2013,...,...,Tariff,No. Of Tariff Agreement,3
Barbados,2019,...,...,Import,No. Of Import partners,169
Barbados,2019,...,...,Import,No. Of Import products,3542
Barbados,2019,...,...,Export,No. Of Export partners,121
Barbados,2019,...,...,Export,No. Of Export products,1550
Barbados,2019,...,...,Others,Population,287025
Barbados,2019,...,...,Others,Ease of Doing Business Rank,128
Barbados,2019,...,...,Others,Trading Across Borders Rank,132
Barbados,2019,...,...,Others,CPIA Trade Ratings,
Barbados,2019,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,24.4182
Barbados,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,20.8597
Barbados,2019,Jamaica,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9894
