Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Brunei,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2206.8858724
Brunei,2019,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,966.886291510001
Brunei,2019,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,715.73623248
Brunei,2019,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,611.52503532
Brunei,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,602.4475748
Brunei,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,672.030003730001
Brunei,2019,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,639.671750770001
Brunei,2019,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,605.29436506
Brunei,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,322.55134435
Brunei,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,322.05226889
Brunei,2019,World,Animal,Export,Export(US$ Mil),6.57978209
Brunei,2019,World,Vegetable,Export,Export(US$ Mil),1.63770886
Brunei,2019,World,Food Products,Export,Export(US$ Mil),2.50991171
Brunei,2019,World,Minerals,Export,Export(US$ Mil),0.63182753
Brunei,2019,World,Fuels,Export,Export(US$ Mil),6412.06888468
Brunei,2019,World,Chemicals,Export,Export(US$ Mil),247.97262281
Brunei,2019,World,Plastic or Rubber,Export,Export(US$ Mil),4.80944351
Brunei,2019,World,Hides and Skins,Export,Export(US$ Mil),0.66622041
Brunei,2019,World,Wood,Export,Export(US$ Mil),4.15541344
Brunei,2019,World,Textiles and Clothing,Export,Export(US$ Mil),6.55448195
Brunei,2019,World,Footwear,Export,Export(US$ Mil),0.18598637
Brunei,2019,World,Stone and Glass,Export,Export(US$ Mil),3.1577722
Brunei,2019,World,Metals,Export,Export(US$ Mil),72.00809588
Brunei,2019,World,Mach and Elec,Export,Export(US$ Mil),172.73227429
Brunei,2019,World,Transportation,Export,Export(US$ Mil),55.83105742
Brunei,2019,World,Miscellaneous,Export,Export(US$ Mil),47.5816026
Brunei,2019,World,Raw materials,Export,Export(US$ Mil),2882.82853347
Brunei,2019,World,Intermediate goods,Export,Export(US$ Mil),364.22385653
Brunei,2019,World,Consumer goods,Export,Export(US$ Mil),3567.30371641
Brunei,2019,World,Capital goods,Export,Export(US$ Mil),218.54424238
Brunei,2019,World,Raw materials,Import,Import(US$ Mil),1372.00867937
Brunei,2019,World,Intermediate goods,Import,Import(US$ Mil),805.95355131
Brunei,2019,World,Consumer goods,Import,Import(US$ Mil),1674.97619691
Brunei,2019,World,Capital goods,Import,Import(US$ Mil),1242.3591363
Brunei,2019,World,All Products,Export,Exports (in US$ Mil),7039.08308575
Brunei,2019,World,All Products,Import,Imports (in US$ Mil),5102.67411871
Brunei,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4559551.25986
Brunei,2019,...,...,Development,Trade Balance (current US$ Mil),994.369741
Brunei,2019,...,...,Development,GDP (current US$ Mil),13469.422959
Brunei,2019,...,...,Tariff,No. Of Tariff Agreement,9
Brunei,2019,...,...,Import,No. Of Import partners,179
Brunei,2019,...,...,Import,No. Of Import products,3538
Brunei,2019,...,...,Export,No. Of Export partners,82
Brunei,2019,...,...,Export,No. Of Export products,1891
Brunei,2019,...,...,Others,Population,433285
Brunei,2019,...,...,Others,Ease of Doing Business Rank,66
Brunei,2019,...,...,Others,Trading Across Borders Rank,149
Brunei,2019,...,...,Others,CPIA Trade Ratings,
Brunei,2018,...,...,Others,LPI Rank,80
Brunei,2018,...,...,Others,LPI Score,2.71
Brunei,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),2571
Brunei,2015,...,...,Others,No Of NTM Measures,53
Brunei,2019,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,31.3519
Brunei,2019,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,13.736
Brunei,2019,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,10.168
Brunei,2019,Malaysia,All Products,Export,Partner share(%)-Top 5 Export Partner,8.6876
Brunei,2019,India,All Products,Export,Partner share(%)-Top 5 Export Partner,8.5586
Brunei,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,13.1702
Brunei,2019,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,12.536
Brunei,2019,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,11.8623
Brunei,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3212
Brunei,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3114
Brunei,2019,World,Animal,Export,Export Product share(%),0.0935
Brunei,2019,World,Vegetable,Export,Export Product share(%),0.0233
Brunei,2019,World,Food Products,Export,Export Product share(%),0.0357
Brunei,2019,World,Minerals,Export,Export Product share(%),0.009
Brunei,2019,World,Fuels,Export,Export Product share(%),91.0924
Brunei,2019,World,Chemicals,Export,Export Product share(%),3.5228
Brunei,2019,World,Plastic or Rubber,Export,Export Product share(%),0.0683
Brunei,2019,World,Hides and Skins,Export,Export Product share(%),0.0095
Brunei,2019,World,Wood,Export,Export Product share(%),0.059
Brunei,2019,World,Textiles and Clothing,Export,Export Product share(%),0.0931
Brunei,2019,World,Footwear,Export,Export Product share(%),0.0026
Brunei,2019,World,Stone and Glass,Export,Export Product share(%),0.0449
Brunei,2019,World,Metals,Export,Export Product share(%),1.023
Brunei,2019,World,Mach and Elec,Export,Export Product share(%),2.4539
Brunei,2019,World,Transportation,Export,Export Product share(%),0.7932
Brunei,2019,World,Miscellaneous,Export,Export Product share(%),0.676
Brunei,2019,World,Raw materials,Export,Export Product share(%),40.9546
Brunei,2019,World,Intermediate goods,Export,Export Product share(%),5.1743
Brunei,2019,World,Consumer goods,Export,Export Product share(%),50.6785
Brunei,2019,World,Capital goods,Export,Export Product share(%),3.1047
Brunei,2019,World,Raw materials,Import,Import Product share(%),26.888
Brunei,2019,World,Intermediate goods,Import,Import Product share(%),15.7947
Brunei,2019,World,Consumer goods,Import,Import Product share(%),32.8255
Brunei,2019,World,Capital goods,Import,Import Product share(%),24.3472
Brunei,2019,World,Raw materials,Tariff,Weighted Average (%),3.44589484943095E-05
Brunei,2019,World,Intermediate goods,Tariff,Weighted Average (%),0.00421394465582119
Brunei,2019,World,Consumer goods,Tariff,Weighted Average (%),0.0767531874009685
Brunei,2019,World,Capital goods,Tariff,Weighted Average (%),0
Brunei,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Brunei,2019,World,All Products,Trade Indicator,Country Growth (%),0.639056311639474
Brunei,2019,World,All Products,Tariff,Simple Average (%),0.150780199212213
Brunei,2019,World,All Products,Tariff,Weighted Average (%),0.0209576037726057
Brunei,2019,World,All Products,Tariff,Maximum Rate (%),10
Brunei,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),97.0288834664459
Brunei,2019,...,...,Trade Indicator,Index of export market penetration,1.58627575079559
Brunei,2019,...,...,Trade Indicator,HH Market concentration index,0.172000824035339
Brunei,2019,...,...,Development,Trade Balance (% of GDP),7.38242272
Brunei,2019,...,...,Development,Trade in services (% of GDP),17.99652822
Brunei,2019,...,...,Development,Trade (% of GDP),108.5096584
Brunei,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",32230
