Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Botswana,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1131.44572183081
Botswana,2019,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1026.12774147271
Botswana,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,952.850615112499
Botswana,2019,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,503.29438985883
Botswana,2019,Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,374.083585782179
Botswana,2019,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3799.14032388056
Botswana,2019,Namibia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,520.552551202236
Botswana,2019,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,453.804921364218
Botswana,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,269.736557313296
Botswana,2019,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,215.569969738516
Botswana,2019,World,Animal,Export,Export(US$ Mil),70.2589866166419
Botswana,2019,World,Vegetable,Export,Export(US$ Mil),14.4562847147303
Botswana,2019,World,Food Products,Export,Export(US$ Mil),11.4436038366694
Botswana,2019,World,Minerals,Export,Export(US$ Mil),20.9063592679998
Botswana,2019,World,Fuels,Export,Export(US$ Mil),15.2539948643397
Botswana,2019,World,Chemicals,Export,Export(US$ Mil),46.1138590422095
Botswana,2019,World,Plastic or Rubber,Export,Export(US$ Mil),20.4446432458549
Botswana,2019,World,Hides and Skins,Export,Export(US$ Mil),0.631329045751253
Botswana,2019,World,Wood,Export,Export(US$ Mil),11.1940541673988
Botswana,2019,World,Textiles and Clothing,Export,Export(US$ Mil),14.7160428657033
Botswana,2019,World,Footwear,Export,Export(US$ Mil),1.393826757688
Botswana,2019,World,Stone and Glass,Export,Export(US$ Mil),4792.81939358704
Botswana,2019,World,Metals,Export,Export(US$ Mil),30.3632859360065
Botswana,2019,World,Mach and Elec,Export,Export(US$ Mil),143.264541176305
Botswana,2019,World,Transportation,Export,Export(US$ Mil),36.6055186997965
Botswana,2019,World,Miscellaneous,Export,Export(US$ Mil),8.21343130753429
Botswana,2019,World,Raw materials,Export,Export(US$ Mil),4014.01336067404
Botswana,2019,World,Intermediate goods,Export,Export(US$ Mil),943.553202209346
Botswana,2019,World,Consumer goods,Export,Export(US$ Mil),198.602093370749
Botswana,2019,World,Capital goods,Export,Export(US$ Mil),79.4464075074896
Botswana,2019,World,Raw materials,Import,Import(US$ Mil),1654.72871308659
Botswana,2019,World,Intermediate goods,Import,Import(US$ Mil),1203.36037560033
Botswana,2019,World,Consumer goods,Import,Import(US$ Mil),2504.25614549944
Botswana,2019,World,Capital goods,Import,Import(US$ Mil),1192.31265081135
Botswana,2019,World,All Products,Export,Exports (in US$ Mil),5238.07915513167
Botswana,2019,World,All Products,Import,Imports (in US$ Mil),6558.52312420524
Botswana,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),5430350.39417212
Botswana,2019,...,...,Development,Trade Balance (current US$ Mil),-1271.986603
Botswana,2019,...,...,Development,GDP (current US$ Mil),18340.480936
Botswana,2019,...,...,Tariff,No. Of Tariff Agreement,9
Botswana,2019,...,...,Import,No. Of Import partners,145
Botswana,2019,...,...,Import,No. Of Import products,3989
Botswana,2019,...,...,Export,No. Of Export partners,103
Botswana,2019,...,...,Export,No. Of Export products,2255
Botswana,2019,...,...,Others,Population,2303697
Botswana,2019,...,...,Others,Ease of Doing Business Rank,87
Botswana,2019,...,...,Others,Trading Across Borders Rank,55
Botswana,2019,...,...,Others,CPIA Trade Ratings,
Botswana,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0063094
Botswana,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0593047
Botswana,,...,...,Others,Services Trade Restrictions Index - Over All,38.3
Botswana,2019,India,All Products,Export,Partner share(%)-Top 5 Export Partner,21.6004
Botswana,2019,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,19.5898
Botswana,2019,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,18.1908
Botswana,2019,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,9.6084
Botswana,2019,Israel,All Products,Export,Partner share(%)-Top 5 Export Partner,7.1416
Botswana,2019,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,57.9268
Botswana,2019,Namibia,All Products,Import,Partner share(%)-Top 5 Import Partner,7.937
Botswana,2019,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,6.9193
Botswana,2019,India,All Products,Import,Partner share(%)-Top 5 Import Partner,4.1128
Botswana,2019,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,3.2869
Botswana,2019,World,Animal,Export,Export Product share(%),1.3413
Botswana,2019,World,Vegetable,Export,Export Product share(%),0.276
Botswana,2019,World,Food Products,Export,Export Product share(%),0.2185
Botswana,2019,World,Minerals,Export,Export Product share(%),0.3991
Botswana,2019,World,Fuels,Export,Export Product share(%),0.2912
Botswana,2019,World,Chemicals,Export,Export Product share(%),0.8804
Botswana,2019,World,Plastic or Rubber,Export,Export Product share(%),0.3903
Botswana,2019,World,Hides and Skins,Export,Export Product share(%),0.0121
Botswana,2019,World,Wood,Export,Export Product share(%),0.2137
Botswana,2019,World,Textiles and Clothing,Export,Export Product share(%),0.2809
Botswana,2019,World,Footwear,Export,Export Product share(%),0.0266
Botswana,2019,World,Stone and Glass,Export,Export Product share(%),91.4996
