Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Central African Republic,2018,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18.105633
Central African Republic,2018,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.931207
Central African Republic,2018,Cameroon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.18816
Central African Republic,2018,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.841007
Central African Republic,2018,Niger,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.46722
Central African Republic,2018,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,65.973263
Central African Republic,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45.423663
Central African Republic,2018,Cameroon,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30.986665
Central African Republic,2018,Nepal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,29.988421
Central African Republic,2018,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27.257412
Central African Republic,2018,World,Animal,Export,Export(US$ Mil),0.003053
Central African Republic,2018,World,Vegetable,Export,Export(US$ Mil),0.101556
Central African Republic,2018,World,Food Products,Export,Export(US$ Mil),0.011444
Central African Republic,2018,World,Minerals,Export,Export(US$ Mil),0.059975
Central African Republic,2018,World,Fuels,Export,Export(US$ Mil),0.012703
Central African Republic,2018,World,Chemicals,Export,Export(US$ Mil),0.021641
Central African Republic,2018,World,Plastic or Rubber,Export,Export(US$ Mil),0.108971
Central African Republic,2018,World,Hides and Skins,Export,Export(US$ Mil),0.014622
Central African Republic,2018,World,Wood,Export,Export(US$ Mil),14.95555
Central African Republic,2018,World,Textiles and Clothing,Export,Export(US$ Mil),1.325073
Central African Republic,2018,World,Footwear,Export,Export(US$ Mil),0.089443
Central African Republic,2018,World,Stone and Glass,Export,Export(US$ Mil),10.043323
Central African Republic,2018,World,Metals,Export,Export(US$ Mil),0.195317
Central African Republic,2018,World,Mach and Elec,Export,Export(US$ Mil),11.931381
Central African Republic,2018,World,Transportation,Export,Export(US$ Mil),15.29026
Central African Republic,2018,World,Miscellaneous,Export,Export(US$ Mil),0.099786
Central African Republic,2018,World,Raw materials,Export,Export(US$ Mil),19.564647
Central African Republic,2018,World,Intermediate goods,Export,Export(US$ Mil),6.821802
Central African Republic,2018,World,Consumer goods,Export,Export(US$ Mil),1.078666
Central African Republic,2018,World,Capital goods,Export,Export(US$ Mil),26.798983
Central African Republic,2018,World,Raw materials,Import,Import(US$ Mil),18.206993
Central African Republic,2018,World,Intermediate goods,Import,Import(US$ Mil),40.071531
Central African Republic,2018,World,Consumer goods,Import,Import(US$ Mil),161.137639
Central African Republic,2018,World,Capital goods,Import,Import(US$ Mil),164.237372
Central African Republic,2018,World,All Products,Export,Exports (in US$ Mil),54.264098
Central African Republic,2018,World,All Products,Import,Imports (in US$ Mil),384.386438
Central African Republic,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),26971.409
Central African Republic,2019,...,...,Development,Trade Balance (current US$ Mil),-639.9919293
Central African Republic,2019,...,...,Development,GDP (current US$ Mil),2220.307369
Central African Republic,2017,...,...,Tariff,No. Of Tariff Agreement,2
Central African Republic,2018,...,...,Import,No. Of Import partners,101
Central African Republic,2018,...,...,Import,No. Of Import products,1272
Central African Republic,2018,...,...,Export,No. Of Export partners,41
Central African Republic,2018,...,...,Export,No. Of Export products,150
Central African Republic,2019,...,...,Others,Population,4745185
Central African Republic,2019,...,...,Others,Ease of Doing Business Rank,184
Central African Republic,2019,...,...,Others,Trading Across Borders Rank,164
Central African Republic,2019,...,...,Others,CPIA Trade Ratings,3
Central African Republic,2018,...,...,Others,LPI Rank,151
Central African Republic,2018,...,...,Others,LPI Score,2.15
Central African Republic,2018,France,All Products,Export,Partner share(%)-Top 5 Export Partner,33.3658
Central African Republic,2018,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,16.4588
Central African Republic,2018,Cameroon,All Products,Export,Partner share(%)-Top 5 Export Partner,13.2466
Central African Republic,2018,China,All Products,Export,Partner share(%)-Top 5 Export Partner,12.6069
Central African Republic,2018,Niger,All Products,Export,Partner share(%)-Top 5 Export Partner,4.5467
Central African Republic,2018,France,All Products,Import,Partner share(%)-Top 5 Import Partner,17.1633
