Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Switzerland,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,47900.1112025372
Switzerland,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,43852.8480480324
Switzerland,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28306.9353322548
Switzerland,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21535.002689305
Switzerland,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19382.3785672298
Switzerland,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,57405.5191975698
Switzerland,2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22349.7317783913
Switzerland,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18804.2359754027
Switzerland,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18782.0247667999
Switzerland,2019,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16254.0978698334
Switzerland,2019,World,Animal,Export,Export(US$ Mil),863.984782988846
Switzerland,2019,World,Vegetable,Export,Export(US$ Mil),2829.59530266605
Switzerland,2019,World,Food Products,Export,Export(US$ Mil),5888.25452156411
Switzerland,2019,World,Minerals,Export,Export(US$ Mil),274.058874914829
Switzerland,2019,World,Fuels,Export,Export(US$ Mil),2549.77789494951
Switzerland,2019,World,Chemicals,Export,Export(US$ Mil),112448.694925479
Switzerland,2019,World,Plastic or Rubber,Export,Export(US$ Mil),5664.88931201499
Switzerland,2019,World,Hides and Skins,Export,Export(US$ Mil),844.108541678853
Switzerland,2019,World,Wood,Export,Export(US$ Mil),2394.51560044102
Switzerland,2019,World,Textiles and Clothing,Export,Export(US$ Mil),3765.89857355638
Switzerland,2019,World,Footwear,Export,Export(US$ Mil),1045.29838996796
Switzerland,2019,World,Stone and Glass,Export,Export(US$ Mil),80682.9698297553
Switzerland,2019,World,Metals,Export,Export(US$ Mil),9367.24323044251
Switzerland,2019,World,Mach and Elec,Export,Export(US$ Mil),35054.0227756801
Switzerland,2019,World,Transportation,Export,Export(US$ Mil),6000.68855544964
Switzerland,2019,World,Miscellaneous,Export,Export(US$ Mil),43955.5490905947
