Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Chile,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22570.6374727308
Chile,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9494.25929601347
Chile,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6366.84995941323
Chile,2019,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4696.2994689
Chile,2019,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3157.1314415685
Chile,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16554.8052923968
Chile,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13451.4577406951
Chile,2019,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5649.79692710288
Chile,2019,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3537.02653267773
Chile,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2762.07016875797
Chile,2019,World,Animal,Export,Export(US$ Mil),6977.40197602
Chile,2019,World,Vegetable,Export,Export(US$ Mil),7721.18192324678
Chile,2019,World,Food Products,Export,Export(US$ Mil),4132.20809351728
Chile,2019,World,Minerals,Export,Export(US$ Mil),20656.0188876
Chile,2019,World,Fuels,Export,Export(US$ Mil),603.19391281131
Chile,2019,World,Chemicals,Export,Export(US$ Mil),3417.15481295923
Chile,2019,World,Plastic or Rubber,Export,Export(US$ Mil),793.869514140451
Chile,2019,World,Hides and Skins,Export,Export(US$ Mil),49.0979384451394
Chile,2019,World,Wood,Export,Export(US$ Mil),5645.8648595696
Chile,2019,World,Textiles and Clothing,Export,Export(US$ Mil),505.204831506255
Chile,2019,World,Footwear,Export,Export(US$ Mil),101.60554643557
Chile,2019,World,Stone and Glass,Export,Export(US$ Mil),1036.53921477544
Chile,2019,World,Metals,Export,Export(US$ Mil),16184.6655933409
Chile,2019,World,Mach and Elec,Export,Export(US$ Mil),945.021110074775
Chile,2019,World,Transportation,Export,Export(US$ Mil),729.131608744908
Chile,2019,World,Miscellaneous,Export,Export(US$ Mil),183.237005674234
Chile,2019,World,Raw materials,Export,Export(US$ Mil),35288.4746321575
Chile,2019,World,Intermediate goods,Export,Export(US$ Mil),25996.1556646104
Chile,2019,World,Consumer goods,Export,Export(US$ Mil),6913.55563726206
Chile,2019,World,Capital goods,Export,Export(US$ Mil),1482.76784170676
Chile,2019,World,Raw materials,Import,Import(US$ Mil),8652.78336286994
Chile,2019,World,Intermediate goods,Import,Import(US$ Mil),11321.0057399475
Chile,2019,World,Consumer goods,Import,Import(US$ Mil),28990.9234246263
Chile,2019,World,Capital goods,Import,Import(US$ Mil),20443.2797362059
Chile,2019,World,All Products,Export,Exports (in US$ Mil),69681.3968288618
Chile,2019,World,All Products,Import,Imports (in US$ Mil),69591.2978558173
Chile,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),57926836.6567415
Chile,2019,...,...,Development,Trade Balance (current US$ Mil),-1022.047272
Chile,2019,...,...,Development,GDP (current US$ Mil),282318
Chile,2019,...,...,Tariff,No. Of Tariff Agreement,75
Chile,2019,...,...,Import,No. Of Import partners,177
Chile,2019,...,...,Import,No. Of Import products,4338
Chile,2019,...,...,Export,No. Of Export partners,178
Chile,2019,...,...,Export,No. Of Export products,3622
Chile,2019,...,...,Others,Population,18952038
Chile,2019,...,...,Others,Ease of Doing Business Rank,59
Chile,2019,...,...,Others,Trading Across Borders Rank,73
Chile,2019,...,...,Others,CPIA Trade Ratings,
Chile,2018,...,...,Others,LPI Rank,34
Chile,2018,...,...,Others,LPI Score,3.32
Chile,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),3543
Chile,2014,...,...,Others,No Of NTM Measures,56
Chile,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0715218
Chile,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0715218
Chile,,...,...,Others,Services Trade Restrictions Index - Over All,23.4
Chile,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.1162340194
Chile,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.6051917672
Chile,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,32.3912
Chile,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,13.6252
Chile,2019,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,9.1371
Chile,2019,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,6.7397
Chile,2019,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,4.5308
Chile,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,23.7886
Chile,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,19.3292
Chile,2019,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,8.1185
Chile,2019,Argentina,All Products,Import,Partner share(%)-Top 5 Import Partner,5.0826
Chile,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,3.969
Chile,2019,World,Animal,Export,Export Product share(%),10.0133
Chile,2019,World,Vegetable,Export,Export Product share(%),11.0807
Chile,2019,World,Food Products,Export,Export Product share(%),5.9301
Chile,2019,World,Minerals,Export,Export Product share(%),29.6435
Chile,2019,World,Fuels,Export,Export Product share(%),0.8656
Chile,2019,World,Chemicals,Export,Export Product share(%),4.904
Chile,2019,World,Plastic or Rubber,Export,Export Product share(%),1.1393
Chile,2019,World,Hides and Skins,Export,Export Product share(%),0.0705
Chile,2019,World,Wood,Export,Export Product share(%),8.1024
Chile,2019,World,Textiles and Clothing,Export,Export Product share(%),0.725
Chile,2019,World,Footwear,Export,Export Product share(%),0.1458
Chile,2019,World,Stone and Glass,Export,Export Product share(%),1.4875
Chile,2019,World,Metals,Export,Export Product share(%),23.2267
Chile,2019,World,Mach and Elec,Export,Export Product share(%),1.3562
Chile,2019,World,Transportation,Export,Export Product share(%),1.0464
Chile,2019,World,Miscellaneous,Export,Export Product share(%),0.263
Chile,2019,World,Raw materials,Export,Export Product share(%),50.6426
Chile,2019,World,Intermediate goods,Export,Export Product share(%),37.3072
Chile,2019,World,Consumer goods,Export,Export Product share(%),9.9217
Chile,2019,World,Capital goods,Export,Export Product share(%),2.1279
Chile,2019,World,Raw materials,Import,Import Product share(%),12.4337
Chile,2019,World,Intermediate goods,Import,Import Product share(%),16.2678
Chile,2019,World,Consumer goods,Import,Import Product share(%),41.6588
Chile,2019,World,Capital goods,Import,Import Product share(%),29.3762
Chile,2019,World,Raw materials,Tariff,Weighted Average (%),0.0436351068007702
Chile,2019,World,Intermediate goods,Tariff,Weighted Average (%),0.39476227256792
Chile,2019,World,Consumer goods,Tariff,Weighted Average (%),0.605672150734755
Chile,2019,World,Capital goods,Tariff,Weighted Average (%),0.407656525600005
Chile,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Chile,2019,World,All Products,Trade Indicator,Country Growth (%),-3.16364823922138
Chile,2019,World,All Products,Tariff,Simple Average (%),1.03761071728018
Chile,2019,World,All Products,Tariff,Weighted Average (%),0.428408741604289
Chile,2019,World,All Products,Tariff,Maximum Rate (%),6
Chile,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),81.1898016997167
Chile,2019,...,...,Trade Indicator,Index of export market penetration,4.99475716733587
Chile,2019,...,...,Trade Indicator,HH Market concentration index,0.150534961875356
Chile,2019,...,...,Development,Trade Balance (% of GDP),-0.362019670000002
Chile,2019,...,...,Development,Trade in services (% of GDP),8.476613506
Chile,2019,...,...,Development,Trade (% of GDP),56.76178882
Chile,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",15010
