Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cote d'Ivoire,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1358.75644291943
Cote d'Ivoire,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,767.522034548538
Cote d'Ivoire,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,752.958567018522
Cote d'Ivoire,2019,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,634.138333796726
Cote d'Ivoire,2019,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,620.699376804645
Cote d'Ivoire,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1801.97725184912
Cote d'Ivoire,2019,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1409.93950009242
Cote d'Ivoire,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1125.83552965289
Cote d'Ivoire,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,522.35596830208
Cote d'Ivoire,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,447.487481724611
Cote d'Ivoire,2019,World,Animal,Export,Export(US$ Mil),12.9161965847748
Cote d'Ivoire,2019,World,Vegetable,Export,Export(US$ Mil),1494.84099715508
Cote d'Ivoire,2019,World,Food Products,Export,Export(US$ Mil),5227.60902085188
Cote d'Ivoire,2019,World,Minerals,Export,Export(US$ Mil),181.237013127784
Cote d'Ivoire,2019,World,Fuels,Export,Export(US$ Mil),2135.94014697004
Cote d'Ivoire,2019,World,Chemicals,Export,Export(US$ Mil),396.648890508262
Cote d'Ivoire,2019,World,Plastic or Rubber,Export,Export(US$ Mil),1041.88563079281
Cote d'Ivoire,2019,World,Hides and Skins,Export,Export(US$ Mil),2.30845746066888
Cote d'Ivoire,2019,World,Wood,Export,Export(US$ Mil),213.077056749481
Cote d'Ivoire,2019,World,Textiles and Clothing,Export,Export(US$ Mil),436.407521257889
Cote d'Ivoire,2019,World,Footwear,Export,Export(US$ Mil),49.6001958509291
Cote d'Ivoire,2019,World,Stone and Glass,Export,Export(US$ Mil),1080.39723680357
Cote d'Ivoire,2019,World,Metals,Export,Export(US$ Mil),46.9542235484871
Cote d'Ivoire,2019,World,Mach and Elec,Export,Export(US$ Mil),77.6653325092903
Cote d'Ivoire,2019,World,Transportation,Export,Export(US$ Mil),287.347514437208
Cote d'Ivoire,2019,World,Miscellaneous,Export,Export(US$ Mil),33.0161113591127
Cote d'Ivoire,2019,World,Raw materials,Export,Export(US$ Mil),7176.64219815057
Cote d'Ivoire,2019,World,Intermediate goods,Export,Export(US$ Mil),2881.15866285143
Cote d'Ivoire,2019,World,Consumer goods,Export,Export(US$ Mil),2288.09127640423
Cote d'Ivoire,2019,World,Capital goods,Export,Export(US$ Mil),371.959408561036
Cote d'Ivoire,2019,World,Raw materials,Import,Import(US$ Mil),2609.48761643603
Cote d'Ivoire,2019,World,Intermediate goods,Import,Import(US$ Mil),2372.6366469096
Cote d'Ivoire,2019,World,Consumer goods,Import,Import(US$ Mil),3439.81725337943
Cote d'Ivoire,2019,World,Capital goods,Import,Import(US$ Mil),2059.55034762827
Cote d'Ivoire,2019,World,All Products,Export,Exports (in US$ Mil),12717.8515459673
Cote d'Ivoire,2019,World,All Products,Import,Imports (in US$ Mil),10482.5605531709
Cote d'Ivoire,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2559762.07749022
Cote d'Ivoire,2019,...,...,Development,Trade Balance (current US$ Mil),674.163824
Cote d'Ivoire,2019,...,...,Development,GDP (current US$ Mil),58539.42493
Cote d'Ivoire,2019,...,...,Tariff,No. Of Tariff Agreement,2
Cote d'Ivoire,2019,...,...,Import,No. Of Import partners,192
Cote d'Ivoire,2019,...,...,Import,No. Of Import products,3877
Cote d'Ivoire,2019,...,...,Export,No. Of Export partners,147
Cote d'Ivoire,2019,...,...,Export,No. Of Export products,2361
Cote d'Ivoire,2019,...,...,Others,Population,25716544
Cote d'Ivoire,2019,...,...,Others,Ease of Doing Business Rank,110
Cote d'Ivoire,2019,...,...,Others,Trading Across Borders Rank,163
Cote d'Ivoire,2019,...,...,Others,CPIA Trade Ratings,4
Cote d'Ivoire,2018,...,...,Others,LPI Rank,50
Cote d'Ivoire,2018,...,...,Others,LPI Score,3.08
Cote d'Ivoire,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Cote d'Ivoire,2012,...,...,Others,No Of NTM Measures,28
Cote d'Ivoire,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2906871
Cote d'Ivoire,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.3167185
Cote d'Ivoire,,...,...,Others,Services Trade Restrictions Index - Over All,26.4
Cote d'Ivoire,2019,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,10.6839
Cote d'Ivoire,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,6.035
Cote d'Ivoire,2019,France,All Products,Export,Partner share(%)-Top 5 Export Partner,5.9205
Cote d'Ivoire,2019,Malaysia,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9862
Cote d'Ivoire,2019,Vietnam,All Products,Export,Partner share(%)-Top 5 Export Partner,4.8805
Cote d'Ivoire,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,17.1902
Cote d'Ivoire,2019,Nigeria,All Products,Import,Partner share(%)-Top 5 Import Partner,13.4503
Cote d'Ivoire,2019,France,All Products,Import,Partner share(%)-Top 5 Import Partner,10.7401
Cote d'Ivoire,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,4.9831
Cote d'Ivoire,2019,India,All Products,Import,Partner share(%)-Top 5 Import Partner,4.2689
Cote d'Ivoire,2019,World,Animal,Export,Export Product share(%),0.1016
Cote d'Ivoire,2019,World,Vegetable,Export,Export Product share(%),11.7539
Cote d'Ivoire,2019,World,Food Products,Export,Export Product share(%),41.1045
Cote d'Ivoire,2019,World,Minerals,Export,Export Product share(%),1.4251
Cote d'Ivoire,2019,World,Fuels,Export,Export Product share(%),16.7948
Cote d'Ivoire,2019,World,Chemicals,Export,Export Product share(%),3.1188
Cote d'Ivoire,2019,World,Plastic or Rubber,Export,Export Product share(%),8.1923
Cote d'Ivoire,2019,World,Hides and Skins,Export,Export Product share(%),0.0182
Cote d'Ivoire,2019,World,Wood,Export,Export Product share(%),1.6754
Cote d'Ivoire,2019,World,Textiles and Clothing,Export,Export Product share(%),3.4315
Cote d'Ivoire,2019,World,Footwear,Export,Export Product share(%),0.39
Cote d'Ivoire,2019,World,Stone and Glass,Export,Export Product share(%),8.4951
Cote d'Ivoire,2019,World,Metals,Export,Export Product share(%),0.3692
Cote d'Ivoire,2019,World,Mach and Elec,Export,Export Product share(%),0.6107
Cote d'Ivoire,2019,World,Transportation,Export,Export Product share(%),2.2594
Cote d'Ivoire,2019,World,Miscellaneous,Export,Export Product share(%),0.2596
Cote d'Ivoire,2019,World,Raw materials,Export,Export Product share(%),56.4297
Cote d'Ivoire,2019,World,Intermediate goods,Export,Export Product share(%),22.6544
Cote d'Ivoire,2019,World,Consumer goods,Export,Export Product share(%),17.9912
Cote d'Ivoire,2019,World,Capital goods,Export,Export Product share(%),2.9247
Cote d'Ivoire,2019,World,Raw materials,Import,Import Product share(%),24.8936
