Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Colombia,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12265.65257402
Colombia,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4564.92882818
Colombia,2019,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2354.48770605
Colombia,2019,Ecuador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1953.80610126
Colombia,2019,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1465.74337481
Colombia,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13375.28738121
Colombia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10966.76007493
Colombia,2019,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3879.6205984
Colombia,2019,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3173.99401573
Colombia,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2172.66064696
Colombia,2019,World,Animal,Export,Export(US$ Mil),321.9935137
Colombia,2019,World,Vegetable,Export,Export(US$ Mil),5688.71459074
Colombia,2019,World,Food Products,Export,Export(US$ Mil),1300.98642907
Colombia,2019,World,Minerals,Export,Export(US$ Mil),67.89675357
Colombia,2019,World,Fuels,Export,Export(US$ Mil),21631.82123837
Colombia,2019,World,Chemicals,Export,Export(US$ Mil),1907.45002854
Colombia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),1556.37802064
Colombia,2019,World,Hides and Skins,Export,Export(US$ Mil),120.91455654
Colombia,2019,World,Wood,Export,Export(US$ Mil),477.43413932
Colombia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),733.09351431
Colombia,2019,World,Footwear,Export,Export(US$ Mil),39.88429695
Colombia,2019,World,Stone and Glass,Export,Export(US$ Mil),2234.70879084
Colombia,2019,World,Metals,Export,Export(US$ Mil),1444.6743249
Colombia,2019,World,Mach and Elec,Export,Export(US$ Mil),888.12558511
Colombia,2019,World,Transportation,Export,Export(US$ Mil),738.60979275
Colombia,2019,World,Miscellaneous,Export,Export(US$ Mil),336.67388664
Colombia,2019,World,Raw materials,Export,Export(US$ Mil),22190.96064929
Colombia,2019,World,Intermediate goods,Export,Export(US$ Mil),6943.52601912
Colombia,2019,World,Consumer goods,Export,Export(US$ Mil),9205.34251763
Colombia,2019,World,Capital goods,Export,Export(US$ Mil),1136.90335025
Colombia,2019,World,Raw materials,Import,Import(US$ Mil),3768.36744537
Colombia,2019,World,Intermediate goods,Import,Import(US$ Mil),14673.28319615
Colombia,2019,World,Consumer goods,Import,Import(US$ Mil),18567.53763983
Colombia,2019,World,Capital goods,Import,Import(US$ Mil),15217.2132066
Colombia,2019,World,All Products,Export,Exports (in US$ Mil),39489.35946199
Colombia,2019,World,All Products,Import,Imports (in US$ Mil),52695.88170365
Colombia,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),33229782.26441
Colombia,2019,...,...,Development,Trade Balance (current US$ Mil),-19785.71132
Colombia,2019,...,...,Development,GDP (current US$ Mil),323616
Colombia,2019,...,...,Tariff,No. Of Tariff Agreement,66
Colombia,2019,...,...,Import,No. Of Import partners,201
Colombia,2019,...,...,Import,No. Of Import products,4196
Colombia,2019,...,...,Export,No. Of Export partners,187
Colombia,2019,...,...,Export,No. Of Export products,3357
Colombia,2019,...,...,Others,Population,50339443
Colombia,2019,...,...,Others,Ease of Doing Business Rank,67
Colombia,2019,...,...,Others,Trading Across Borders Rank,133
Colombia,2019,...,...,Others,CPIA Trade Ratings,
Colombia,2018,...,...,Others,LPI Rank,58
Colombia,2018,...,...,Others,LPI Score,2.94
Colombia,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),4024
Colombia,2014,...,...,Others,No Of NTM Measures,68
Colombia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2053517
Colombia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2292567
Colombia,,...,...,Others,Services Trade Restrictions Index - Over All,18.3
Colombia,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.5811700821
Colombia,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.182856917
Colombia,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,31.0607
Colombia,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,11.5599
