Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Comoros,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22.4346332515672
Comoros,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9.275355210128
Comoros,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.89754220840416
Comoros,2019,Madagascar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.86883163004672
Comoros,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.6768813505952
Comoros,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,43.6738294542678
Comoros,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30.5552061359368
Comoros,2019,Pakistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30.4508442773518
Comoros,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19.4371330628128
Comoros,2019,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8.80347450413571
Comoros,2019,World,Animal,Export,Export(US$ Mil),0.001402979082624
Comoros,2019,World,Vegetable,Export,Export(US$ Mil),21.2652818467394
Comoros,2019,World,Food Products,Export,Export(US$ Mil),0.07456057390656
Comoros,2019,World,Minerals,Export,Export(US$ Mil),0.00182889668584
Comoros,2019,World,Fuels,Export,Export(US$ Mil),0.012281454359104
Comoros,2019,World,Chemicals,Export,Export(US$ Mil),12.5771375119193
Comoros,2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.003229103136
Comoros,2019,World,Hides and Skins,Export,Export(US$ Mil),0.0022736
Comoros,2019,World,Wood,Export,Export(US$ Mil),0.007647344544
Comoros,2019,World,Textiles and Clothing,Export,Export(US$ Mil),0.487474215336192
Comoros,2019,World,Footwear,Export,Export(US$ Mil),0.03835381312
Comoros,2019,World,Stone and Glass,Export,Export(US$ Mil),0.00102312
Comoros,2019,World,Metals,Export,Export(US$ Mil),0.620698470267456
Comoros,2019,World,Mach and Elec,Export,Export(US$ Mil),3.58587970716012
Comoros,2019,World,Transportation,Export,Export(US$ Mil),0.127867401598272
Comoros,2019,World,Miscellaneous,Export,Export(US$ Mil),10.2172806806694
Comoros,2019,World,Raw materials,Export,Export(US$ Mil),0.158973282057744
Comoros,2019,World,Intermediate goods,Export,Export(US$ Mil),12.6458573768545
Comoros,2019,World,Consumer goods,Export,Export(US$ Mil),32.4500011752497
Comoros,2019,World,Capital goods,Export,Export(US$ Mil),3.7693888843623
Comoros,2019,World,Raw materials,Import,Import(US$ Mil),25.2223504752788
Comoros,2019,World,Intermediate goods,Import,Import(US$ Mil),60.0109904167569
Comoros,2019,World,Consumer goods,Import,Import(US$ Mil),96.8417194105248
Comoros,2019,World,Capital goods,Import,Import(US$ Mil),15.262250044788
Comoros,2019,World,All Products,Export,Exports (in US$ Mil),49.0242207185244
Comoros,2019,World,All Products,Import,Imports (in US$ Mil),201.191155516453
Comoros,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),112250.538167633
Comoros,2019,...,...,Development,Trade Balance (current US$ Mil),-191.8568362
Comoros,2019,...,...,Development,GDP (current US$ Mil),1165.839927
Comoros,2019,...,...,Tariff,No. Of Tariff Agreement,4
