Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cape Verde,2019,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,40.88934986
Cape Verde,2019,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10.63012341
Cape Verde,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.93076572
Cape Verde,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.77542196
Cape Verde,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.42013189
Cape Verde,2019,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,353.77989339
Cape Verde,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,102.19262661
Cape Verde,2019,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,83.9846908699999
Cape Verde,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,40.82048866
Cape Verde,2019,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26.00943029
Cape Verde,2019,World,Animal,Export,Export(US$ Mil),10.14750702
Cape Verde,2019,World,Vegetable,Export,Export(US$ Mil),0.3051505
Cape Verde,2019,World,Food Products,Export,Export(US$ Mil),39.60045914
Cape Verde,2019,World,Minerals,Export,Export(US$ Mil),0.1010856
Cape Verde,2019,World,Fuels,Export,Export(US$ Mil),
Cape Verde,2019,World,Chemicals,Export,Export(US$ Mil),0.14902977
Cape Verde,2019,World,Plastic or Rubber,Export,Export(US$ Mil),
Cape Verde,2019,World,Hides and Skins,Export,Export(US$ Mil),0.00226879
Cape Verde,2019,World,Wood,Export,Export(US$ Mil),0.00274745
Cape Verde,2019,World,Textiles and Clothing,Export,Export(US$ Mil),6.54501278
Cape Verde,2019,World,Footwear,Export,Export(US$ Mil),3.30993602
Cape Verde,2019,World,Stone and Glass,Export,Export(US$ Mil),
Cape Verde,2019,World,Metals,Export,Export(US$ Mil),
Cape Verde,2019,World,Mach and Elec,Export,Export(US$ Mil),0.34673977
Cape Verde,2019,World,Transportation,Export,Export(US$ Mil),
Cape Verde,2019,World,Miscellaneous,Export,Export(US$ Mil),1.36937609
Cape Verde,2019,World,Raw materials,Export,Export(US$ Mil),9.84068854
Cape Verde,2019,World,Intermediate goods,Export,Export(US$ Mil),5.76438389
Cape Verde,2019,World,Consumer goods,Export,Export(US$ Mil),45.92750073
Cape Verde,2019,World,Capital goods,Export,Export(US$ Mil),0.34673977
Cape Verde,2019,World,Raw materials,Import,Import(US$ Mil),81.72215761
Cape Verde,2019,World,Intermediate goods,Import,Import(US$ Mil),137.0002207
Cape Verde,2019,World,Consumer goods,Import,Import(US$ Mil),429.72360558
Cape Verde,2019,World,Capital goods,Import,Import(US$ Mil),141.24322333
Cape Verde,2019,World,All Products,Export,Exports (in US$ Mil),61.87931293
Cape Verde,2019,World,All Products,Import,Imports (in US$ Mil),789.70584573
Cape Verde,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),194898.3442
Cape Verde,2019,...,...,Development,Trade Balance (current US$ Mil),-287.083757
Cape Verde,2019,...,...,Development,GDP (current US$ Mil),1981.84574
Cape Verde,2019,...,...,Tariff,No. Of Tariff Agreement,1
Cape Verde,2019,...,...,Import,No. Of Import partners,88
Cape Verde,2019,...,...,Import,No. Of Import products,3248
Cape Verde,2019,...,...,Export,No. Of Export partners,16
Cape Verde,2019,...,...,Export,No. Of Export products,58
Cape Verde,2019,...,...,Others,Population,549935
Cape Verde,2019,...,...,Others,Ease of Doing Business Rank,137
Cape Verde,2019,...,...,Others,Trading Across Borders Rank,109
Cape Verde,2019,...,...,Others,CPIA Trade Ratings,4.5
Cape Verde,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
Cape Verde,2014,...,...,Others,No Of NTM Measures,44
Cape Verde,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1016876
Cape Verde,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1016876
Cape Verde,2019,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,66.0792
Cape Verde,2019,Portugal,All Products,Export,Partner share(%)-Top 5 Export Partner,17.1788
Cape Verde,2019,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,11.2005
Cape Verde,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,2.8692
Cape Verde,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,0.679
Cape Verde,2019,Portugal,All Products,Import,Partner share(%)-Top 5 Import Partner,44.7989
Cape Verde,2019,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,12.9406
Cape Verde,2019,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,10.6349
Cape Verde,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1691
Cape Verde,2019,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,3.2936
Cape Verde,2019,World,Animal,Export,Export Product share(%),16.3989
Cape Verde,2019,World,Vegetable,Export,Export Product share(%),0.4931
Cape Verde,2019,World,Food Products,Export,Export Product share(%),63.9963
Cape Verde,2019,World,Minerals,Export,Export Product share(%),0.1634
Cape Verde,2019,World,Fuels,Export,Export Product share(%),
Cape Verde,2019,World,Chemicals,Export,Export Product share(%),0.2408
Cape Verde,2019,World,Plastic or Rubber,Export,Export Product share(%),
Cape Verde,2019,World,Hides and Skins,Export,Export Product share(%),0.0037
Cape Verde,2019,World,Wood,Export,Export Product share(%),0.0044
Cape Verde,2019,World,Textiles and Clothing,Export,Export Product share(%),10.5771
Cape Verde,2019,World,Footwear,Export,Export Product share(%),5.349
Cape Verde,2019,World,Stone and Glass,Export,Export Product share(%),
Cape Verde,2019,World,Metals,Export,Export Product share(%),
Cape Verde,2019,World,Mach and Elec,Export,Export Product share(%),0.5603
Cape Verde,2019,World,Transportation,Export,Export Product share(%),
Cape Verde,2019,World,Miscellaneous,Export,Export Product share(%),2.213
Cape Verde,2019,World,Raw materials,Export,Export Product share(%),15.903
Cape Verde,2019,World,Intermediate goods,Export,Export Product share(%),9.3155
Cape Verde,2019,World,Consumer goods,Export,Export Product share(%),74.2211
Cape Verde,2019,World,Capital goods,Export,Export Product share(%),0.5603
Cape Verde,2019,World,Raw materials,Import,Import Product share(%),10.3484
