Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Costa Rica,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4849.08822597
Costa Rica,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,720.81258399
Costa Rica,2019,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,706.37005265
Costa Rica,2019,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,595.427859370001
Costa Rica,2019,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,591.61706634
Costa Rica,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6190.66846856
Costa Rica,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2123.51227539
Costa Rica,2019,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1087.64619467
Costa Rica,2019,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,506.16114819
Costa Rica,2019,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,398.64369945
Costa Rica,2019,World,Animal,Export,Export(US$ Mil),377.32616199
Costa Rica,2019,World,Vegetable,Export,Export(US$ Mil),2908.71657687
Costa Rica,2019,World,Food Products,Export,Export(US$ Mil),1367.26785487
Costa Rica,2019,World,Minerals,Export,Export(US$ Mil),31.087747
Costa Rica,2019,World,Fuels,Export,Export(US$ Mil),2.15890278
Costa Rica,2019,World,Chemicals,Export,Export(US$ Mil),701.6267457
Costa Rica,2019,World,Plastic or Rubber,Export,Export(US$ Mil),670.92030871
Costa Rica,2019,World,Hides and Skins,Export,Export(US$ Mil),9.58309266
Costa Rica,2019,World,Wood,Export,Export(US$ Mil),307.39301597
Costa Rica,2019,World,Textiles and Clothing,Export,Export(US$ Mil),128.62572443
Costa Rica,2019,World,Footwear,Export,Export(US$ Mil),2.72724619
Costa Rica,2019,World,Stone and Glass,Export,Export(US$ Mil),183.33607346
Costa Rica,2019,World,Metals,Export,Export(US$ Mil),424.10651598
Costa Rica,2019,World,Mach and Elec,Export,Export(US$ Mil),587.26333468
