Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Czech Republic,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,63526.531285
Czech Republic,2019,Slovak Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15099.747903
Czech Republic,2019,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12027.950281
Czech Republic,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10242.84542
Czech Republic,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8990.745019
Czech Republic,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,44101.04838
Czech Republic,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28337.633065
Czech Republic,2019,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13685.787965
Czech Republic,2019,Slovak Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7868.115276
Czech Republic,2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7364.011026
Czech Republic,2019,World,Animal,Export,Export(US$ Mil),1678.702202
Czech Republic,2019,World,Vegetable,Export,Export(US$ Mil),2070.180623
Czech Republic,2019,World,Food Products,Export,Export(US$ Mil),4900.025791
Czech Republic,2019,World,Minerals,Export,Export(US$ Mil),305.984108
Czech Republic,2019,World,Fuels,Export,Export(US$ Mil),3439.198658
Czech Republic,2019,World,Chemicals,Export,Export(US$ Mil),9612.352317
Czech Republic,2019,World,Plastic or Rubber,Export,Export(US$ Mil),10556.856423
Czech Republic,2019,World,Hides and Skins,Export,Export(US$ Mil),524.621056
Czech Republic,2019,World,Wood,Export,Export(US$ Mil),6543.265878
Czech Republic,2019,World,Textiles and Clothing,Export,Export(US$ Mil),5206.858971
Czech Republic,2019,World,Footwear,Export,Export(US$ Mil),1034.601086
Czech Republic,2019,World,Stone and Glass,Export,Export(US$ Mil),3934.69765
Czech Republic,2019,World,Metals,Export,Export(US$ Mil),16253.784107
Czech Republic,2019,World,Mach and Elec,Export,Export(US$ Mil),76603.629827
Czech Republic,2019,World,Transportation,Export,Export(US$ Mil),42075.300907
Czech Republic,2019,World,Miscellaneous,Export,Export(US$ Mil),14729.650731
Czech Republic,2019,World,Raw materials,Export,Export(US$ Mil),5565.12482800001
Czech Republic,2019,World,Intermediate goods,Export,Export(US$ Mil),26746.796194
Czech Republic,2019,World,Consumer goods,Export,Export(US$ Mil),75532.089524
Czech Republic,2019,World,Capital goods,Export,Export(US$ Mil),91301.673929
Czech Republic,2019,World,Raw materials,Import,Import(US$ Mil),10395.081847
Czech Republic,2019,World,Intermediate goods,Import,Import(US$ Mil),33582.425987
Czech Republic,2019,World,Consumer goods,Import,Import(US$ Mil),55610.522449
Czech Republic,2019,World,Capital goods,Import,Import(US$ Mil),79497.886439
Czech Republic,2019,World,All Products,Export,Exports (in US$ Mil),199469.710335
Czech Republic,2019,World,All Products,Import,Imports (in US$ Mil),179273.065047
