Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Germany,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,133545.758292919
Germany,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,119249.537119852
Germany,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,108330.594451445
Germany,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,92760.19493244
Germany,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,88405.5720989485
Germany,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,124354.300873851
Germany,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,97401.3775742514
Germany,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,81475.2741415496
Germany,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,74051.2224017722
Germany,2019,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,64465.7265395
Germany,2019,World,Animal,Export,Export(US$ Mil),23646.656871512
Germany,2019,World,Vegetable,Export,Export(US$ Mil),17212.0291831724
Germany,2019,World,Food Products,Export,Export(US$ Mil),45312.3760994396
Germany,2019,World,Minerals,Export,Export(US$ Mil),3785.50523130347
Germany,2019,World,Fuels,Export,Export(US$ Mil),34063.8113808423
Germany,2019,World,Chemicals,Export,Export(US$ Mil),192060.985285507
Germany,2019,World,Plastic or Rubber,Export,Export(US$ Mil),77736.6901348379
Germany,2019,World,Hides and Skins,Export,Export(US$ Mil),3708.10433662862
Germany,2019,World,Wood,Export,Export(US$ Mil),37532.4460398914
Germany,2019,World,Textiles and Clothing,Export,Export(US$ Mil),38971.4413225663
Germany,2019,World,Footwear,Export,Export(US$ Mil),9979.81303703051
Germany,2019,World,Stone and Glass,Export,Export(US$ Mil),32884.8436916876
Germany,2019,World,Metals,Export,Export(US$ Mil),107121.732596808
Germany,2019,World,Mach and Elec,Export,Export(US$ Mil),415057.091394211
Germany,2019,World,Transportation,Export,Export(US$ Mil),298824.091837531
Germany,2019,World,Miscellaneous,Export,Export(US$ Mil),155368.945407463
Germany,2019,World,Raw materials,Export,Export(US$ Mil),37518.4296374227
Germany,2019,World,Intermediate goods,Export,Export(US$ Mil),279414.572420185
