Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Dominican Republic,2018,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5217.17352752899
Dominican Republic,2018,Haiti,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,874.813480619999
Dominican Republic,2018,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,674.79931685
Dominican Republic,2018,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,637.718594330001
Dominican Republic,2018,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,257.093903
Dominican Republic,2018,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9647.34124729584
Dominican Republic,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3177.6149201209
Dominican Republic,2018,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,817.855689900334
Dominican Republic,2018,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,806.45945292394
Dominican Republic,2018,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,776.990613915732
Dominican Republic,2018,World,Animal,Export,Export(US$ Mil),46.26512506
Dominican Republic,2018,World,Vegetable,Export,Export(US$ Mil),517.42341533
Dominican Republic,2018,World,Food Products,Export,Export(US$ Mil),1637.4421579257
Dominican Republic,2018,World,Minerals,Export,Export(US$ Mil),149.74470222
Dominican Republic,2018,World,Fuels,Export,Export(US$ Mil),27.51153946
Dominican Republic,2018,World,Chemicals,Export,Export(US$ Mil),407.3463196549
Dominican Republic,2018,World,Plastic or Rubber,Export,Export(US$ Mil),668.61260367
Dominican Republic,2018,World,Hides and Skins,Export,Export(US$ Mil),20.961129651
Dominican Republic,2018,World,Wood,Export,Export(US$ Mil),104.476952149
Dominican Republic,2018,World,Textiles and Clothing,Export,Export(US$ Mil),859.1684916545
Dominican Republic,2018,World,Footwear,Export,Export(US$ Mil),316.9854532178
Dominican Republic,2018,World,Stone and Glass,Export,Export(US$ Mil),1952.657512791
Dominican Republic,2018,World,Metals,Export,Export(US$ Mil),566.97200375
Dominican Republic,2018,World,Mach and Elec,Export,Export(US$ Mil),1056.7100753801
Dominican Republic,2018,World,Transportation,Export,Export(US$ Mil),29.61368678
Dominican Republic,2018,World,Miscellaneous,Export,Export(US$ Mil),1033.7201126966
Dominican Republic,2018,World,Raw materials,Export,Export(US$ Mil),953.4234365448
Dominican Republic,2018,World,Intermediate goods,Export,Export(US$ Mil),2659.9480296527
Dominican Republic,2018,World,Consumer goods,Export,Export(US$ Mil),3784.136536663
Dominican Republic,2018,World,Capital goods,Export,Export(US$ Mil),1998.1032785301
Dominican Republic,2018,World,Raw materials,Import,Import(US$ Mil),2237.23263487109
Dominican Republic,2018,World,Intermediate goods,Import,Import(US$ Mil),5093.04245990512
Dominican Republic,2018,World,Consumer goods,Import,Import(US$ Mil),10675.6093091307
Dominican Republic,2018,World,Capital goods,Import,Import(US$ Mil),4174.77823012064
Dominican Republic,2018,World,All Products,Export,Exports (in US$ Mil),9395.61128139059
Dominican Republic,2018,World,All Products,Import,Imports (in US$ Mil),22181.0798646336
Dominican Republic,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),11453405.06231
Dominican Republic,2019,...,...,Development,Trade Balance (current US$ Mil),-4333.736727
Dominican Republic,2019,...,...,Development,GDP (current US$ Mil),88941.299734
Dominican Republic,2018,...,...,Tariff,No. Of Tariff Agreement,6
Dominican Republic,2018,...,...,Import,No. Of Import partners,198
Dominican Republic,2018,...,...,Import,No. Of Import products,4089
Dominican Republic,2018,...,...,Export,No. Of Export partners,144
Dominican Republic,2018,...,...,Export,No. Of Export products,2940
Dominican Republic,2019,...,...,Others,Population,10738958
Dominican Republic,2019,...,...,Others,Ease of Doing Business Rank,115
Dominican Republic,2019,...,...,Others,Trading Across Borders Rank,66
Dominican Republic,2019,...,...,Others,CPIA Trade Ratings,
Dominican Republic,2018,...,...,Others,LPI Rank,87
Dominican Republic,2018,...,...,Others,LPI Score,2.66
Dominican Republic,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),3
Dominican Republic,2013,...,...,Others,No Of NTM Measures,2
