Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,894488.691133413
,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,566623.422916251
,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,494235.885934048
,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,420476.361658837
,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,363158.491459631
,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,908052.560704044
,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,637874.475661143
,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,416504.907824708
,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,387380.509817586
,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,372183.645178006
,2019,World,Animal,Export,Export(US$ Mil),181529.961194854
,2019,World,Vegetable,Export,Export(US$ Mil),199202.322871309
,2019,World,Food Products,Export,Export(US$ Mil),317538.303959031
,2019,World,Minerals,Export,Export(US$ Mil),42855.2698488269
,2019,World,Fuels,Export,Export(US$ Mil),672047.820386464
,2019,World,Chemicals,Export,Export(US$ Mil),1009498.773077
,2019,World,Plastic or Rubber,Export,Export(US$ Mil),336174.891300406
,2019,World,Hides and Skins,Export,Export(US$ Mil),48098.4239458627
,2019,World,Wood,Export,Export(US$ Mil),207494.917420784
,2019,World,Textiles and Clothing,Export,Export(US$ Mil),251488.29932614
,2019,World,Footwear,Export,Export(US$ Mil),62335.0575400955
,2019,World,Stone and Glass,Export,Export(US$ Mil),303248.736876371
,2019,World,Metals,Export,Export(US$ Mil),548755.988131654
,2019,World,Mach and Elec,Export,Export(US$ Mil),1496156.64516845
,2019,World,Transportation,Export,Export(US$ Mil),974072.476419085
,2019,World,Miscellaneous,Export,Export(US$ Mil),666729.272851836
,2019,World,Raw materials,Export,Export(US$ Mil),622443.394619093
,2019,World,Intermediate goods,Export,Export(US$ Mil),1646468.09526086
,2019,World,Consumer goods,Export,Export(US$ Mil),2702048.91206013
