Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ecuador,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6732.8948179
Ecuador,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2896.8313997
Ecuador,2019,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1918.5486891
Ecuador,2019,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1485.0603277
Ecuador,2019,Peru,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,951.9613822
Ecuador,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4390.6045977
Ecuador,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3837.685967
Ecuador,2019,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1597.2802677
Ecuador,2019,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1040.153254
Ecuador,2019,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,884.9033476
Ecuador,2019,World,Animal,Export,Export(US$ Mil),4238.1967723
Ecuador,2019,World,Vegetable,Export,Export(US$ Mil),4786.1592792
Ecuador,2019,World,Food Products,Export,Export(US$ Mil),2604.8687299
Ecuador,2019,World,Minerals,Export,Export(US$ Mil),138.1343229
Ecuador,2019,World,Fuels,Export,Export(US$ Mil),8746.4651974
Ecuador,2019,World,Chemicals,Export,Export(US$ Mil),101.7499602
Ecuador,2019,World,Plastic or Rubber,Export,Export(US$ Mil),175.2913839
Ecuador,2019,World,Hides and Skins,Export,Export(US$ Mil),7.4628964
Ecuador,2019,World,Wood,Export,Export(US$ Mil),526.8714273
Ecuador,2019,World,Textiles and Clothing,Export,Export(US$ Mil),103.7086569
Ecuador,2019,World,Footwear,Export,Export(US$ Mil),37.4742888
Ecuador,2019,World,Stone and Glass,Export,Export(US$ Mil),251.1039271
Ecuador,2019,World,Metals,Export,Export(US$ Mil),336.6114434
Ecuador,2019,World,Mach and Elec,Export,Export(US$ Mil),151.1826037
Ecuador,2019,World,Transportation,Export,Export(US$ Mil),78.8636618
Ecuador,2019,World,Miscellaneous,Export,Export(US$ Mil),45.2343381
Ecuador,2019,World,Raw materials,Export,Export(US$ Mil),16623.0496512
Ecuador,2019,World,Intermediate goods,Export,Export(US$ Mil),1351.550703
Ecuador,2019,World,Consumer goods,Export,Export(US$ Mil),4181.2198654
Ecuador,2019,World,Capital goods,Export,Export(US$ Mil),171.3241091
Ecuador,2019,World,Raw materials,Import,Import(US$ Mil),970.2137352
Ecuador,2019,World,Intermediate goods,Import,Import(US$ Mil),6771.9368109
Ecuador,2019,World,Consumer goods,Import,Import(US$ Mil),8067.75538929999
Ecuador,2019,World,Capital goods,Import,Import(US$ Mil),4378.3502717
Ecuador,2019,World,All Products,Export,Exports (in US$ Mil),22329.3788893
Ecuador,2019,World,All Products,Import,Imports (in US$ Mil),20277.091794
Ecuador,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),10679430.74017
Ecuador,2019,...,...,Development,Trade Balance (current US$ Mil),43.153
Ecuador,2019,...,...,Development,GDP (current US$ Mil),107436
Ecuador,2019,...,...,Tariff,No. Of Tariff Agreement,46
Ecuador,2019,...,...,Import,No. Of Import partners,187
Ecuador,2019,...,...,Import,No. Of Import products,3995
Ecuador,2019,...,...,Export,No. Of Export partners,156
Ecuador,2019,...,...,Export,No. Of Export products,2252
Ecuador,2019,...,...,Others,Population,17373662
Ecuador,2019,...,...,Others,Ease of Doing Business Rank,129
Ecuador,2019,...,...,Others,Trading Across Borders Rank,103
Ecuador,2019,...,...,Others,CPIA Trade Ratings,
Ecuador,2018,...,...,Others,LPI Rank,62
Ecuador,2018,...,...,Others,LPI Score,2.88
Ecuador,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),2985
Ecuador,2014,...,...,Others,No Of NTM Measures,62
Ecuador,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0333879
Ecuador,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0497022
Ecuador,,...,...,Others,Services Trade Restrictions Index - Over All,6.2
Ecuador,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.0193723366
Ecuador,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.0405648313
Ecuador,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,30.1526
Ecuador,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,12.9732
Ecuador,2019,Panama,All Products,Export,Partner share(%)-Top 5 Export Partner,8.592
Ecuador,2019,Chile,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6507
