Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Egypt, Arab Rep.",2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2216.6870541594
"Egypt, Arab Rep.",2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2069.45076141561
"Egypt, Arab Rep.",2019,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1743.45534390345
"Egypt, Arab Rep.",2019,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1702.15099810831
"Egypt, Arab Rep.",2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1694.14150953039
"Egypt, Arab Rep.",2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12040.8705285597
"Egypt, Arab Rep.",2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5216.35254454798
"Egypt, Arab Rep.",2019,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5214.08613766615
"Egypt, Arab Rep.",2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4338.86008434385
"Egypt, Arab Rep.",2019,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3675.59353554584
"Egypt, Arab Rep.",2019,World,Animal,Export,Export(US$ Mil),412.901269072272
"Egypt, Arab Rep.",2019,World,Vegetable,Export,Export(US$ Mil),3408.85701800361
"Egypt, Arab Rep.",2019,World,Food Products,Export,Export(US$ Mil),1503.83119321493
"Egypt, Arab Rep.",2019,World,Minerals,Export,Export(US$ Mil),497.858398860068
"Egypt, Arab Rep.",2019,World,Fuels,Export,Export(US$ Mil),8114.9328451234
"Egypt, Arab Rep.",2019,World,Chemicals,Export,Export(US$ Mil),3474.17754740577
"Egypt, Arab Rep.",2019,World,Plastic or Rubber,Export,Export(US$ Mil),2146.25980010033
"Egypt, Arab Rep.",2019,World,Hides and Skins,Export,Export(US$ Mil),75.720076456932
"Egypt, Arab Rep.",2019,World,Wood,Export,Export(US$ Mil),568.028579258835
"Egypt, Arab Rep.",2019,World,Textiles and Clothing,Export,Export(US$ Mil),3244.13032474908
"Egypt, Arab Rep.",2019,World,Footwear,Export,Export(US$ Mil),4.28354930724282
"Egypt, Arab Rep.",2019,World,Stone and Glass,Export,Export(US$ Mil),3098.54305808534
"Egypt, Arab Rep.",2019,World,Metals,Export,Export(US$ Mil),1781.72909120576
"Egypt, Arab Rep.",2019,World,Mach and Elec,Export,Export(US$ Mil),1838.14565282746
"Egypt, Arab Rep.",2019,World,Transportation,Export,Export(US$ Mil),89.7256857846692
"Egypt, Arab Rep.",2019,World,Miscellaneous,Export,Export(US$ Mil),373.428810342728
"Egypt, Arab Rep.",2019,World,Raw materials,Export,Export(US$ Mil),5412.21002871349
"Egypt, Arab Rep.",2019,World,Intermediate goods,Export,Export(US$ Mil),9830.52713865154
"Egypt, Arab Rep.",2019,World,Consumer goods,Export,Export(US$ Mil),14772.8258511558
"Egypt, Arab Rep.",2019,World,Capital goods,Export,Export(US$ Mil),509.349568235501
"Egypt, Arab Rep.",2019,World,Raw materials,Import,Import(US$ Mil),17420.0474717112
"Egypt, Arab Rep.",2019,World,Intermediate goods,Import,Import(US$ Mil),22892.9877691189
"Egypt, Arab Rep.",2019,World,Consumer goods,Import,Import(US$ Mil),22553.3452848675
"Egypt, Arab Rep.",2019,World,Capital goods,Import,Import(US$ Mil),15724.766169641
"Egypt, Arab Rep.",2019,World,All Products,Export,Exports (in US$ Mil),30632.5528997984
"Egypt, Arab Rep.",2019,World,All Products,Import,Imports (in US$ Mil),78657.5179730216
