Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Spain,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,49138.8029742572
Spain,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,34767.3046431454
Spain,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,25988.8321341036
Spain,2019,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24523.3291037061
Spain,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22016.8456366639
Spain,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,44701.7131301778
Spain,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,37407.1089276284
Spain,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,32639.0384883123
Spain,2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23024.8228955348
Spain,2019,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19192.0950592576
Spain,2019,World,Animal,Export,Export(US$ Mil),13819.0603434929
Spain,2019,World,Vegetable,Export,Export(US$ Mil),25161.3463779209
Spain,2019,World,Food Products,Export,Export(US$ Mil),17477.7965924815
Spain,2019,World,Minerals,Export,Export(US$ Mil),3667.07512156813
Spain,2019,World,Fuels,Export,Export(US$ Mil),20345.8612862879
Spain,2019,World,Chemicals,Export,Export(US$ Mil),35139.9002652946
Spain,2019,World,Plastic or Rubber,Export,Export(US$ Mil),16412.6420996693
Spain,2019,World,Hides and Skins,Export,Export(US$ Mil),2185.90813390968
Spain,2019,World,Wood,Export,Export(US$ Mil),7949.50034319785
Spain,2019,World,Textiles and Clothing,Export,Export(US$ Mil),19105.2239680951
Spain,2019,World,Footwear,Export,Export(US$ Mil),3378.2000687238
Spain,2019,World,Stone and Glass,Export,Export(US$ Mil),9630.16940510857
Spain,2019,World,Metals,Export,Export(US$ Mil),26697.1852899972
Spain,2019,World,Mach and Elec,Export,Export(US$ Mil),42169.2746405094
Spain,2019,World,Transportation,Export,Export(US$ Mil),64007.2184108093
Spain,2019,World,Miscellaneous,Export,Export(US$ Mil),30068.7515295914
Spain,2019,World,Raw materials,Export,Export(US$ Mil),36919.2584703377
Spain,2019,World,Intermediate goods,Export,Export(US$ Mil),70125.0977532526
Spain,2019,World,Consumer goods,Export,Export(US$ Mil),143623.813610332
Spain,2019,World,Capital goods,Export,Export(US$ Mil),67426.0731193869
Spain,2019,World,Raw materials,Import,Import(US$ Mil),60002.7832025623
Spain,2019,World,Intermediate goods,Import,Import(US$ Mil),74977.8968333228
Spain,2019,World,Consumer goods,Import,Import(US$ Mil),136489.141548313
Spain,2019,World,Capital goods,Import,Import(US$ Mil),88544.4084333581
Spain,2019,World,All Products,Export,Exports (in US$ Mil),337215.113876657
Spain,2019,World,All Products,Import,Imports (in US$ Mil),375485.170269684
Spain,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),108572815.986061
Spain,2019,...,...,Development,Trade Balance (current US$ Mil),41937
Spain,2019,...,...,Development,GDP (current US$ Mil),1393490
Spain,2019,...,...,Tariff,No. Of Tariff Agreement,
Spain,2019,...,...,Import,No. Of Import partners,230
Spain,2019,...,...,Import,No. Of Import products,4528
Spain,2019,...,...,Export,No. Of Export partners,227
Spain,2019,...,...,Export,No. Of Export products,4490
Spain,2019,...,...,Others,Population,47133521
Spain,2019,...,...,Others,Ease of Doing Business Rank,30
Spain,2019,...,...,Others,Trading Across Borders Rank,1
Spain,2019,...,...,Others,CPIA Trade Ratings,
Spain,2018,...,...,Others,LPI Rank,17
Spain,2018,...,...,Others,LPI Score,3.83
Spain,,...,...,Others,Services Trade Restrictions Index - Over All,16.1
Spain,2019,France,All Products,Export,Partner share(%)-Top 5 Export Partner,14.5719
Spain,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,10.3101
Spain,2019,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,7.7069
Spain,2019,Portugal,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2723
Spain,2019,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,6.529
Spain,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,11.9051
Spain,2019,France,All Products,Import,Partner share(%)-Top 5 Import Partner,9.9623
Spain,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.6925
Spain,2019,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,6.132
Spain,2019,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1113
Spain,2019,World,Animal,Export,Export Product share(%),4.098
Spain,2019,World,Vegetable,Export,Export Product share(%),7.4615
Spain,2019,World,Food Products,Export,Export Product share(%),5.183
Spain,2019,World,Minerals,Export,Export Product share(%),1.0875
Spain,2019,World,Fuels,Export,Export Product share(%),6.0335
Spain,2019,World,Chemicals,Export,Export Product share(%),10.4206
Spain,2019,World,Plastic or Rubber,Export,Export Product share(%),4.8671
Spain,2019,World,Hides and Skins,Export,Export Product share(%),0.6482
Spain,2019,World,Wood,Export,Export Product share(%),2.3574
Spain,2019,World,Textiles and Clothing,Export,Export Product share(%),5.6656
Spain,2019,World,Footwear,Export,Export Product share(%),1.0018
Spain,2019,World,Stone and Glass,Export,Export Product share(%),2.8558
Spain,2019,World,Metals,Export,Export Product share(%),7.917
Spain,2019,World,Mach and Elec,Export,Export Product share(%),12.5052
Spain,2019,World,Transportation,Export,Export Product share(%),18.9811
Spain,2019,World,Miscellaneous,Export,Export Product share(%),8.9168
Spain,2019,World,Raw materials,Export,Export Product share(%),10.9483
Spain,2019,World,Intermediate goods,Export,Export Product share(%),20.7954
Spain,2019,World,Consumer goods,Export,Export Product share(%),42.5912
Spain,2019,World,Capital goods,Export,Export Product share(%),19.995
Spain,2019,World,Raw materials,Import,Import Product share(%),15.9801
Spain,2019,World,Intermediate goods,Import,Import Product share(%),19.9683
Spain,2019,World,Consumer goods,Import,Import Product share(%),36.3501
Spain,2019,World,Capital goods,Import,Import Product share(%),23.5813
Spain,2019,World,Raw materials,Tariff,Weighted Average (%),0.434455757619258
Spain,2019,World,Intermediate goods,Tariff,Weighted Average (%),2.21224834649121
Spain,2019,World,Consumer goods,Tariff,Weighted Average (%),3.01599081916698
Spain,2019,World,Capital goods,Tariff,Weighted Average (%),0.974041401513543
Spain,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Spain,2019,World,All Products,Trade Indicator,Country Growth (%),-1.74311816231733
Spain,2019,World,All Products,Tariff,Simple Average (%),2.64415784519171
Spain,2019,World,All Products,Tariff,Weighted Average (%),1.90549943504793
Spain,2019,World,All Products,Tariff,Maximum Rate (%),3000
Spain,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),56.18879511648
Spain,2019,...,...,Trade Indicator,Index of export market penetration,27.8436883177998
Spain,2019,...,...,Trade Indicator,HH Market concentration index,0.0566296174069374
Spain,2019,...,...,Development,Trade Balance (% of GDP),3.00946679
Spain,2019,...,...,Development,Trade in services (% of GDP),17.41767749
Spain,2019,...,...,Development,Trade (% of GDP),66.77616463
Spain,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",30360
