Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ethiopia(excludes Eritrea),2018,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,138.514045824053
Ethiopia(excludes Eritrea),2018,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,137.530489894127
Ethiopia(excludes Eritrea),2018,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,121.507328428507
Ethiopia(excludes Eritrea),2018,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,112.324240342138
Ethiopia(excludes Eritrea),2018,Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,91.6073223418651
Ethiopia(excludes Eritrea),2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4239.23918750217
Ethiopia(excludes Eritrea),2018,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1601.30442007342
Ethiopia(excludes Eritrea),2018,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1285.870841158
Ethiopia(excludes Eritrea),2018,Kuwait,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1072.49664668783
Ethiopia(excludes Eritrea),2018,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,639.480301157465
Ethiopia(excludes Eritrea),2018,World,Animal,Export,Export(US$ Mil),116.710882060903
Ethiopia(excludes Eritrea),2018,World,Vegetable,Export,Export(US$ Mil),1031.17701149899
Ethiopia(excludes Eritrea),2018,World,Food Products,Export,Export(US$ Mil),17.9828755264022
Ethiopia(excludes Eritrea),2018,World,Minerals,Export,Export(US$ Mil),28.3314070994002
Ethiopia(excludes Eritrea),2018,World,Fuels,Export,Export(US$ Mil),0.0001127607188974
Ethiopia(excludes Eritrea),2018,World,Chemicals,Export,Export(US$ Mil),2.02887187324269
Ethiopia(excludes Eritrea),2018,World,Plastic or Rubber,Export,Export(US$ Mil),3.60175038444874
Ethiopia(excludes Eritrea),2018,World,Hides and Skins,Export,Export(US$ Mil),55.9959649431605
Ethiopia(excludes Eritrea),2018,World,Wood,Export,Export(US$ Mil),1.34857441400802
Ethiopia(excludes Eritrea),2018,World,Textiles and Clothing,Export,Export(US$ Mil),60.1744425864222
Ethiopia(excludes Eritrea),2018,World,Footwear,Export,Export(US$ Mil),26.5998472668658
Ethiopia(excludes Eritrea),2018,World,Stone and Glass,Export,Export(US$ Mil),47.8324759806212
Ethiopia(excludes Eritrea),2018,World,Metals,Export,Export(US$ Mil),5.53342458950632
Ethiopia(excludes Eritrea),2018,World,Mach and Elec,Export,Export(US$ Mil),79.4288852681481
Ethiopia(excludes Eritrea),2018,World,Transportation,Export,Export(US$ Mil),59.3715392147635
Ethiopia(excludes Eritrea),2018,World,Miscellaneous,Export,Export(US$ Mil),12.4365262481434
Ethiopia(excludes Eritrea),2018,World,Raw materials,Export,Export(US$ Mil),919.623810765079
Ethiopia(excludes Eritrea),2018,World,Intermediate goods,Export,Export(US$ Mil),344.80777345178
Ethiopia(excludes Eritrea),2018,World,Consumer goods,Export,Export(US$ Mil),131.728631628469
Ethiopia(excludes Eritrea),2018,World,Capital goods,Export,Export(US$ Mil),140.524616930959
Ethiopia(excludes Eritrea),2018,World,Raw materials,Import,Import(US$ Mil),772.448966569663
Ethiopia(excludes Eritrea),2018,World,Intermediate goods,Import,Import(US$ Mil),3625.17371737048
Ethiopia(excludes Eritrea),2018,World,Consumer goods,Import,Import(US$ Mil),5740.99722460719
Ethiopia(excludes Eritrea),2018,World,Capital goods,Import,Import(US$ Mil),4826.10020021985
Ethiopia(excludes Eritrea),2018,World,All Products,Export,Exports (in US$ Mil),1548.55459171574
Ethiopia(excludes Eritrea),2018,World,All Products,Import,Imports (in US$ Mil),14985.5957565667
Ethiopia(excludes Eritrea),2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2359218.457
Ethiopia(excludes Eritrea),2019,...,...,Development,Trade Balance (current US$ Mil),-12406.627171
Ethiopia(excludes Eritrea),2019,...,...,Development,GDP (current US$ Mil),95912.590628
Ethiopia(excludes Eritrea),2018,...,...,Tariff,No. Of Tariff Agreement,4
Ethiopia(excludes Eritrea),2018,...,...,Import,No. Of Import partners,172
Ethiopia(excludes Eritrea),2018,...,...,Import,No. Of Import products,3929
Ethiopia(excludes Eritrea),2018,...,...,Export,No. Of Export partners,148
Ethiopia(excludes Eritrea),2018,...,...,Export,No. Of Export products,1520
Ethiopia(excludes Eritrea),2019,...,...,Others,Population,112078730
Ethiopia(excludes Eritrea),2019,...,...,Others,Ease of Doing Business Rank,159
Ethiopia(excludes Eritrea),2019,...,...,Others,Trading Across Borders Rank,156
Ethiopia(excludes Eritrea),2019,...,...,Others,CPIA Trade Ratings,3
Ethiopia(excludes Eritrea),2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
Ethiopia(excludes Eritrea),2015,...,...,Others,No Of NTM Measures,55
Ethiopia(excludes Eritrea),2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1235485
Ethiopia(excludes Eritrea),2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1238353
Ethiopia(excludes Eritrea),,...,...,Others,Services Trade Restrictions Index - Over All,88.2
Ethiopia(excludes Eritrea),2018,China,All Products,Export,Partner share(%)-Top 5 Export Partner,8.9447
Ethiopia(excludes Eritrea),2018,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,8.8812
Ethiopia(excludes Eritrea),2018,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,7.8465
Ethiopia(excludes Eritrea),2018,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2535
Ethiopia(excludes Eritrea),2018,Israel,All Products,Export,Partner share(%)-Top 5 Export Partner,5.9157
Ethiopia(excludes Eritrea),2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,28.2888
Ethiopia(excludes Eritrea),2018,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,10.6856
Ethiopia(excludes Eritrea),2018,India,All Products,Import,Partner share(%)-Top 5 Import Partner,8.5807
Ethiopia(excludes Eritrea),2018,Kuwait,All Products,Import,Partner share(%)-Top 5 Import Partner,7.1569
Ethiopia(excludes Eritrea),2018,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,4.2673
Ethiopia(excludes Eritrea),2018,World,Animal,Export,Export Product share(%),7.5368
Ethiopia(excludes Eritrea),2018,World,Vegetable,Export,Export Product share(%),66.5896
Ethiopia(excludes Eritrea),2018,World,Food Products,Export,Export Product share(%),1.1613
Ethiopia(excludes Eritrea),2018,World,Minerals,Export,Export Product share(%),1.8295
Ethiopia(excludes Eritrea),2018,World,Fuels,Export,Export Product share(%),0
Ethiopia(excludes Eritrea),2018,World,Chemicals,Export,Export Product share(%),0.131
Ethiopia(excludes Eritrea),2018,World,Plastic or Rubber,Export,Export Product share(%),0.2326
Ethiopia(excludes Eritrea),2018,World,Hides and Skins,Export,Export Product share(%),3.616
Ethiopia(excludes Eritrea),2018,World,Wood,Export,Export Product share(%),0.0871
Ethiopia(excludes Eritrea),2018,World,Textiles and Clothing,Export,Export Product share(%),3.8858
Ethiopia(excludes Eritrea),2018,World,Footwear,Export,Export Product share(%),1.7177
Ethiopia(excludes Eritrea),2018,World,Stone and Glass,Export,Export Product share(%),3.0888
Ethiopia(excludes Eritrea),2018,World,Metals,Export,Export Product share(%),0.3573
Ethiopia(excludes Eritrea),2018,World,Mach and Elec,Export,Export Product share(%),5.1292
Ethiopia(excludes Eritrea),2018,World,Transportation,Export,Export Product share(%),3.834
Ethiopia(excludes Eritrea),2018,World,Miscellaneous,Export,Export Product share(%),0.8031
Ethiopia(excludes Eritrea),2018,World,Raw materials,Export,Export Product share(%),59.3859
Ethiopia(excludes Eritrea),2018,World,Intermediate goods,Export,Export Product share(%),22.2664
Ethiopia(excludes Eritrea),2018,World,Consumer goods,Export,Export Product share(%),8.5066
Ethiopia(excludes Eritrea),2018,World,Capital goods,Export,Export Product share(%),9.0746
Ethiopia(excludes Eritrea),2018,World,Raw materials,Import,Import Product share(%),5.1546
Ethiopia(excludes Eritrea),2018,World,Intermediate goods,Import,Import Product share(%),24.1911
Ethiopia(excludes Eritrea),2018,World,Consumer goods,Import,Import Product share(%),38.3101
Ethiopia(excludes Eritrea),2018,World,Capital goods,Import,Import Product share(%),32.2049
Ethiopia(excludes Eritrea),2018,World,Raw materials,Tariff,Weighted Average (%),9.66027367298336
Ethiopia(excludes Eritrea),2018,World,Intermediate goods,Tariff,Weighted Average (%),11.6062623468051
Ethiopia(excludes Eritrea),2018,World,Consumer goods,Tariff,Weighted Average (%),15.4010332254318
Ethiopia(excludes Eritrea),2018,World,Capital goods,Tariff,Weighted Average (%),9.337781035869
Ethiopia(excludes Eritrea),2018,World,All Products,Trade Indicator,World Growth (%),3.49929022901836
Ethiopia(excludes Eritrea),2018,World,All Products,Trade Indicator,Country Growth (%),-2.86696651370166
Ethiopia(excludes Eritrea),2018,World,All Products,Tariff,Simple Average (%),17.826599610279
Ethiopia(excludes Eritrea),2018,World,All Products,Tariff,Weighted Average (%),12.1292229293418
Ethiopia(excludes Eritrea),2018,World,All Products,Tariff,Maximum Rate (%),35
Ethiopia(excludes Eritrea),2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),5.62614834155304
Ethiopia(excludes Eritrea),2018,...,...,Trade Indicator,Index of export market penetration,2.67270383297173
Ethiopia(excludes Eritrea),2018,...,...,Trade Indicator,HH Market concentration index,0.065394109251089
Ethiopia(excludes Eritrea),2019,...,...,Development,Trade Balance (% of GDP),-12.935347791
Ethiopia(excludes Eritrea),2019,...,...,Development,Trade in services (% of GDP),
Ethiopia(excludes Eritrea),2019,...,...,Development,Trade (% of GDP),28.81530101
Ethiopia(excludes Eritrea),2019,...,...,Development,"GNI per capita, Atlas method (current US$)",850
