Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
European Union,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,494616.722633186
European Union,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,249537.607107812
European Union,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,180007.069380087
European Union,2019,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,100714.719541339
European Union,2019,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,82316.4814097368
European Union,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,470490.996333296
European Union,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,327230.859040582
European Union,2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,162562.120073316
European Union,2019,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,148036.382782526
European Union,2019,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,89434.9877246782
European Union,2019,World,Animal,Export,Export(US$ Mil),37757.6748543166
European Union,2019,World,Vegetable,Export,Export(US$ Mil),37149.8916484404
European Union,2019,World,Food Products,Export,Export(US$ Mil),94390.4844375407
European Union,2019,World,Minerals,Export,Export(US$ Mil),8886.54144559236
European Union,2019,World,Fuels,Export,Export(US$ Mil),117012.946549942
European Union,2019,World,Chemicals,Export,Export(US$ Mil),387920.73301597
European Union,2019,World,Plastic or Rubber,Export,Export(US$ Mil),82995.512361516
European Union,2019,World,Hides and Skins,Export,Export(US$ Mil),23024.60219443
European Union,2019,World,Wood,Export,Export(US$ Mil),52614.8246152567
European Union,2019,World,Textiles and Clothing,Export,Export(US$ Mil),59184.8340248304
European Union,2019,World,Footwear,Export,Export(US$ Mil),13525.6566653444
European Union,2019,World,Stone and Glass,Export,Export(US$ Mil),99709.8447352554
European Union,2019,World,Metals,Export,Export(US$ Mil),124450.53623918
European Union,2019,World,Mach and Elec,Export,Export(US$ Mil),570726.723644067
European Union,2019,World,Transportation,Export,Export(US$ Mil),337678.838686225
European Union,2019,World,Miscellaneous,Export,Export(US$ Mil),232491.649335306
European Union,2019,World,Raw materials,Export,Export(US$ Mil),92999.807894246
European Union,2019,World,Intermediate goods,Export,Export(US$ Mil),471871.790856147
European Union,2019,World,Consumer goods,Export,Export(US$ Mil),797678.063749995
European Union,2019,World,Capital goods,Export,Export(US$ Mil),833913.03608406
European Union,2019,World,Raw materials,Import,Import(US$ Mil),413800.283422654
European Union,2019,World,Intermediate goods,Import,Import(US$ Mil),466038.416036528
European Union,2019,World,Consumer goods,Import,Import(US$ Mil),702833.016359682
European Union,2019,World,Capital goods,Import,Import(US$ Mil),665105.821300453
European Union,2019,World,All Products,Export,Exports (in US$ Mil),2279521.29445321
European Union,2019,World,All Products,Import,Imports (in US$ Mil),2301483.91230347
European Union,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1497189593.7809
