Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Fiji,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,230.1031726
Fiji,2019,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,132.02220618
Fiji,2019,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,87.96861219
Fiji,2019,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,75.17947881
Fiji,2019,Tonga,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,59.0603953
Fiji,2019,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,505.45767695
Fiji,2019,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,395.21557328
Fiji,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,386.41670734
Fiji,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,348.464444450001
Fiji,2019,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,340.55710165
Fiji,2019,World,Animal,Export,Export(US$ Mil),116.88585803
Fiji,2019,World,Vegetable,Export,Export(US$ Mil),45.29765103
Fiji,2019,World,Food Products,Export,Export(US$ Mil),278.76220827
Fiji,2019,World,Minerals,Export,Export(US$ Mil),7.36566988
Fiji,2019,World,Fuels,Export,Export(US$ Mil),217.18929454
Fiji,2019,World,Chemicals,Export,Export(US$ Mil),27.28646736
Fiji,2019,World,Plastic or Rubber,Export,Export(US$ Mil),6.98449308
Fiji,2019,World,Hides and Skins,Export,Export(US$ Mil),0.51335169
Fiji,2019,World,Wood,Export,Export(US$ Mil),45.06870726
Fiji,2019,World,Textiles and Clothing,Export,Export(US$ Mil),51.17059672
Fiji,2019,World,Footwear,Export,Export(US$ Mil),0.7848709
Fiji,2019,World,Stone and Glass,Export,Export(US$ Mil),53.02697044
Fiji,2019,World,Metals,Export,Export(US$ Mil),33.80231692
Fiji,2019,World,Mach and Elec,Export,Export(US$ Mil),87.59926727
Fiji,2019,World,Transportation,Export,Export(US$ Mil),43.28907462
Fiji,2019,World,Miscellaneous,Export,Export(US$ Mil),17.88760568
Fiji,2019,World,Raw materials,Export,Export(US$ Mil),168.56688555
Fiji,2019,World,Intermediate goods,Export,Export(US$ Mil),154.01203223
Fiji,2019,World,Consumer goods,Export,Export(US$ Mil),568.05491642
Fiji,2019,World,Capital goods,Export,Export(US$ Mil),136.82798964
Fiji,2019,World,Raw materials,Import,Import(US$ Mil),199.37060633
Fiji,2019,World,Intermediate goods,Import,Import(US$ Mil),406.583999369999
Fiji,2019,World,Consumer goods,Import,Import(US$ Mil),1216.44505265
Fiji,2019,World,Capital goods,Import,Import(US$ Mil),896.47683044
Fiji,2019,World,All Products,Export,Exports (in US$ Mil),1032.91440369
Fiji,2019,World,All Products,Import,Imports (in US$ Mil),2734.30442877
Fiji,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),292344.201405464
Fiji,2019,...,...,Development,Trade Balance (current US$ Mil),
Fiji,2019,...,...,Development,GDP (current US$ Mil),5496.250694
Fiji,2019,...,...,Tariff,No. Of Tariff Agreement,3
Fiji,2019,...,...,Import,No. Of Import partners,151
Fiji,2019,...,...,Import,No. Of Import products,3439
Fiji,2019,...,...,Export,No. Of Export partners,117
Fiji,2019,...,...,Export,No. Of Export products,2062
Fiji,2019,...,...,Others,Population,889953
Fiji,2019,...,...,Others,Ease of Doing Business Rank,102
Fiji,2019,...,...,Others,Trading Across Borders Rank,79
Fiji,2019,...,...,Others,CPIA Trade Ratings,
Fiji,2018,...,...,Others,LPI Rank,133
Fiji,2018,...,...,Others,LPI Score,2.35
Fiji,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1021414
Fiji,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1021556
Fiji,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,22.2771
Fiji,2019,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,12.7815
Fiji,2019,Bunkers,All Products,Export,Partner share(%)-Top 5 Export Partner,8.5165
