Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
United Kingdom,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,73528.7046875504
United Kingdom,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46352.0257139048
United Kingdom,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,31361.5161698163
United Kingdom,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,30377.9340852563
United Kingdom,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,30154.261368814
United Kingdom,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,85679.0901294582
United Kingdom,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,67079.3066331981
United Kingdom,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,65529.5280793245
United Kingdom,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,53927.7510698372
United Kingdom,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,38915.8351018216
United Kingdom,2019,World,Animal,Export,Export(US$ Mil),7821.01394213681
United Kingdom,2019,World,Vegetable,Export,Export(US$ Mil),3847.23100975131
United Kingdom,2019,World,Food Products,Export,Export(US$ Mil),20025.7987441654
United Kingdom,2019,World,Minerals,Export,Export(US$ Mil),996.593302737081
United Kingdom,2019,World,Fuels,Export,Export(US$ Mil),40885.4363387196
United Kingdom,2019,World,Chemicals,Export,Export(US$ Mil),59717.6090848899
United Kingdom,2019,World,Plastic or Rubber,Export,Export(US$ Mil),14701.8603062265
United Kingdom,2019,World,Hides and Skins,Export,Export(US$ Mil),1656.43911844734
United Kingdom,2019,World,Wood,Export,Export(US$ Mil),7970.40046111241
United Kingdom,2019,World,Textiles and Clothing,Export,Export(US$ Mil),12710.7626093258
United Kingdom,2019,World,Footwear,Export,Export(US$ Mil),2762.2784996707
United Kingdom,2019,World,Stone and Glass,Export,Export(US$ Mil),44891.7856517071
United Kingdom,2019,World,Metals,Export,Export(US$ Mil),22340.8618460183
