Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Georgia,2019,Azerbaijan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,508.68625672
Georgia,2019,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,496.97410959
Georgia,2019,Armenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,432.57446799
Georgia,2019,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,284.08570195
Georgia,2019,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,250.92362165
Georgia,2019,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1616.93848193
Georgia,2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,977.02573476
Georgia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,858.589609700001
Georgia,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,678.7283684
Georgia,2019,Azerbaijan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,558.74008351
Georgia,2019,World,Animal,Export,Export(US$ Mil),75.27714041
Georgia,2019,World,Vegetable,Export,Export(US$ Mil),172.22632299
Georgia,2019,World,Food Products,Export,Export(US$ Mil),641.47970873
Georgia,2019,World,Minerals,Export,Export(US$ Mil),673.72242661
Georgia,2019,World,Fuels,Export,Export(US$ Mil),24.98712508
Georgia,2019,World,Chemicals,Export,Export(US$ Mil),357.55311047
Georgia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),70.27653283
Georgia,2019,World,Hides and Skins,Export,Export(US$ Mil),3.01503664
Georgia,2019,World,Wood,Export,Export(US$ Mil),54.95653129
Georgia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),128.05861241
Georgia,2019,World,Footwear,Export,Export(US$ Mil),4.82368708
Georgia,2019,World,Stone and Glass,Export,Export(US$ Mil),102.31617966
Georgia,2019,World,Metals,Export,Export(US$ Mil),444.69356566
Georgia,2019,World,Mach and Elec,Export,Export(US$ Mil),137.91843723
Georgia,2019,World,Transportation,Export,Export(US$ Mil),817.64373951
Georgia,2019,World,Miscellaneous,Export,Export(US$ Mil),89.43721516
Georgia,2019,World,Raw materials,Export,Export(US$ Mil),939.45582726
Georgia,2019,World,Intermediate goods,Export,Export(US$ Mil),736.30312203
Georgia,2019,World,Consumer goods,Export,Export(US$ Mil),1818.39821349
Georgia,2019,World,Capital goods,Export,Export(US$ Mil),241.30998051
Georgia,2019,World,Raw materials,Import,Import(US$ Mil),1178.38964322
Georgia,2019,World,Intermediate goods,Import,Import(US$ Mil),1397.24364373
Georgia,2019,World,Consumer goods,Import,Import(US$ Mil),5002.54630381999
Georgia,2019,World,Capital goods,Import,Import(US$ Mil),1717.94038576
Georgia,2019,World,All Products,Export,Exports (in US$ Mil),3798.38537176
