Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Gambia, The",2019,Mali,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.9365793881212
"Gambia, The",2019,Guinea-Bissau,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.65561919065262
"Gambia, The",2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.3270803733319
"Gambia, The",2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.44126144907859
"Gambia, The",2019,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.6017310602798
"Gambia, The",2019,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,71.4066464415467
"Gambia, The",2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,59.6571037989315
"Gambia, The",2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,52.3387830934526
"Gambia, The",2019,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51.9810671286538
"Gambia, The",2019,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28.5472469051321
"Gambia, The",2019,World,Animal,Export,Export(US$ Mil),0.832531291591282
"Gambia, The",2019,World,Vegetable,Export,Export(US$ Mil),3.70567926242264
"Gambia, The",2019,World,Food Products,Export,Export(US$ Mil),1.47810812566114
"Gambia, The",2019,World,Minerals,Export,Export(US$ Mil),0.387148698118266
"Gambia, The",2019,World,Fuels,Export,Export(US$ Mil),11.508704877322
"Gambia, The",2019,World,Chemicals,Export,Export(US$ Mil),0.0732810729140864
"Gambia, The",2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.001581176309174
"Gambia, The",2019,World,Hides and Skins,Export,Export(US$ Mil),0.00064861924842
"Gambia, The",2019,World,Wood,Export,Export(US$ Mil),2.84861798247606
"Gambia, The",2019,World,Textiles and Clothing,Export,Export(US$ Mil),1.23765441741869
"Gambia, The",2019,World,Footwear,Export,Export(US$ Mil),0.256790566682571
"Gambia, The",2019,World,Stone and Glass,Export,Export(US$ Mil),0.0006647450334976
"Gambia, The",2019,World,Metals,Export,Export(US$ Mil),0.284002863008079
"Gambia, The",2019,World,Mach and Elec,Export,Export(US$ Mil),0.661610290988944
"Gambia, The",2019,World,Transportation,Export,Export(US$ Mil),0.966114383244252
"Gambia, The",2019,World,Miscellaneous,Export,Export(US$ Mil),0.35913252039962
"Gambia, The",2019,World,Raw materials,Export,Export(US$ Mil),5.18281371548282
"Gambia, The",2019,World,Intermediate goods,Export,Export(US$ Mil),2.25655091173535
"Gambia, The",2019,World,Consumer goods,Export,Export(US$ Mil),15.4815091083063
"Gambia, The",2019,World,Capital goods,Export,Export(US$ Mil),1.68139715731421
"Gambia, The",2019,World,Raw materials,Import,Import(US$ Mil),20.6524030651008
"Gambia, The",2019,World,Intermediate goods,Import,Import(US$ Mil),91.0108952533244
"Gambia, The",2019,World,Consumer goods,Import,Import(US$ Mil),294.871873907982
"Gambia, The",2019,World,Capital goods,Import,Import(US$ Mil),87.4967040981536
"Gambia, The",2019,World,All Products,Export,Exports (in US$ Mil),24.6022708928387
"Gambia, The",2019,World,All Products,Import,Imports (in US$ Mil),494.031876324561
"Gambia, The",2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),14699.6623098042
"Gambia, The",2018,...,...,Tariff,No. Of Tariff Agreement,2
"Gambia, The",2019,...,...,Import,No. Of Import partners,118
"Gambia, The",2019,...,...,Import,No. Of Import products,2310
"Gambia, The",2019,...,...,Export,No. Of Export partners,40
"Gambia, The",2019,...,...,Export,No. Of Export products,147
"Gambia, The",2019,...,...,Others,Population,2347706
"Gambia, The",2019,...,...,Others,Ease of Doing Business Rank,155
"Gambia, The",2019,...,...,Others,Trading Across Borders Rank,115
"Gambia, The",2019,...,...,Others,CPIA Trade Ratings,4
"Gambia, The",2018,...,...,Others,LPI Rank,127
"Gambia, The",2018,...,...,Others,LPI Score,2.4
"Gambia, The",2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5044
"Gambia, The",2013,...,...,Others,No Of NTM Measures,53
"Gambia, The",2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1400231
"Gambia, The",2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.140023
"Gambia, The",2019,Mali,All Products,Export,Partner share(%)-Top 5 Export Partner,48.5182
"Gambia, The",2019,Guinea-Bissau,All Products,Export,Partner share(%)-Top 5 Export Partner,18.9235
"Gambia, The",2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,13.5235
"Gambia, The",2019,India,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8582
"Gambia, The",2019,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,2.4458
"Gambia, The",2019,Cote d'Ivoire,All Products,Import,Partner share(%)-Top 5 Import Partner,14.4539
"Gambia, The",2019,India,All Products,Import,Partner share(%)-Top 5 Import Partner,12.0756
"Gambia, The",2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.5942
"Gambia, The",2019,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,10.5218
"Gambia, The",2019,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,5.7784
"Gambia, The",2019,World,Animal,Export,Export Product share(%),3.384
"Gambia, The",2019,World,Vegetable,Export,Export Product share(%),15.0623
"Gambia, The",2019,World,Food Products,Export,Export Product share(%),6.008
"Gambia, The",2019,World,Minerals,Export,Export Product share(%),1.5736
"Gambia, The",2019,World,Fuels,Export,Export Product share(%),46.779
"Gambia, The",2019,World,Chemicals,Export,Export Product share(%),0.2979
"Gambia, The",2019,World,Plastic or Rubber,Export,Export Product share(%),0.0064
"Gambia, The",2019,World,Hides and Skins,Export,Export Product share(%),0.0026
"Gambia, The",2019,World,Wood,Export,Export Product share(%),11.5787
"Gambia, The",2019,World,Textiles and Clothing,Export,Export Product share(%),5.0307
"Gambia, The",2019,World,Footwear,Export,Export Product share(%),1.0438
"Gambia, The",2019,World,Stone and Glass,Export,Export Product share(%),0.0027
"Gambia, The",2019,World,Metals,Export,Export Product share(%),1.1544
"Gambia, The",2019,World,Mach and Elec,Export,Export Product share(%),2.6892
"Gambia, The",2019,World,Transportation,Export,Export Product share(%),3.9269
"Gambia, The",2019,World,Miscellaneous,Export,Export Product share(%),1.4598
"Gambia, The",2019,World,Raw materials,Export,Export Product share(%),21.0664
"Gambia, The",2019,World,Intermediate goods,Export,Export Product share(%),9.1721
"Gambia, The",2019,World,Consumer goods,Export,Export Product share(%),62.9272
"Gambia, The",2019,World,Capital goods,Export,Export Product share(%),6.8343
"Gambia, The",2019,World,Raw materials,Import,Import Product share(%),4.1804
"Gambia, The",2019,World,Intermediate goods,Import,Import Product share(%),18.4221
"Gambia, The",2019,World,Consumer goods,Import,Import Product share(%),59.6868
"Gambia, The",2019,World,Capital goods,Import,Import Product share(%),17.7107
"Gambia, The",2018,World,Raw materials,Tariff,Weighted Average (%),32.926887827644
"Gambia, The",2018,World,Intermediate goods,Tariff,Weighted Average (%),19.8002399792962
"Gambia, The",2018,World,Consumer goods,Tariff,Weighted Average (%),17.8964424658323
"Gambia, The",2018,World,Capital goods,Tariff,Weighted Average (%),7.69611467436795
"Gambia, The",2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
"Gambia, The",2019,World,All Products,Trade Indicator,Country Growth (%),20.3108093126778
"Gambia, The",2018,World,All Products,Tariff,Simple Average (%),14.2535518878884
"Gambia, The",2018,World,All Products,Tariff,Weighted Average (%),18.0757100221293
"Gambia, The",2018,World,All Products,Tariff,Maximum Rate (%),35
"Gambia, The",2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),3.28282828282828
"Gambia, The",2019,...,...,Trade Indicator,Index of export market penetration,1.29854610635332
"Gambia, The",2019,...,...,Trade Indicator,HH Market concentration index,0.242259837306085
