Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Guatemala,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3849.482614
Guatemala,2019,El Salvador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1383.082151
Guatemala,2019,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1000.299756
Guatemala,2019,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,555.446761
Guatemala,2019,Nicaragua,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,549.888751
Guatemala,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7368.361464
Guatemala,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2227.10098
Guatemala,2019,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2192.360415
Guatemala,2019,El Salvador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1034.350048
Guatemala,2019,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,691.104858
Guatemala,2019,World,Animal,Export,Export(US$ Mil),85.591394
Guatemala,2019,World,Vegetable,Export,Export(US$ Mil),3649.770028
Guatemala,2019,World,Food Products,Export,Export(US$ Mil),1970.604745
Guatemala,2019,World,Minerals,Export,Export(US$ Mil),50.865946
Guatemala,2019,World,Fuels,Export,Export(US$ Mil),513.828115
Guatemala,2019,World,Chemicals,Export,Export(US$ Mil),1000.000584
Guatemala,2019,World,Plastic or Rubber,Export,Export(US$ Mil),514.983898
Guatemala,2019,World,Hides and Skins,Export,Export(US$ Mil),49.611604
Guatemala,2019,World,Wood,Export,Export(US$ Mil),496.724862
Guatemala,2019,World,Textiles and Clothing,Export,Export(US$ Mil),1754.941431
Guatemala,2019,World,Footwear,Export,Export(US$ Mil),34.467261
Guatemala,2019,World,Stone and Glass,Export,Export(US$ Mil),135.867439
Guatemala,2019,World,Metals,Export,Export(US$ Mil),670.553635
Guatemala,2019,World,Mach and Elec,Export,Export(US$ Mil),172.036547
Guatemala,2019,World,Transportation,Export,Export(US$ Mil),46.649271
Guatemala,2019,World,Miscellaneous,Export,Export(US$ Mil),142.679364
Guatemala,2019,World,Raw materials,Export,Export(US$ Mil),3011.111028
Guatemala,2019,World,Intermediate goods,Export,Export(US$ Mil),2601.140865
Guatemala,2019,World,Consumer goods,Export,Export(US$ Mil),5394.94940399999
Guatemala,2019,World,Capital goods,Export,Export(US$ Mil),281.880461
Guatemala,2019,World,Raw materials,Import,Import(US$ Mil),1532.622398
Guatemala,2019,World,Intermediate goods,Import,Import(US$ Mil),5378.10957800001
Guatemala,2019,World,Consumer goods,Import,Import(US$ Mil),9064.33915900001
Guatemala,2019,World,Capital goods,Import,Import(US$ Mil),3813.733563
Guatemala,2019,World,All Products,Export,Exports (in US$ Mil),11289.176124
