Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Guyana,2019,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1239.04355745479
Guyana,2019,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,468.6066048
Guyana,2019,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,424.72295909
Guyana,2019,Ghana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,324.33306043
Guyana,2019,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,242.4697415
Guyana,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1807.23388009957
Guyana,2019,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,982.14054055
Guyana,2019,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,900.838310190001
Guyana,2019,Liberia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,586.25560312
Guyana,2019,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,360.05756735
Guyana,2019,World,Animal,Export,Export(US$ Mil),78.82697271
Guyana,2019,World,Vegetable,Export,Export(US$ Mil),178.51317859
Guyana,2019,World,Food Products,Export,Export(US$ Mil),73.57833404
Guyana,2019,World,Minerals,Export,Export(US$ Mil),343.39326907
Guyana,2019,World,Fuels,Export,Export(US$ Mil),8.21850989
Guyana,2019,World,Chemicals,Export,Export(US$ Mil),85.51019629
Guyana,2019,World,Plastic or Rubber,Export,Export(US$ Mil),39.5076820347862
Guyana,2019,World,Hides and Skins,Export,Export(US$ Mil),0.24272929
Guyana,2019,World,Wood,Export,Export(US$ Mil),38.26034039
Guyana,2019,World,Textiles and Clothing,Export,Export(US$ Mil),1.75832178
Guyana,2019,World,Footwear,Export,Export(US$ Mil),0.31059792
Guyana,2019,World,Stone and Glass,Export,Export(US$ Mil),696.03999414
Guyana,2019,World,Metals,Export,Export(US$ Mil),106.31438091
