Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Hong Kong, China",2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,296069.014549584
"Hong Kong, China",2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,39120.0654419044
"Hong Kong, China",2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15494.0765172682
"Hong Kong, China",2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15472.8398220706
"Hong Kong, China",2019,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11630.0017820717
"Hong Kong, China",2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,264601.840109506
"Hong Kong, China",2019,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,42305.2654070182
"Hong Kong, China",2019,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,37628.8869206739
"Hong Kong, China",2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33721.0964849173
"Hong Kong, China",2019,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28274.8051285124
"Hong Kong, China",2019,World,Animal,Export,Export(US$ Mil),3345.49794491906
"Hong Kong, China",2019,World,Vegetable,Export,Export(US$ Mil),3485.1305051818
"Hong Kong, China",2019,World,Food Products,Export,Export(US$ Mil),4380.17771894046
"Hong Kong, China",2019,World,Minerals,Export,Export(US$ Mil),162.12968348174
"Hong Kong, China",2019,World,Fuels,Export,Export(US$ Mil),626.4094727053
"Hong Kong, China",2019,World,Chemicals,Export,Export(US$ Mil),9132.28765021232
"Hong Kong, China",2019,World,Plastic or Rubber,Export,Export(US$ Mil),9708.47766344584
"Hong Kong, China",2019,World,Hides and Skins,Export,Export(US$ Mil),5501.84734301959
"Hong Kong, China",2019,World,Wood,Export,Export(US$ Mil),3175.61246139867
"Hong Kong, China",2019,World,Textiles and Clothing,Export,Export(US$ Mil),17996.9312910651
"Hong Kong, China",2019,World,Footwear,Export,Export(US$ Mil),3381.55570636803
"Hong Kong, China",2019,World,Stone and Glass,Export,Export(US$ Mil),57489.0412762663
"Hong Kong, China",2019,World,Metals,Export,Export(US$ Mil),6575.53092630795
"Hong Kong, China",2019,World,Mach and Elec,Export,Export(US$ Mil),370975.911244488
"Hong Kong, China",2019,World,Transportation,Export,Export(US$ Mil),2476.07871364953
"Hong Kong, China",2019,World,Miscellaneous,Export,Export(US$ Mil),37298.3993036252
"Hong Kong, China",2019,World,Raw materials,Export,Export(US$ Mil),9791.65279441997
"Hong Kong, China",2019,World,Intermediate goods,Export,Export(US$ Mil),74602.3542986899
"Hong Kong, China",2019,World,Consumer goods,Export,Export(US$ Mil),77833.0097434958
"Hong Kong, China",2019,World,Capital goods,Export,Export(US$ Mil),372827.68637837
"Hong Kong, China",2019,World,Raw materials,Import,Import(US$ Mil),19373.8094078409
"Hong Kong, China",2019,World,Intermediate goods,Import,Import(US$ Mil),72024.656950784
"Hong Kong, China",2019,World,Consumer goods,Import,Import(US$ Mil),106614.304783361
"Hong Kong, China",2019,World,Capital goods,Import,Import(US$ Mil),379644.785435726
"Hong Kong, China",2019,World,All Products,Export,Exports (in US$ Mil),535711.018905075
"Hong Kong, China",2019,World,All Products,Import,Imports (in US$ Mil),578590.151014665
"Hong Kong, China",2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),563493744.273281
"Hong Kong, China",2019,...,...,Tariff,No. Of Tariff Agreement,1
"Hong Kong, China",2019,...,...,Import,No. Of Import partners,192
"Hong Kong, China",2019,...,...,Import,No. Of Import products,4073
"Hong Kong, China",2019,...,...,Export,No. Of Export partners,197
"Hong Kong, China",2019,...,...,Export,No. Of Export products,3896
"Hong Kong, China",2019,...,...,Others,Population,7507400
"Hong Kong, China",2019,...,...,Others,Ease of Doing Business Rank,3
"Hong Kong, China",2019,...,...,Others,Trading Across Borders Rank,29
"Hong Kong, China",2019,...,...,Others,CPIA Trade Ratings,
"Hong Kong, China",2018,...,...,Others,LPI Rank,12
"Hong Kong, China",2018,...,...,Others,LPI Score,3.92
"Hong Kong, China",2010,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
"Hong Kong, China",2010,...,...,Others,No Of NTM Measures,56
"Hong Kong, China",2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0129341
"Hong Kong, China",2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0129341
"Hong Kong, China",2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,55.2666
"Hong Kong, China",2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,7.3025
"Hong Kong, China",2019,India,All Products,Export,Partner share(%)-Top 5 Export Partner,2.8922
"Hong Kong, China",2019,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,2.8883
"Hong Kong, China",2019,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,2.1709
"Hong Kong, China",2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,45.7322
"Hong Kong, China",2019,"Other Asia, nes",All Products,Import,Partner share(%)-Top 5 Import Partner,7.3118
"Hong Kong, China",2019,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,6.5035
"Hong Kong, China",2019,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8281
"Hong Kong, China",2019,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,4.8868
"Hong Kong, China",2019,World,Animal,Export,Export Product share(%),0.6245
"Hong Kong, China",2019,World,Vegetable,Export,Export Product share(%),0.6506
"Hong Kong, China",2019,World,Food Products,Export,Export Product share(%),0.8176
"Hong Kong, China",2019,World,Minerals,Export,Export Product share(%),0.0303
"Hong Kong, China",2019,World,Fuels,Export,Export Product share(%),0.1169
"Hong Kong, China",2019,World,Chemicals,Export,Export Product share(%),1.7047
"Hong Kong, China",2019,World,Plastic or Rubber,Export,Export Product share(%),1.8123
"Hong Kong, China",2019,World,Hides and Skins,Export,Export Product share(%),1.027
