Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Honduras,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1029.91476228
Honduras,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,557.34635249
Honduras,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,210.10740838
Honduras,2019,El Salvador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,193.25757067
Honduras,2019,Nicaragua,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,136.53302458
Honduras,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3317.69055003
Honduras,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1475.81057415
Honduras,2019,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,725.85957771
Honduras,2019,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,487.65985666
Honduras,2019,El Salvador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,425.93946474
Honduras,2019,World,Animal,Export,Export(US$ Mil),229.64572942
Honduras,2019,World,Vegetable,Export,Export(US$ Mil),1654.54797876
Honduras,2019,World,Food Products,Export,Export(US$ Mil),325.28413526
Honduras,2019,World,Minerals,Export,Export(US$ Mil),90.02834732
Honduras,2019,World,Fuels,Export,Export(US$ Mil),0.43513803
Honduras,2019,World,Chemicals,Export,Export(US$ Mil),108.98512429
Honduras,2019,World,Plastic or Rubber,Export,Export(US$ Mil),46.67094864
Honduras,2019,World,Hides and Skins,Export,Export(US$ Mil),0.43926297
Honduras,2019,World,Wood,Export,Export(US$ Mil),126.79251086
Honduras,2019,World,Textiles and Clothing,Export,Export(US$ Mil),15.83356735
Honduras,2019,World,Footwear,Export,Export(US$ Mil),4.70944195
Honduras,2019,World,Stone and Glass,Export,Export(US$ Mil),127.5104685
Honduras,2019,World,Metals,Export,Export(US$ Mil),160.50835827
Honduras,2019,World,Mach and Elec,Export,Export(US$ Mil),175.1821189
Honduras,2019,World,Transportation,Export,Export(US$ Mil),13.77749023
Honduras,2019,World,Miscellaneous,Export,Export(US$ Mil),10.81247848
Honduras,2019,World,Raw materials,Export,Export(US$ Mil),1791.86131562
Honduras,2019,World,Intermediate goods,Export,Export(US$ Mil),564.0512539
Honduras,2019,World,Consumer goods,Export,Export(US$ Mil),686.168688050002
Honduras,2019,World,Capital goods,Export,Export(US$ Mil),49.08083166
Honduras,2019,World,Raw materials,Import,Import(US$ Mil),543.81781306
Honduras,2019,World,Intermediate goods,Import,Import(US$ Mil),1777.87083399
Honduras,2019,World,Consumer goods,Import,Import(US$ Mil),5127.49037514999
Honduras,2019,World,Capital goods,Import,Import(US$ Mil),1706.95717355
Honduras,2019,World,All Products,Export,Exports (in US$ Mil),3091.16309923
Honduras,2019,World,All Products,Import,Imports (in US$ Mil),9156.16837685001
Honduras,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4493237.60408
Honduras,2019,...,...,Development,Trade Balance (current US$ Mil),-4045.759635
Honduras,2019,...,...,Development,GDP (current US$ Mil),25095.395475
Honduras,2018,...,...,Tariff,No. Of Tariff Agreement,14
Honduras,2019,...,...,Import,No. Of Import partners,182
Honduras,2019,...,...,Import,No. Of Import products,3815
Honduras,2019,...,...,Export,No. Of Export partners,115
Honduras,2019,...,...,Export,No. Of Export products,1935
Honduras,2019,...,...,Others,Population,9746117
Honduras,2019,...,...,Others,Ease of Doing Business Rank,133
Honduras,2019,...,...,Others,Trading Across Borders Rank,130
Honduras,2019,...,...,Others,CPIA Trade Ratings,4
Honduras,2018,...,...,Others,LPI Rank,93
Honduras,2018,...,...,Others,LPI Score,2.6
Honduras,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1070
Honduras,2014,...,...,Others,No Of NTM Measures,31
Honduras,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0936778
Honduras,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0936778
Honduras,,...,...,Others,Services Trade Restrictions Index - Over All,21.1
Honduras,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,33.318
Honduras,2019,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,18.0303
Honduras,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,6.797
Honduras,2019,El Salvador,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2519
Honduras,2019,Nicaragua,All Products,Export,Partner share(%)-Top 5 Export Partner,4.4169
Honduras,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,36.2345
Honduras,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,16.1182
Honduras,2019,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,7.9275
Honduras,2019,Guatemala,All Products,Import,Partner share(%)-Top 5 Import Partner,5.326
Honduras,2019,El Salvador,All Products,Import,Partner share(%)-Top 5 Import Partner,4.6519
Honduras,2019,World,Animal,Export,Export Product share(%),7.4291
Honduras,2019,World,Vegetable,Export,Export Product share(%),53.5251
Honduras,2019,World,Food Products,Export,Export Product share(%),10.523
Honduras,2019,World,Minerals,Export,Export Product share(%),2.9124
Honduras,2019,World,Fuels,Export,Export Product share(%),0.0141
Honduras,2019,World,Chemicals,Export,Export Product share(%),3.5257
