Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Croatia,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2382.516932
Croatia,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2247.531149
Croatia,2019,Slovenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1834.456274
Croatia,2019,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1705.136548
Croatia,2019,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1008.126062
Croatia,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4328.925054
Croatia,2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3889.835963
Croatia,2019,Slovenia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3234.014027
Croatia,2019,Hungary,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2363.941192
Croatia,2019,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1807.453629
Croatia,2019,World,Animal,Export,Export(US$ Mil),482.560801
Croatia,2019,World,Vegetable,Export,Export(US$ Mil),627.653399
Croatia,2019,World,Food Products,Export,Export(US$ Mil),1326.079961
Croatia,2019,World,Minerals,Export,Export(US$ Mil),253.340492
Croatia,2019,World,Fuels,Export,Export(US$ Mil),1618.625032
Croatia,2019,World,Chemicals,Export,Export(US$ Mil),2011.446227
Croatia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),616.15605
Croatia,2019,World,Hides and Skins,Export,Export(US$ Mil),247.267284
Croatia,2019,World,Wood,Export,Export(US$ Mil),1303.5601
Croatia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),990.690097
Croatia,2019,World,Footwear,Export,Export(US$ Mil),323.190538
Croatia,2019,World,Stone and Glass,Export,Export(US$ Mil),481.055444
Croatia,2019,World,Metals,Export,Export(US$ Mil),1513.3234
Croatia,2019,World,Mach and Elec,Export,Export(US$ Mil),2871.808524
Croatia,2019,World,Transportation,Export,Export(US$ Mil),1500.332634
Croatia,2019,World,Miscellaneous,Export,Export(US$ Mil),895.959832
Croatia,2019,World,Raw materials,Export,Export(US$ Mil),1613.493662
Croatia,2019,World,Intermediate goods,Export,Export(US$ Mil),4023.151294
Croatia,2019,World,Consumer goods,Export,Export(US$ Mil),7705.88399900001
Croatia,2019,World,Capital goods,Export,Export(US$ Mil),3658.969449
Croatia,2019,World,Raw materials,Import,Import(US$ Mil),2702.331836
Croatia,2019,World,Intermediate goods,Import,Import(US$ Mil),6818.951144
Croatia,2019,World,Consumer goods,Import,Import(US$ Mil),12781.322476
Croatia,2019,World,Capital goods,Import,Import(US$ Mil),5698.238521
Croatia,2019,World,All Products,Export,Exports (in US$ Mil),17063.049815
Croatia,2019,World,All Products,Import,Imports (in US$ Mil),28004.414329
Croatia,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3865296.49100001
Croatia,2019,...,...,Development,Trade Balance (current US$ Mil),-151.17956
Croatia,2019,...,...,Development,GDP (current US$ Mil),60752.588976
