Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Hungary,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33827.808495
Hungary,2019,Slovak Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6405.978765
Hungary,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6271.73182
Hungary,2019,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6174.041956
Hungary,2019,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5642.630741
Hungary,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,29633.015787
Hungary,2019,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7209.234335
Hungary,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7157.8975
Hungary,2019,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6765.085803
Hungary,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5964.650376
Hungary,2019,World,Animal,Export,Export(US$ Mil),2314.762633
Hungary,2019,World,Vegetable,Export,Export(US$ Mil),3609.195544
Hungary,2019,World,Food Products,Export,Export(US$ Mil),4548.743959
Hungary,2019,World,Minerals,Export,Export(US$ Mil),109.461491
Hungary,2019,World,Fuels,Export,Export(US$ Mil),3205.964753
Hungary,2019,World,Chemicals,Export,Export(US$ Mil),10648.129517
Hungary,2019,World,Plastic or Rubber,Export,Export(US$ Mil),7537.680251
Hungary,2019,World,Hides and Skins,Export,Export(US$ Mil),496.768256
Hungary,2019,World,Wood,Export,Export(US$ Mil),2452.978046
Hungary,2019,World,Textiles and Clothing,Export,Export(US$ Mil),1726.073703
Hungary,2019,World,Footwear,Export,Export(US$ Mil),716.758295
Hungary,2019,World,Stone and Glass,Export,Export(US$ Mil),1886.721387
Hungary,2019,World,Metals,Export,Export(US$ Mil),5707.349875
Hungary,2019,World,Mach and Elec,Export,Export(US$ Mil),47997.88454
Hungary,2019,World,Transportation,Export,Export(US$ Mil),22228.375801
Hungary,2019,World,Miscellaneous,Export,Export(US$ Mil),6993.809644
Hungary,2019,World,Raw materials,Export,Export(US$ Mil),5539.708505
Hungary,2019,World,Intermediate goods,Export,Export(US$ Mil),16802.325694
Hungary,2019,World,Consumer goods,Export,Export(US$ Mil),45302.8099960001
Hungary,2019,World,Capital goods,Export,Export(US$ Mil),50886.737733
Hungary,2019,World,Raw materials,Import,Import(US$ Mil),6206.50253100001
Hungary,2019,World,Intermediate goods,Import,Import(US$ Mil),21299.996969
Hungary,2019,World,Consumer goods,Import,Import(US$ Mil),34484.015557
Hungary,2019,World,Capital goods,Import,Import(US$ Mil),48156.160208
Hungary,2019,World,All Products,Export,Exports (in US$ Mil),122180.657695
Hungary,2019,World,All Products,Import,Imports (in US$ Mil),117324.011167
Hungary,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),20211467.161
Hungary,2019,...,...,Development,Trade Balance (current US$ Mil),5098
Hungary,2019,...,...,Development,GDP (current US$ Mil),163469
Hungary,2019,...,...,Tariff,No. Of Tariff Agreement,
Hungary,2019,...,...,Import,No. Of Import partners,186
Hungary,2019,...,...,Import,No. Of Import products,4380
Hungary,2019,...,...,Export,No. Of Export partners,208
Hungary,2019,...,...,Export,No. Of Export products,4007
Hungary,2019,...,...,Others,Population,9771141
Hungary,2019,...,...,Others,Ease of Doing Business Rank,52
Hungary,2019,...,...,Others,Trading Across Borders Rank,1
Hungary,2019,...,...,Others,CPIA Trade Ratings,
Hungary,2018,...,...,Others,LPI Rank,31
Hungary,2018,...,...,Others,LPI Score,3.42
Hungary,,...,...,Others,Services Trade Restrictions Index - Over All,17.5
Hungary,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,27.6867
Hungary,2019,Slovak Republic,All Products,Export,Partner share(%)-Top 5 Export Partner,5.243
Hungary,2019,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1332
Hungary,2019,Romania,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0532
Hungary,2019,Austria,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6183
Hungary,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,25.2574
Hungary,2019,Austria,All Products,Import,Partner share(%)-Top 5 Import Partner,6.1447
Hungary,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.101
Hungary,2019,Poland,All Products,Import,Partner share(%)-Top 5 Import Partner,5.7662
Hungary,2019,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,5.0839
Hungary,2019,World,Animal,Export,Export Product share(%),1.8945
Hungary,2019,World,Vegetable,Export,Export Product share(%),2.954
Hungary,2019,World,Food Products,Export,Export Product share(%),3.723
Hungary,2019,World,Minerals,Export,Export Product share(%),0.0896
Hungary,2019,World,Fuels,Export,Export Product share(%),2.624
Hungary,2019,World,Chemicals,Export,Export Product share(%),8.7151
Hungary,2019,World,Plastic or Rubber,Export,Export Product share(%),6.1693
Hungary,2019,World,Hides and Skins,Export,Export Product share(%),0.4066
Hungary,2019,World,Wood,Export,Export Product share(%),2.0077
Hungary,2019,World,Textiles and Clothing,Export,Export Product share(%),1.4127
Hungary,2019,World,Footwear,Export,Export Product share(%),0.5866
Hungary,2019,World,Stone and Glass,Export,Export Product share(%),1.5442
Hungary,2019,World,Metals,Export,Export Product share(%),4.6712
Hungary,2019,World,Mach and Elec,Export,Export Product share(%),39.2844
Hungary,2019,World,Transportation,Export,Export Product share(%),18.193
Hungary,2019,World,Miscellaneous,Export,Export Product share(%),5.7242
Hungary,2019,World,Raw materials,Export,Export Product share(%),4.534
Hungary,2019,World,Intermediate goods,Export,Export Product share(%),13.752
Hungary,2019,World,Consumer goods,Export,Export Product share(%),37.0785
Hungary,2019,World,Capital goods,Export,Export Product share(%),41.6488
Hungary,2019,World,Raw materials,Import,Import Product share(%),5.2901
Hungary,2019,World,Intermediate goods,Import,Import Product share(%),18.1548
Hungary,2019,World,Consumer goods,Import,Import Product share(%),29.3921
Hungary,2019,World,Capital goods,Import,Import Product share(%),41.0454
Hungary,2019,World,Raw materials,Tariff,Weighted Average (%),0.0816595887858863
Hungary,2019,World,Intermediate goods,Tariff,Weighted Average (%),1.72688912908633
Hungary,2019,World,Consumer goods,Tariff,Weighted Average (%),1.77919512912223
Hungary,2019,World,Capital goods,Tariff,Weighted Average (%),0.759629559235163
Hungary,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Hungary,2019,World,All Products,Trade Indicator,Country Growth (%),-0.867361898778185
Hungary,2019,World,All Products,Tariff,Simple Average (%),2.37515117359603
Hungary,2019,World,All Products,Tariff,Weighted Average (%),1.06645314231027
Hungary,2019,World,All Products,Tariff,Maximum Rate (%),237.638900756836
Hungary,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),54.2265657839428
Hungary,2019,...,...,Trade Indicator,Index of export market penetration,12.5518716293403
Hungary,2019,...,...,Trade Indicator,HH Market concentration index,0.0900356318690545
Hungary,2019,...,...,Development,Trade Balance (% of GDP),3.11863608
Hungary,2019,...,...,Development,Trade in services (% of GDP),31.68581445
Hungary,2019,...,...,Development,Trade (% of GDP),161.2577302
Hungary,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",16500
