Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Indonesia,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27961.887182
Indonesia,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17873.579643
Indonesia,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16003.261592
Indonesia,2019,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12916.729795
Indonesia,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11823.490587
Indonesia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,44930.598575
Indonesia,2019,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17589.850198
Indonesia,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15661.831471
Indonesia,2019,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9469.093161
Indonesia,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9319.161007
Indonesia,2019,World,Animal,Export,Export(US$ Mil),3571.510154
Indonesia,2019,World,Vegetable,Export,Export(US$ Mil),23583.382175
Indonesia,2019,World,Food Products,Export,Export(US$ Mil),7952.948061
Indonesia,2019,World,Minerals,Export,Export(US$ Mil),3495.120355
Indonesia,2019,World,Fuels,Export,Export(US$ Mil),34105.452317
Indonesia,2019,World,Chemicals,Export,Export(US$ Mil),8534.763385
Indonesia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),8489.878484
Indonesia,2019,World,Hides and Skins,Export,Export(US$ Mil),806.655427
Indonesia,2019,World,Wood,Export,Export(US$ Mil),11233.910247
Indonesia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),12829.568295
Indonesia,2019,World,Footwear,Export,Export(US$ Mil),4873.967741
Indonesia,2019,World,Stone and Glass,Export,Export(US$ Mil),7344.499661
Indonesia,2019,World,Metals,Export,Export(US$ Mil),13360.28911
Indonesia,2019,World,Mach and Elec,Export,Export(US$ Mil),14542.670217
Indonesia,2019,World,Transportation,Export,Export(US$ Mil),8686.92113
Indonesia,2019,World,Miscellaneous,Export,Export(US$ Mil),4271.46077
Indonesia,2019,World,Raw materials,Export,Export(US$ Mil),37308.310226
Indonesia,2019,World,Intermediate goods,Export,Export(US$ Mil),50941.1186610001
Indonesia,2019,World,Consumer goods,Export,Export(US$ Mil),63198.231171
Indonesia,2019,World,Capital goods,Export,Export(US$ Mil),15501.228188
Indonesia,2019,World,Raw materials,Import,Import(US$ Mil),21660.132461
Indonesia,2019,World,Intermediate goods,Import,Import(US$ Mil),56781.781066
Indonesia,2019,World,Consumer goods,Import,Import(US$ Mil),38412.713455
Indonesia,2019,World,Capital goods,Import,Import(US$ Mil),53837.860568
Indonesia,2019,World,All Products,Export,Exports (in US$ Mil),167682.997529
Indonesia,2019,World,All Products,Import,Imports (in US$ Mil),171275.708684
Indonesia,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),109013272.456
Indonesia,2019,...,...,Development,Trade Balance (current US$ Mil),-5466
Indonesia,2019,...,...,Development,GDP (current US$ Mil),1119190
Indonesia,2019,...,...,Tariff,No. Of Tariff Agreement,8
Indonesia,2019,...,...,Import,No. Of Import partners,227
Indonesia,2019,...,...,Import,No. Of Import products,4433
Indonesia,2019,...,...,Export,No. Of Export partners,215
Indonesia,2019,...,...,Export,No. Of Export products,3983
Indonesia,2019,...,...,Others,Population,270625568
Indonesia,2019,...,...,Others,Ease of Doing Business Rank,73
Indonesia,2019,...,...,Others,Trading Across Borders Rank,116
Indonesia,2019,...,...,Others,CPIA Trade Ratings,
Indonesia,2018,...,...,Others,LPI Rank,46
Indonesia,2018,...,...,Others,LPI Score,3.15
Indonesia,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),3622
Indonesia,2015,...,...,Others,No Of NTM Measures,64
Indonesia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0474693
Indonesia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0787497
Indonesia,,...,...,Others,Services Trade Restrictions Index - Over All,50
Indonesia,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,1.820999622
Indonesia,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,2.406973124
Indonesia,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,16.6754
Indonesia,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,10.6591
Indonesia,2019,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,9.5438
Indonesia,2019,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,7.7031
Indonesia,2019,India,All Products,Export,Partner share(%)-Top 5 Export Partner,7.0511
Indonesia,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,26.2329
Indonesia,2019,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,10.2699
Indonesia,2019,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,9.1442
Indonesia,2019,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,5.5286
Indonesia,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.441
Indonesia,2019,World,Animal,Export,Export Product share(%),2.1299
Indonesia,2019,World,Vegetable,Export,Export Product share(%),14.0643
Indonesia,2019,World,Food Products,Export,Export Product share(%),4.7428
Indonesia,2019,World,Minerals,Export,Export Product share(%),2.0844
Indonesia,2019,World,Fuels,Export,Export Product share(%),20.3392
Indonesia,2019,World,Chemicals,Export,Export Product share(%),5.0898
Indonesia,2019,World,Plastic or Rubber,Export,Export Product share(%),5.0631
Indonesia,2019,World,Hides and Skins,Export,Export Product share(%),0.4811
Indonesia,2019,World,Wood,Export,Export Product share(%),6.6995
Indonesia,2019,World,Textiles and Clothing,Export,Export Product share(%),7.6511
Indonesia,2019,World,Footwear,Export,Export Product share(%),2.9067
Indonesia,2019,World,Stone and Glass,Export,Export Product share(%),4.38
Indonesia,2019,World,Metals,Export,Export Product share(%),7.9676
Indonesia,2019,World,Mach and Elec,Export,Export Product share(%),8.6727
