Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
India,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,54288.1942689003
India,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29539.3577274995
India,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17278.8326800489
India,2019,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11478.4012470244
India,2019,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10738.6886032972
India,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,68402.0925624841
India,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,34917.9717640016
India,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30308.8788329103
India,2019,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27000.1247848178
India,2019,Iraq,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22085.0155543054
India,2019,World,Animal,Export,Export(US$ Mil),10194.4457318649
India,2019,World,Vegetable,Export,Export(US$ Mil),17423.6672379932
India,2019,World,Food Products,Export,Export(US$ Mil),7424.48445067966
India,2019,World,Minerals,Export,Export(US$ Mil),5034.67708174564
India,2019,World,Fuels,Export,Export(US$ Mil),44532.7021201862
India,2019,World,Chemicals,Export,Export(US$ Mil),48248.0743705863
India,2019,World,Plastic or Rubber,Export,Export(US$ Mil),10583.5006346363
India,2019,World,Hides and Skins,Export,Export(US$ Mil),3081.10642982206
India,2019,World,Wood,Export,Export(US$ Mil),3003.00222434434
India,2019,World,Textiles and Clothing,Export,Export(US$ Mil),35485.4167507274
India,2019,World,Footwear,Export,Export(US$ Mil),3143.18575178162
India,2019,World,Stone and Glass,Export,Export(US$ Mil),41161.9518246042
India,2019,World,Metals,Export,Export(US$ Mil),25832.7825458096
India,2019,World,Mach and Elec,Export,Export(US$ Mil),36197.6733561464
India,2019,World,Transportation,Export,Export(US$ Mil),25059.4724352076
India,2019,World,Miscellaneous,Export,Export(US$ Mil),6844.58347858496
India,2019,World,Raw materials,Export,Export(US$ Mil),23152.9579200875
India,2019,World,Intermediate goods,Export,Export(US$ Mil),100489.558397744
India,2019,World,Consumer goods,Export,Export(US$ Mil),145934.482832864
India,2019,World,Capital goods,Export,Export(US$ Mil),53400.1947183629
India,2019,World,Raw materials,Import,Import(US$ Mil),160775.27077397
India,2019,World,Intermediate goods,Import,Import(US$ Mil),149051.78589259
India,2019,World,Consumer goods,Import,Import(US$ Mil),58016.3879149116
India,2019,World,Capital goods,Import,Import(US$ Mil),108943.435160964
India,2019,World,All Products,Export,Exports (in US$ Mil),323250.72642472
India,2019,World,All Products,Import,Imports (in US$ Mil),478883.729111406
India,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),185514243.823859
India,2019,...,...,Development,Trade Balance (current US$ Mil),-78068
India,2019,...,...,Development,GDP (current US$ Mil),2868930
India,2019,...,...,Tariff,No. Of Tariff Agreement,22
India,2019,...,...,Import,No. Of Import partners,210
India,2019,...,...,Import,No. Of Import products,4356
India,2019,...,...,Export,No. Of Export partners,226
India,2019,...,...,Export,No. Of Export products,4442
India,2019,...,...,Others,Population,1366417754
India,2019,...,...,Others,Ease of Doing Business Rank,63
India,2019,...,...,Others,Trading Across Borders Rank,68
India,2019,...,...,Others,CPIA Trade Ratings,
India,2018,...,...,Others,LPI Rank,44
India,2018,...,...,Others,LPI Score,3.18
India,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),347
India,2013,...,...,Others,No Of NTM Measures,3
India,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1490326
India,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1529563
India,,...,...,Others,Services Trade Restrictions Index - Over All,65.7
India,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,6.586594105
India,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,5.318890572
India,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,16.7945
India,2019,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,9.1382
India,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,5.3453
India,2019,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,3.5509
India,2019,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,3.3221
India,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.2837
India,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,7.2915
India,2019,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3291
India,2019,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6381
India,2019,Iraq,All Products,Import,Partner share(%)-Top 5 Import Partner,4.6118
India,2019,World,Animal,Export,Export Product share(%),3.1537
India,2019,World,Vegetable,Export,Export Product share(%),5.3901
India,2019,World,Food Products,Export,Export Product share(%),2.2968
India,2019,World,Minerals,Export,Export Product share(%),1.5575
India,2019,World,Fuels,Export,Export Product share(%),13.7765
India,2019,World,Chemicals,Export,Export Product share(%),14.9259
India,2019,World,Plastic or Rubber,Export,Export Product share(%),3.2741
India,2019,World,Hides and Skins,Export,Export Product share(%),0.9532
India,2019,World,Wood,Export,Export Product share(%),0.929
India,2019,World,Textiles and Clothing,Export,Export Product share(%),10.9777
India,2019,World,Footwear,Export,Export Product share(%),0.9724
India,2019,World,Stone and Glass,Export,Export Product share(%),12.7338
India,2019,World,Metals,Export,Export Product share(%),7.9916
India,2019,World,Mach and Elec,Export,Export Product share(%),11.198
India,2019,World,Transportation,Export,Export Product share(%),7.7523
India,2019,World,Miscellaneous,Export,Export Product share(%),2.1174
India,2019,World,Raw materials,Export,Export Product share(%),7.1625
India,2019,World,Intermediate goods,Export,Export Product share(%),31.0872
India,2019,World,Consumer goods,Export,Export Product share(%),45.1459
India,2019,World,Capital goods,Export,Export Product share(%),16.5197
India,2019,World,Raw materials,Import,Import Product share(%),33.5729
India,2019,World,Intermediate goods,Import,Import Product share(%),31.1248
India,2019,World,Consumer goods,Import,Import Product share(%),12.1149
India,2019,World,Capital goods,Import,Import Product share(%),22.7495
India,2019,World,Raw materials,Tariff,Weighted Average (%),2.15823846872304
India,2019,World,Intermediate goods,Tariff,Weighted Average (%),10.2451439205209
India,2019,World,Consumer goods,Tariff,Weighted Average (%),12.3988617266999
India,2019,World,Capital goods,Tariff,Weighted Average (%),5.07023516759961
India,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
India,2019,World,All Products,Trade Indicator,Country Growth (%),0.711674120572425
India,2019,World,All Products,Tariff,Simple Average (%),10.2143173392773
India,2019,World,All Products,Tariff,Weighted Average (%),6.59479808575288
India,2019,World,All Products,Tariff,Maximum Rate (%),150
India,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),18.244595030655
India,2019,...,...,Trade Indicator,Index of export market penetration,26.7807132218987
India,2019,...,...,Trade Indicator,HH Market concentration index,0.0595938517799649
India,2019,...,...,Development,Trade Balance (% of GDP),-2.72114737
India,2019,...,...,Development,Trade in services (% of GDP),12.03573493
India,2019,...,...,Development,Trade (% of GDP),39.55006082
India,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",2120
