Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Iceland,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1373.89305241725
Iceland,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,543.630840071622
Iceland,2019,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,495.357615779814
Iceland,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,380.482439304179
Iceland,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,370.054184468001
Iceland,2019,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,744.766033644569
Iceland,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,561.375359743091
Iceland,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,546.009053187186
Iceland,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,485.664372456254
Iceland,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,456.038352531665
Iceland,2019,World,Animal,Export,Export(US$ Mil),2061.87885257774
Iceland,2019,World,Vegetable,Export,Export(US$ Mil),93.3415707315042
Iceland,2019,World,Food Products,Export,Export(US$ Mil),307.510555927571
Iceland,2019,World,Minerals,Export,Export(US$ Mil),20.1622265834171
Iceland,2019,World,Fuels,Export,Export(US$ Mil),83.3174313843353
Iceland,2019,World,Chemicals,Export,Export(US$ Mil),52.6800474452984
Iceland,2019,World,Plastic or Rubber,Export,Export(US$ Mil),19.7752537040477
Iceland,2019,World,Hides and Skins,Export,Export(US$ Mil),8.3329039212714
Iceland,2019,World,Wood,Export,Export(US$ Mil),2.7481712919669
Iceland,2019,World,Textiles and Clothing,Export,Export(US$ Mil),14.9893964298117
Iceland,2019,World,Footwear,Export,Export(US$ Mil),0.37114002251955
Iceland,2019,World,Stone and Glass,Export,Export(US$ Mil),3.36146499144405
Iceland,2019,World,Metals,Export,Export(US$ Mil),1955.43343709256
Iceland,2019,World,Mach and Elec,Export,Export(US$ Mil),176.98086250305
Iceland,2019,World,Transportation,Export,Export(US$ Mil),246.16858208189
Iceland,2019,World,Miscellaneous,Export,Export(US$ Mil),181.308619820933
Iceland,2019,World,Raw materials,Export,Export(US$ Mil),1790.68162466708
Iceland,2019,World,Intermediate goods,Export,Export(US$ Mil),2376.04232880209
Iceland,2019,World,Consumer goods,Export,Export(US$ Mil),490.17017310347
Iceland,2019,World,Capital goods,Export,Export(US$ Mil),524.276175530981
Iceland,2019,World,Raw materials,Import,Import(US$ Mil),312.404927157568
Iceland,2019,World,Intermediate goods,Import,Import(US$ Mil),1343.89434873417
Iceland,2019,World,Consumer goods,Import,Import(US$ Mil),3036.06956427807
Iceland,2019,World,Capital goods,Import,Import(US$ Mil),1884.51781083672
Iceland,2019,World,All Products,Export,Exports (in US$ Mil),5228.36051650935
Iceland,2019,World,All Products,Import,Imports (in US$ Mil),6579.00395004697
Iceland,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),5369112.33787006
Iceland,2019,...,...,Development,Trade Balance (current US$ Mil),1142.465411
Iceland,2019,...,...,Development,GDP (current US$ Mil),24188.038474
Iceland,2019,...,...,Tariff,No. Of Tariff Agreement,33
Iceland,2019,...,...,Import,No. Of Import partners,152
Iceland,2019,...,...,Import,No. Of Import products,3990
Iceland,2019,...,...,Export,No. Of Export partners,133
Iceland,2019,...,...,Export,No. Of Export products,1453
Iceland,2019,...,...,Others,Population,360563
Iceland,2019,...,...,Others,Ease of Doing Business Rank,26
Iceland,2019,...,...,Others,Trading Across Borders Rank,53
Iceland,2019,...,...,Others,CPIA Trade Ratings,
Iceland,2018,...,...,Others,LPI Rank,40
Iceland,2018,...,...,Others,LPI Score,3.23
Iceland,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0435967
Iceland,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.058861
Iceland,2019,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,26.2777
