Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Israel,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15958.882
Israel,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4992.268
Israel,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4421.873
Israel,2019,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4022.557
Israel,2019,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3041.212
Israel,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12824.778
Israel,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10234.885
Israel,2019,Bunkers,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7783.201
Israel,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4832.667
Israel,2019,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3997.887
Israel,2019,World,Animal,Export,Export(US$ Mil),44.291
Israel,2019,World,Vegetable,Export,Export(US$ Mil),1373.931
Israel,2019,World,Food Products,Export,Export(US$ Mil),767.484
Israel,2019,World,Minerals,Export,Export(US$ Mil),149.735
Israel,2019,World,Fuels,Export,Export(US$ Mil),1201.388
Israel,2019,World,Chemicals,Export,Export(US$ Mil),13892.131
Israel,2019,World,Plastic or Rubber,Export,Export(US$ Mil),2956.876
Israel,2019,World,Hides and Skins,Export,Export(US$ Mil),24.724
Israel,2019,World,Wood,Export,Export(US$ Mil),339.099
Israel,2019,World,Textiles and Clothing,Export,Export(US$ Mil),984.342
Israel,2019,World,Footwear,Export,Export(US$ Mil),64.302
Israel,2019,World,Stone and Glass,Export,Export(US$ Mil),12284.462
Israel,2019,World,Metals,Export,Export(US$ Mil),1942.525
Israel,2019,World,Mach and Elec,Export,Export(US$ Mil),12765.092
Israel,2019,World,Transportation,Export,Export(US$ Mil),2791.41
Israel,2019,World,Miscellaneous,Export,Export(US$ Mil),6906.674
Israel,2019,World,Raw materials,Export,Export(US$ Mil),3314.039
Israel,2019,World,Intermediate goods,Export,Export(US$ Mil),23369.721
Israel,2019,World,Consumer goods,Export,Export(US$ Mil),10850.889
Israel,2019,World,Capital goods,Export,Export(US$ Mil),18200.087
Israel,2019,World,Raw materials,Import,Import(US$ Mil),12341.005
Israel,2019,World,Intermediate goods,Import,Import(US$ Mil),14875.772
Israel,2019,World,Consumer goods,Import,Import(US$ Mil),25526.85
Israel,2019,World,Capital goods,Import,Import(US$ Mil),22971.425
Israel,2019,World,All Products,Export,Exports (in US$ Mil),58488.466
Israel,2019,World,All Products,Import,Imports (in US$ Mil),76578.559
Israel,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),54710035
Israel,2019,...,...,Development,Trade Balance (current US$ Mil),7385
Israel,2019,...,...,Development,GDP (current US$ Mil),394652
Israel,2017,...,...,Tariff,No. Of Tariff Agreement,13
Israel,2019,...,...,Import,No. Of Import partners,180
Israel,2019,...,...,Import,No. Of Import products,4195
Israel,2019,...,...,Export,No. Of Export partners,123
Israel,2019,...,...,Export,No. Of Export products,3047
Israel,2019,...,...,Others,Population,9054000
Israel,2019,...,...,Others,Ease of Doing Business Rank,35
Israel,2019,...,...,Others,Trading Across Borders Rank,67
Israel,2019,...,...,Others,CPIA Trade Ratings,
Israel,2018,...,...,Others,LPI Rank,37
Israel,2018,...,...,Others,LPI Score,3.31
Israel,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),10
Israel,2013,...,...,Others,No Of NTM Measures,3
Israel,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0290789
Israel,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0290789
Israel,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.1937233657
Israel,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.0977447107
Israel,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,27.2855
Israel,2019,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,8.5355
Israel,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,7.5602
Israel,2019,Bunkers,All Products,Export,Partner share(%)-Top 5 Export Partner,6.8775
Israel,2019,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,5.1997
Israel,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,16.7472
Israel,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,13.3652
Israel,2019,Bunkers,All Products,Import,Partner share(%)-Top 5 Import Partner,10.1637
Israel,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3107
Israel,2019,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,5.2206
Israel,2019,World,Animal,Export,Export Product share(%),0.0757
Israel,2019,World,Vegetable,Export,Export Product share(%),2.3491
Israel,2019,World,Food Products,Export,Export Product share(%),1.3122
Israel,2019,World,Minerals,Export,Export Product share(%),0.256
Israel,2019,World,Fuels,Export,Export Product share(%),2.0541
Israel,2019,World,Chemicals,Export,Export Product share(%),23.7519
Israel,2019,World,Plastic or Rubber,Export,Export Product share(%),5.0555
Israel,2019,World,Hides and Skins,Export,Export Product share(%),0.0423
Israel,2019,World,Wood,Export,Export Product share(%),0.5798
Israel,2019,World,Textiles and Clothing,Export,Export Product share(%),1.683
Israel,2019,World,Footwear,Export,Export Product share(%),0.1099
Israel,2019,World,Stone and Glass,Export,Export Product share(%),21.0032
Israel,2019,World,Metals,Export,Export Product share(%),3.3212
Israel,2019,World,Mach and Elec,Export,Export Product share(%),21.825
Israel,2019,World,Transportation,Export,Export Product share(%),4.7726
Israel,2019,World,Miscellaneous,Export,Export Product share(%),11.8086
