Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Italy,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,65509.5409858722
Italy,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,56604.0541286475
Italy,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,50990.4147386246
Italy,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29151.0238443995
Italy,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28248.7088911523
Italy,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,76778.9314121732
Italy,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,38992.5133102224
Italy,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35449.4371445695
Italy,2019,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,25745.6583418281
Italy,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24906.1010399772
Italy,2019,World,Animal,Export,Export(US$ Mil),7188.18160193203
Italy,2019,World,Vegetable,Export,Export(US$ Mil),12742.3425627448
Italy,2019,World,Food Products,Export,Export(US$ Mil),30580.3390376871
Italy,2019,World,Minerals,Export,Export(US$ Mil),1289.69578639562
Italy,2019,World,Fuels,Export,Export(US$ Mil),15733.5594385215
Italy,2019,World,Chemicals,Export,Export(US$ Mil),61721.5882543424
Italy,2019,World,Plastic or Rubber,Export,Export(US$ Mil),26594.4355033759
Italy,2019,World,Hides and Skins,Export,Export(US$ Mil),16631.2006789349
Italy,2019,World,Wood,Export,Export(US$ Mil),11500.4385148252
Italy,2019,World,Textiles and Clothing,Export,Export(US$ Mil),36402.3071697248
Italy,2019,World,Footwear,Export,Export(US$ Mil),13124.054537404
Italy,2019,World,Stone and Glass,Export,Export(US$ Mil),26451.4952857042
Italy,2019,World,Metals,Export,Export(US$ Mil),49050.7379322459
Italy,2019,World,Mach and Elec,Export,Export(US$ Mil),133414.482870834
Italy,2019,World,Transportation,Export,Export(US$ Mil),52898.5759997188
