Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Jamaica,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,615.481903949998
Jamaica,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,219.12745141
Jamaica,2019,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,139.77849572
Jamaica,2019,Iceland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,117.76544002
Jamaica,2019,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,69.75954064
Jamaica,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2868.13266637
Jamaica,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,492.1583447
Jamaica,2019,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,329.48893368
Jamaica,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,298.54034326
Jamaica,2019,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,195.86596902
Jamaica,2019,World,Animal,Export,Export(US$ Mil),22.8121117
Jamaica,2019,World,Vegetable,Export,Export(US$ Mil),49.70445514
Jamaica,2019,World,Food Products,Export,Export(US$ Mil),277.5778686
Jamaica,2019,World,Minerals,Export,Export(US$ Mil),96.33537638
Jamaica,2019,World,Fuels,Export,Export(US$ Mil),299.6291656
Jamaica,2019,World,Chemicals,Export,Export(US$ Mil),766.10135307
Jamaica,2019,World,Plastic or Rubber,Export,Export(US$ Mil),10.73742455
Jamaica,2019,World,Hides and Skins,Export,Export(US$ Mil),0.07764933
Jamaica,2019,World,Wood,Export,Export(US$ Mil),5.89015479
Jamaica,2019,World,Textiles and Clothing,Export,Export(US$ Mil),2.25989937
Jamaica,2019,World,Footwear,Export,Export(US$ Mil),0.12551255
Jamaica,2019,World,Stone and Glass,Export,Export(US$ Mil),4.55993114
Jamaica,2019,World,Metals,Export,Export(US$ Mil),15.30316244
Jamaica,2019,World,Mach and Elec,Export,Export(US$ Mil),19.95264912
Jamaica,2019,World,Transportation,Export,Export(US$ Mil),1.84629772
Jamaica,2019,World,Miscellaneous,Export,Export(US$ Mil),13.43777116
Jamaica,2019,World,Raw materials,Export,Export(US$ Mil),159.41293007
Jamaica,2019,World,Intermediate goods,Export,Export(US$ Mil),782.36666338
Jamaica,2019,World,Consumer goods,Export,Export(US$ Mil),616.886668060002
Jamaica,2019,World,Capital goods,Export,Export(US$ Mil),22.89533694
Jamaica,2019,World,Raw materials,Import,Import(US$ Mil),996.11935091
Jamaica,2019,World,Intermediate goods,Import,Import(US$ Mil),867.44489848
Jamaica,2019,World,Consumer goods,Import,Import(US$ Mil),3382.97087815
Jamaica,2019,World,Capital goods,Import,Import(US$ Mil),1081.97724106
Jamaica,2019,World,All Products,Export,Exports (in US$ Mil),1586.35078266
Jamaica,2019,World,All Products,Import,Imports (in US$ Mil),6339.23288691
Jamaica,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1485935.249
Jamaica,2019,...,...,Development,Trade Balance (current US$ Mil),-2157.764194
Jamaica,2019,...,...,Development,GDP (current US$ Mil),16458.071068
Jamaica,2016,...,...,Tariff,No. Of Tariff Agreement,1
Jamaica,2019,...,...,Import,No. Of Import partners,124
Jamaica,2019,...,...,Import,No. Of Import products,3703
Jamaica,2019,...,...,Export,No. Of Export partners,116
Jamaica,2019,...,...,Export,No. Of Export products,1645
Jamaica,2019,...,...,Others,Population,2948279
Jamaica,2019,...,...,Others,Ease of Doing Business Rank,71
Jamaica,2019,...,...,Others,Trading Across Borders Rank,136
Jamaica,2019,...,...,Others,CPIA Trade Ratings,
Jamaica,2018,...,...,Others,LPI Rank,113
Jamaica,2018,...,...,Others,LPI Score,2.52
Jamaica,2009,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1
Jamaica,2009,...,...,Others,No Of NTM Measures,1
Jamaica,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0
Jamaica,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0
Jamaica,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,38.7986
Jamaica,2019,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,13.8133
Jamaica,2019,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,8.8113
Jamaica,2019,Iceland,All Products,Export,Partner share(%)-Top 5 Export Partner,7.4237
Jamaica,2019,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3975
Jamaica,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,45.2442
Jamaica,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,7.7637
Jamaica,2019,Colombia,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1976
Jamaica,2019,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,4.7094
Jamaica,2019,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,3.0897
Jamaica,2019,World,Animal,Export,Export Product share(%),1.438
Jamaica,2019,World,Vegetable,Export,Export Product share(%),3.1333
Jamaica,2019,World,Food Products,Export,Export Product share(%),17.4979
Jamaica,2019,World,Minerals,Export,Export Product share(%),6.0728
Jamaica,2019,World,Fuels,Export,Export Product share(%),18.888
Jamaica,2019,World,Chemicals,Export,Export Product share(%),48.2933
Jamaica,2019,World,Plastic or Rubber,Export,Export Product share(%),0.6769
Jamaica,2019,World,Hides and Skins,Export,Export Product share(%),0.0049
Jamaica,2019,World,Wood,Export,Export Product share(%),0.3713
Jamaica,2019,World,Textiles and Clothing,Export,Export Product share(%),0.1425
Jamaica,2019,World,Footwear,Export,Export Product share(%),0.0079
Jamaica,2019,World,Stone and Glass,Export,Export Product share(%),0.2874
Jamaica,2019,World,Metals,Export,Export Product share(%),0.9647
Jamaica,2019,World,Mach and Elec,Export,Export Product share(%),1.2578
Jamaica,2019,World,Transportation,Export,Export Product share(%),0.1164
Jamaica,2019,World,Miscellaneous,Export,Export Product share(%),0.8471
Jamaica,2019,World,Raw materials,Export,Export Product share(%),10.049
Jamaica,2019,World,Intermediate goods,Export,Export Product share(%),49.3186
Jamaica,2019,World,Consumer goods,Export,Export Product share(%),38.8872
Jamaica,2019,World,Capital goods,Export,Export Product share(%),1.4433
Jamaica,2019,World,Raw materials,Import,Import Product share(%),15.7136
Jamaica,2019,World,Intermediate goods,Import,Import Product share(%),13.6838
Jamaica,2019,World,Consumer goods,Import,Import Product share(%),53.3656
Jamaica,2019,World,Capital goods,Import,Import Product share(%),17.068
Jamaica,2016,World,Raw materials,Tariff,Weighted Average (%),5.48072354585128
Jamaica,2016,World,Intermediate goods,Tariff,Weighted Average (%),6.16790953711197
Jamaica,2016,World,Consumer goods,Tariff,Weighted Average (%),15.0722598408658
Jamaica,2016,World,Capital goods,Tariff,Weighted Average (%),5.53497875166993
Jamaica,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Jamaica,2019,World,All Products,Trade Indicator,Country Growth (%),-1.60334227779011
Jamaica,2016,World,All Products,Tariff,Simple Average (%),10.2786420013777
Jamaica,2016,World,All Products,Tariff,Weighted Average (%),10.838830805785
Jamaica,2016,World,All Products,Tariff,Maximum Rate (%),100
Jamaica,2016,World,All Products,Tariff,Duty Free Tariff Lines Share (%),33.2154374284823
Jamaica,2019,...,...,Trade Indicator,Index of export market penetration,1.9972675327028
Jamaica,2019,...,...,Trade Indicator,HH Market concentration index,0.128529412444136
Jamaica,2019,...,...,Development,Trade Balance (% of GDP),-13.11067491
Jamaica,2019,...,...,Development,Trade in services (% of GDP),42.32424338
Jamaica,2019,...,...,Development,Trade (% of GDP),89.02638174
Jamaica,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",5320
