Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kazakhstan,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8373.71284843
Kazakhstan,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7823.40634636
Kazakhstan,2019,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5602.53193288
Kazakhstan,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4393.19852403
Kazakhstan,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3650.38353519
Kazakhstan,2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14065.0552272
Kazakhstan,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6566.47067274
Kazakhstan,2019,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3422.41852012
Kazakhstan,2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1579.37111438
Kazakhstan,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1491.94521259
Kazakhstan,2019,World,Animal,Export,Export(US$ Mil),296.23845083
Kazakhstan,2019,World,Vegetable,Export,Export(US$ Mil),2568.92858937
Kazakhstan,2019,World,Food Products,Export,Export(US$ Mil),419.50445789
Kazakhstan,2019,World,Minerals,Export,Export(US$ Mil),3321.92408613
Kazakhstan,2019,World,Fuels,Export,Export(US$ Mil),38717.32541526
Kazakhstan,2019,World,Chemicals,Export,Export(US$ Mil),2578.75524929
Kazakhstan,2019,World,Plastic or Rubber,Export,Export(US$ Mil),143.70377157
Kazakhstan,2019,World,Hides and Skins,Export,Export(US$ Mil),9.51401801
Kazakhstan,2019,World,Wood,Export,Export(US$ Mil),94.06618389
Kazakhstan,2019,World,Textiles and Clothing,Export,Export(US$ Mil),183.95375943
Kazakhstan,2019,World,Footwear,Export,Export(US$ Mil),4.13307122
Kazakhstan,2019,World,Stone and Glass,Export,Export(US$ Mil),432.59412172
Kazakhstan,2019,World,Metals,Export,Export(US$ Mil),7767.77608599
Kazakhstan,2019,World,Mach and Elec,Export,Export(US$ Mil),537.85053913
Kazakhstan,2019,World,Transportation,Export,Export(US$ Mil),575.10435989
Kazakhstan,2019,World,Miscellaneous,Export,Export(US$ Mil),71.56873672
Kazakhstan,2019,World,Raw materials,Export,Export(US$ Mil),40025.74055307
Kazakhstan,2019,World,Intermediate goods,Export,Export(US$ Mil),11158.99747793
Kazakhstan,2019,World,Consumer goods,Export,Export(US$ Mil),5498.41257089999
Kazakhstan,2019,World,Capital goods,Export,Export(US$ Mil),1030.46517812
Kazakhstan,2019,World,Raw materials,Import,Import(US$ Mil),2118.15170555
Kazakhstan,2019,World,Intermediate goods,Import,Import(US$ Mil),8062.44096956001
Kazakhstan,2019,World,Consumer goods,Import,Import(US$ Mil),12470.51259161
Kazakhstan,2019,World,Capital goods,Import,Import(US$ Mil),15315.03934183
Kazakhstan,2019,World,All Products,Export,Exports (in US$ Mil),57722.94089634
Kazakhstan,2019,World,All Products,Import,Imports (in US$ Mil),38356.65754377
Kazakhstan,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),22864463.6356001
Kazakhstan,2019,...,...,Development,Trade Balance (current US$ Mil),15581.815023
Kazakhstan,2019,...,...,Development,GDP (current US$ Mil),181666
