Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kenya,2019,Uganda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,624.14675915
Kenya,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,508.55140588
Kenya,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,470.14856598
Kenya,2019,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,443.46553264
Kenya,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,391.76653566
Kenya,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3590.35921382
Kenya,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1706.12274135
Kenya,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1632.73416683
Kenya,2019,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1246.93051945
Kenya,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,947.04357861
Kenya,2019,World,Animal,Export,Export(US$ Mil),115.72323323
Kenya,2019,World,Vegetable,Export,Export(US$ Mil),2631.63731842
Kenya,2019,World,Food Products,Export,Export(US$ Mil),487.29324236
Kenya,2019,World,Minerals,Export,Export(US$ Mil),257.54807414
Kenya,2019,World,Fuels,Export,Export(US$ Mil),451.76794101
Kenya,2019,World,Chemicals,Export,Export(US$ Mil),452.02719371
Kenya,2019,World,Plastic or Rubber,Export,Export(US$ Mil),115.85919756
Kenya,2019,World,Hides and Skins,Export,Export(US$ Mil),32.61078972
Kenya,2019,World,Wood,Export,Export(US$ Mil),103.513587
Kenya,2019,World,Textiles and Clothing,Export,Export(US$ Mil),429.13883235
Kenya,2019,World,Footwear,Export,Export(US$ Mil),50.34245107
Kenya,2019,World,Stone and Glass,Export,Export(US$ Mil),55.75238378
Kenya,2019,World,Metals,Export,Export(US$ Mil),264.6191297
Kenya,2019,World,Mach and Elec,Export,Export(US$ Mil),201.49522458
Kenya,2019,World,Transportation,Export,Export(US$ Mil),100.24071252
Kenya,2019,World,Miscellaneous,Export,Export(US$ Mil),86.68666277
Kenya,2019,World,Raw materials,Export,Export(US$ Mil),1144.00781886
Kenya,2019,World,Intermediate goods,Export,Export(US$ Mil),641.823040370001
Kenya,2019,World,Consumer goods,Export,Export(US$ Mil),3701.81384563
Kenya,2019,World,Capital goods,Export,Export(US$ Mil),319.16203469
Kenya,2019,World,Raw materials,Import,Import(US$ Mil),1027.32040906
Kenya,2019,World,Intermediate goods,Import,Import(US$ Mil),4765.53114569
Kenya,2019,World,Consumer goods,Import,Import(US$ Mil),7135.1915831498
Kenya,2019,World,Capital goods,Import,Import(US$ Mil),3990.8494845
Kenya,2019,World,All Products,Export,Exports (in US$ Mil),5836.25597392
Kenya,2019,World,All Products,Import,Imports (in US$ Mil),17210.0010184698
Kenya,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3768763.49724759
Kenya,2019,...,...,Development,Trade Balance (current US$ Mil),-8917.93313
Kenya,2019,...,...,Development,GDP (current US$ Mil),95503.088538
Kenya,2019,...,...,Tariff,No. Of Tariff Agreement,4
Kenya,2019,...,...,Import,No. Of Import partners,177
Kenya,2019,...,...,Import,No. Of Import products,4015
Kenya,2019,...,...,Export,No. Of Export partners,179
Kenya,2019,...,...,Export,No. Of Export products,3242
Kenya,2019,...,...,Others,Population,52573973
Kenya,2019,...,...,Others,Ease of Doing Business Rank,56
Kenya,2019,...,...,Others,Trading Across Borders Rank,117
