Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kyrgyz Republic,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,833.229811
Kyrgyz Republic,2019,Kazakhstan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,347.065658
Kyrgyz Republic,2019,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,281.252923
Kyrgyz Republic,2019,Uzbekistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,138.879699
Kyrgyz Republic,2019,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,89.854902
Kyrgyz Republic,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1734.970508
Kyrgyz Republic,2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1404.285223
Kyrgyz Republic,2019,Kazakhstan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,649.333709
Kyrgyz Republic,2019,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,222.842644
Kyrgyz Republic,2019,Uzbekistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,200.887625
Kyrgyz Republic,2019,World,Animal,Export,Export(US$ Mil),62.872363
Kyrgyz Republic,2019,World,Vegetable,Export,Export(US$ Mil),136.595414
Kyrgyz Republic,2019,World,Food Products,Export,Export(US$ Mil),58.419637
Kyrgyz Republic,2019,World,Minerals,Export,Export(US$ Mil),196.286077
Kyrgyz Republic,2019,World,Fuels,Export,Export(US$ Mil),119.946054
Kyrgyz Republic,2019,World,Chemicals,Export,Export(US$ Mil),29.847393
Kyrgyz Republic,2019,World,Plastic or Rubber,Export,Export(US$ Mil),35.402179
Kyrgyz Republic,2019,World,Hides and Skins,Export,Export(US$ Mil),12.111946
Kyrgyz Republic,2019,World,Wood,Export,Export(US$ Mil),10.80287
Kyrgyz Republic,2019,World,Textiles and Clothing,Export,Export(US$ Mil),149.702805
Kyrgyz Republic,2019,World,Footwear,Export,Export(US$ Mil),16.460151
Kyrgyz Republic,2019,World,Stone and Glass,Export,Export(US$ Mil),905.415095
Kyrgyz Republic,2019,World,Metals,Export,Export(US$ Mil),122.854856
Kyrgyz Republic,2019,World,Mach and Elec,Export,Export(US$ Mil),40.986596
Kyrgyz Republic,2019,World,Transportation,Export,Export(US$ Mil),65.986691
Kyrgyz Republic,2019,World,Miscellaneous,Export,Export(US$ Mil),22.419425
Kyrgyz Republic,2019,World,Raw materials,Export,Export(US$ Mil),435.630338
Kyrgyz Republic,2019,World,Intermediate goods,Export,Export(US$ Mil),1044.173492
Kyrgyz Republic,2019,World,Consumer goods,Export,Export(US$ Mil),399.763599
Kyrgyz Republic,2019,World,Capital goods,Export,Export(US$ Mil),98.2703939999999
Kyrgyz Republic,2019,World,Raw materials,Import,Import(US$ Mil),249.809765
Kyrgyz Republic,2019,World,Intermediate goods,Import,Import(US$ Mil),1112.498753
Kyrgyz Republic,2019,World,Consumer goods,Import,Import(US$ Mil),2601.599192
Kyrgyz Republic,2019,World,Capital goods,Import,Import(US$ Mil),1019.059294
Kyrgyz Republic,2019,World,All Products,Export,Exports (in US$ Mil),1986.109552
Kyrgyz Republic,2019,World,All Products,Import,Imports (in US$ Mil),4988.946048
Kyrgyz Republic,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2342337.10499999
Kyrgyz Republic,2019,...,...,Development,Trade Balance (current US$ Mil),-2393.898238
Kyrgyz Republic,2019,...,...,Development,GDP (current US$ Mil),8454.619608
Kyrgyz Republic,2019,...,...,Tariff,No. Of Tariff Agreement,6
Kyrgyz Republic,2019,...,...,Import,No. Of Import partners,125
Kyrgyz Republic,2019,...,...,Import,No. Of Import products,3500
Kyrgyz Republic,2019,...,...,Export,No. Of Export partners,89
Kyrgyz Republic,2019,...,...,Export,No. Of Export products,1624
Kyrgyz Republic,2019,...,...,Others,Population,6456200
Kyrgyz Republic,2019,...,...,Others,Ease of Doing Business Rank,80
Kyrgyz Republic,2019,...,...,Others,Trading Across Borders Rank,89
Kyrgyz Republic,2019,...,...,Others,CPIA Trade Ratings,4.5
Kyrgyz Republic,2018,...,...,Others,LPI Rank,108
Kyrgyz Republic,2018,...,...,Others,LPI Score,2.55
Kyrgyz Republic,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0183065
Kyrgyz Republic,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.029087
Kyrgyz Republic,,...,...,Others,Services Trade Restrictions Index - Over All,15.2
Kyrgyz Republic,2019,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,41.9529
Kyrgyz Republic,2019,Kazakhstan,All Products,Export,Partner share(%)-Top 5 Export Partner,17.4746
Kyrgyz Republic,2019,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,14.161
Kyrgyz Republic,2019,Uzbekistan,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9925
Kyrgyz Republic,2019,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,4.5242
Kyrgyz Republic,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,34.7763
Kyrgyz Republic,2019,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,28.1479
Kyrgyz Republic,2019,Kazakhstan,All Products,Import,Partner share(%)-Top 5 Import Partner,13.0154
Kyrgyz Republic,2019,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,4.4667
Kyrgyz Republic,2019,Uzbekistan,All Products,Import,Partner share(%)-Top 5 Import Partner,4.0267
Kyrgyz Republic,2019,World,Animal,Export,Export Product share(%),3.1656
Kyrgyz Republic,2019,World,Vegetable,Export,Export Product share(%),6.8775
Kyrgyz Republic,2019,World,Food Products,Export,Export Product share(%),2.9414
Kyrgyz Republic,2019,World,Minerals,Export,Export Product share(%),9.8829
Kyrgyz Republic,2019,World,Fuels,Export,Export Product share(%),6.0392
Kyrgyz Republic,2019,World,Chemicals,Export,Export Product share(%),1.5028
Kyrgyz Republic,2019,World,Plastic or Rubber,Export,Export Product share(%),1.7825
Kyrgyz Republic,2019,World,Hides and Skins,Export,Export Product share(%),0.6098
Kyrgyz Republic,2019,World,Wood,Export,Export Product share(%),0.5439
Kyrgyz Republic,2019,World,Textiles and Clothing,Export,Export Product share(%),7.5375
Kyrgyz Republic,2019,World,Footwear,Export,Export Product share(%),0.8288
Kyrgyz Republic,2019,World,Stone and Glass,Export,Export Product share(%),45.5874
Kyrgyz Republic,2019,World,Metals,Export,Export Product share(%),6.1857
Kyrgyz Republic,2019,World,Mach and Elec,Export,Export Product share(%),2.0637
Kyrgyz Republic,2019,World,Transportation,Export,Export Product share(%),3.3224
Kyrgyz Republic,2019,World,Miscellaneous,Export,Export Product share(%),1.1288
Kyrgyz Republic,2019,World,Raw materials,Export,Export Product share(%),21.9339
Kyrgyz Republic,2019,World,Intermediate goods,Export,Export Product share(%),52.5738
Kyrgyz Republic,2019,World,Consumer goods,Export,Export Product share(%),20.128
Kyrgyz Republic,2019,World,Capital goods,Export,Export Product share(%),4.9479
