Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kiribati,2016,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.090846
Kiribati,2016,Fiji,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.9998557
Kiribati,2016,East Timor,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.141282
Kiribati,2016,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.136017
Kiribati,2016,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.575683
Kiribati,2016,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27.56883794
Kiribati,2016,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18.75891351
Kiribati,2016,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15.16943826
Kiribati,2016,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13.04781742
Kiribati,2016,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10.29527843
Kiribati,2016,World,Animal,Export,Export(US$ Mil),3.15562923
Kiribati,2016,World,Vegetable,Export,Export(US$ Mil),5.214428
Kiribati,2016,World,Food Products,Export,Export(US$ Mil),0.26028086
Kiribati,2016,World,Minerals,Export,Export(US$ Mil),0.00034
Kiribati,2016,World,Fuels,Export,Export(US$ Mil),0.9320623
Kiribati,2016,World,Chemicals,Export,Export(US$ Mil),0.012034
Kiribati,2016,World,Plastic or Rubber,Export,Export(US$ Mil),0.010014
Kiribati,2016,World,Hides and Skins,Export,Export(US$ Mil),3E-05
Kiribati,2016,World,Wood,Export,Export(US$ Mil),0.18152941
Kiribati,2016,World,Textiles and Clothing,Export,Export(US$ Mil),0.060436
Kiribati,2016,World,Footwear,Export,Export(US$ Mil),1.5E-05
Kiribati,2016,World,Stone and Glass,Export,Export(US$ Mil),0.002706
Kiribati,2016,World,Metals,Export,Export(US$ Mil),0.2760068
Kiribati,2016,World,Mach and Elec,Export,Export(US$ Mil),0.5509615
Kiribati,2016,World,Transportation,Export,Export(US$ Mil),0.512366
Kiribati,2016,World,Miscellaneous,Export,Export(US$ Mil),0.084711
Kiribati,2016,World,Raw materials,Export,Export(US$ Mil),4.50497223
Kiribati,2016,World,Intermediate goods,Export,Export(US$ Mil),4.33788641
Kiribati,2016,World,Consumer goods,Export,Export(US$ Mil),1.25947696
Kiribati,2016,World,Capital goods,Export,Export(US$ Mil),1.1256145
Kiribati,2016,World,Raw materials,Import,Import(US$ Mil),10.95931196
Kiribati,2016,World,Intermediate goods,Import,Import(US$ Mil),18.81352605
Kiribati,2016,World,Consumer goods,Import,Import(US$ Mil),67.98045929
Kiribati,2016,World,Capital goods,Import,Import(US$ Mil),21.2322741
Kiribati,2016,World,All Products,Export,Exports (in US$ Mil),11.2535501
Kiribati,2016,World,All Products,Import,Imports (in US$ Mil),118.9901924
Kiribati,2019,...,...,Development,Trade Balance (current US$ Mil),
Kiribati,2019,...,...,Development,GDP (current US$ Mil),194.6472019
Kiribati,2016,...,...,Import,No. Of Import partners,52
Kiribati,2016,...,...,Import,No. Of Import products,2106
Kiribati,2016,...,...,Export,No. Of Export partners,19
Kiribati,2016,...,...,Export,No. Of Export products,234
Kiribati,2019,...,...,Others,Population,117606
Kiribati,2019,...,...,Others,Ease of Doing Business Rank,164
Kiribati,2019,...,...,Others,Trading Across Borders Rank,135
Kiribati,2019,...,...,Others,CPIA Trade Ratings,3.5
Kiribati,2016,Malaysia,All Products,Export,Partner share(%)-Top 5 Export Partner,36.3516
Kiribati,2016,Fiji,All Products,Export,Partner share(%)-Top 5 Export Partner,26.657
Kiribati,2016,East Timor,All Products,Export,Partner share(%)-Top 5 Export Partner,10.1415
Kiribati,2016,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,10.0947
Kiribati,2016,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1156
Kiribati,2016,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,23.169
Kiribati,2016,Fiji,All Products,Import,Partner share(%)-Top 5 Import Partner,15.7651
Kiribati,2016,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,12.7485
Kiribati,2016,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,10.9655
Kiribati,2016,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,8.6522
Kiribati,2016,World,Animal,Export,Export Product share(%),28.0412
Kiribati,2016,World,Vegetable,Export,Export Product share(%),46.3358
Kiribati,2016,World,Food Products,Export,Export Product share(%),2.3129
Kiribati,2016,World,Minerals,Export,Export Product share(%),0.003
Kiribati,2016,World,Fuels,Export,Export Product share(%),8.2824
Kiribati,2016,World,Chemicals,Export,Export Product share(%),0.1069
Kiribati,2016,World,Plastic or Rubber,Export,Export Product share(%),0.089
Kiribati,2016,World,Hides and Skins,Export,Export Product share(%),0.0003
Kiribati,2016,World,Wood,Export,Export Product share(%),1.6131
Kiribati,2016,World,Textiles and Clothing,Export,Export Product share(%),0.537
Kiribati,2016,World,Footwear,Export,Export Product share(%),0.0001
Kiribati,2016,World,Stone and Glass,Export,Export Product share(%),0.024
Kiribati,2016,World,Metals,Export,Export Product share(%),2.4526
Kiribati,2016,World,Mach and Elec,Export,Export Product share(%),4.8959
Kiribati,2016,World,Transportation,Export,Export Product share(%),4.5529
Kiribati,2016,World,Miscellaneous,Export,Export Product share(%),0.7527
Kiribati,2016,World,Raw materials,Export,Export Product share(%),40.0316
Kiribati,2016,World,Intermediate goods,Export,Export Product share(%),38.5468
Kiribati,2016,World,Consumer goods,Export,Export Product share(%),11.1918
Kiribati,2016,World,Capital goods,Export,Export Product share(%),10.0023
Kiribati,2016,World,Raw materials,Import,Import Product share(%),9.2103
Kiribati,2016,World,Intermediate goods,Import,Import Product share(%),15.811
Kiribati,2016,World,Consumer goods,Import,Import Product share(%),57.1311
Kiribati,2016,World,Capital goods,Import,Import Product share(%),17.8437
Kiribati,2016,World,All Products,Trade Indicator,World Growth (%),-1.24303117407315
Kiribati,2016,World,All Products,Trade Indicator,Country Growth (%),3.1957832317431
Kiribati,2016,...,...,Trade Indicator,Index of export market penetration,1.06811616238407
Kiribati,2016,...,...,Trade Indicator,HH Market concentration index,0.483807005030228
Kiribati,2019,...,...,Development,Trade Balance (% of GDP),
Kiribati,2019,...,...,Development,Trade in services (% of GDP),
Kiribati,2019,...,...,Development,Trade (% of GDP),
Kiribati,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",3350
