Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Korea, Rep.",2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,136202.533208
"Korea, Rep.",2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,73598.903629
"Korea, Rep.",2019,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,48177.748735
"Korea, Rep.",2019,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,31905.989747
"Korea, Rep.",2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28420.167955
"Korea, Rep.",2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,107228.162271
"Korea, Rep.",2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,62105.137072
"Korea, Rep.",2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,47579.038346
"Korea, Rep.",2019,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21840.580617
"Korea, Rep.",2019,Vietnam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21071.556716
"Korea, Rep.",2019,World,Animal,Export,Export(US$ Mil),1529.42658
"Korea, Rep.",2019,World,Vegetable,Export,Export(US$ Mil),902.569724
"Korea, Rep.",2019,World,Food Products,Export,Export(US$ Mil),6088.749076
"Korea, Rep.",2019,World,Minerals,Export,Export(US$ Mil),1026.373166
"Korea, Rep.",2019,World,Fuels,Export,Export(US$ Mil),42179.134817
"Korea, Rep.",2019,World,Chemicals,Export,Export(US$ Mil),46462.840261
"Korea, Rep.",2019,World,Plastic or Rubber,Export,Export(US$ Mil),39891.775099
"Korea, Rep.",2019,World,Hides and Skins,Export,Export(US$ Mil),879.299539
"Korea, Rep.",2019,World,Wood,Export,Export(US$ Mil),3438.286435
"Korea, Rep.",2019,World,Textiles and Clothing,Export,Export(US$ Mil),12480.64902
"Korea, Rep.",2019,World,Footwear,Export,Export(US$ Mil),672.505506
"Korea, Rep.",2019,World,Stone and Glass,Export,Export(US$ Mil),5814.708893
"Korea, Rep.",2019,World,Metals,Export,Export(US$ Mil),47160.678655
"Korea, Rep.",2019,World,Mach and Elec,Export,Export(US$ Mil),222447.323449
"Korea, Rep.",2019,World,Transportation,Export,Export(US$ Mil),84641.028617
"Korea, Rep.",2019,World,Miscellaneous,Export,Export(US$ Mil),26556.420252
"Korea, Rep.",2019,World,Raw materials,Export,Export(US$ Mil),3685.181653
"Korea, Rep.",2019,World,Intermediate goods,Export,Export(US$ Mil),129608.963572
"Korea, Rep.",2019,World,Consumer goods,Export,Export(US$ Mil),136687.463177
"Korea, Rep.",2019,World,Capital goods,Export,Export(US$ Mil),272142.916443
"Korea, Rep.",2019,World,Raw materials,Import,Import(US$ Mil),127249.566496
"Korea, Rep.",2019,World,Intermediate goods,Import,Import(US$ Mil),92703.2170180001
"Korea, Rep.",2019,World,Consumer goods,Import,Import(US$ Mil),125986.082217
"Korea, Rep.",2019,World,Capital goods,Import,Import(US$ Mil),157251.800277
"Korea, Rep.",2019,World,All Products,Export,Exports (in US$ Mil),542171.769089
"Korea, Rep.",2019,World,All Products,Import,Imports (in US$ Mil),503262.910727
"Korea, Rep.",2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),234335059.521999
"Korea, Rep.",2018,...,...,Tariff,No. Of Tariff Agreement,27
"Korea, Rep.",2019,...,...,Import,No. Of Import partners,226
"Korea, Rep.",2019,...,...,Import,No. Of Import products,4472
"Korea, Rep.",2019,...,...,Export,No. Of Export partners,221
"Korea, Rep.",2019,...,...,Export,No. Of Export products,4300
"Korea, Rep.",2019,...,...,Others,Population,51709098
"Korea, Rep.",2019,...,...,Others,Ease of Doing Business Rank,5
"Korea, Rep.",2019,...,...,Others,Trading Across Borders Rank,36
"Korea, Rep.",2019,...,...,Others,CPIA Trade Ratings,
"Korea, Rep.",2018,...,...,Others,LPI Rank,25
"Korea, Rep.",2018,...,...,Others,LPI Score,3.61
"Korea, Rep.",2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),30
"Korea, Rep.",2013,...,...,Others,No Of NTM Measures,3
