Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kuwait,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,58673.930925
Kuwait,2019,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,960.208467
Kuwait,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,910.738588
Kuwait,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,805.486104
Kuwait,2019,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,658.48976
Kuwait,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5988.380245
Kuwait,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3052.431863
Kuwait,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2821.389659
Kuwait,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2113.393142
Kuwait,2019,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2075.504976
Kuwait,2019,World,Animal,Export,Export(US$ Mil),18.890704
Kuwait,2019,World,Vegetable,Export,Export(US$ Mil),94.066179
Kuwait,2019,World,Food Products,Export,Export(US$ Mil),279.756936
Kuwait,2019,World,Minerals,Export,Export(US$ Mil),6.074447
Kuwait,2019,World,Fuels,Export,Export(US$ Mil),58689.726858
Kuwait,2019,World,Chemicals,Export,Export(US$ Mil),1993.580505
Kuwait,2019,World,Plastic or Rubber,Export,Export(US$ Mil),740.932401
Kuwait,2019,World,Hides and Skins,Export,Export(US$ Mil),7.636584
Kuwait,2019,World,Wood,Export,Export(US$ Mil),106.615981
Kuwait,2019,World,Textiles and Clothing,Export,Export(US$ Mil),77.641833
Kuwait,2019,World,Footwear,Export,Export(US$ Mil),23.657355
Kuwait,2019,World,Stone and Glass,Export,Export(US$ Mil),215.600549
Kuwait,2019,World,Metals,Export,Export(US$ Mil),312.661749
Kuwait,2019,World,Mach and Elec,Export,Export(US$ Mil),525.653139
Kuwait,2019,World,Transportation,Export,Export(US$ Mil),1103.608773
Kuwait,2019,World,Miscellaneous,Export,Export(US$ Mil),285.992627
Kuwait,2019,World,Raw materials,Export,Export(US$ Mil),46673.70628
Kuwait,2019,World,Intermediate goods,Export,Export(US$ Mil),2776.807797
Kuwait,2019,World,Consumer goods,Export,Export(US$ Mil),13730.355423
Kuwait,2019,World,Capital goods,Export,Export(US$ Mil),1007.32863
Kuwait,2019,World,Raw materials,Import,Import(US$ Mil),2979.726206
Kuwait,2019,World,Intermediate goods,Import,Import(US$ Mil),6177.303258
Kuwait,2019,World,Consumer goods,Import,Import(US$ Mil),15312.705831
Kuwait,2019,World,Capital goods,Import,Import(US$ Mil),9014.11638699998
