Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Lebanon,2018,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,457.394088487656
Lebanon,2018,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,212.447505165797
Lebanon,2018,Syrian Arab Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,205.38477625965
Lebanon,2018,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,174.045690622138
Lebanon,2018,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,147.28278186926
Lebanon,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2048.77792422456
Lebanon,2018,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1708.39889691004
Lebanon,2018,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1591.05391906459
Lebanon,2018,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1438.77352323084
Lebanon,2018,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1168.97576315969
Lebanon,2018,World,Animal,Export,Export(US$ Mil),23.6351339934111
Lebanon,2018,World,Vegetable,Export,Export(US$ Mil),237.517318626516
Lebanon,2018,World,Food Products,Export,Export(US$ Mil),382.762570942704
Lebanon,2018,World,Minerals,Export,Export(US$ Mil),6.14769048932644
Lebanon,2018,World,Fuels,Export,Export(US$ Mil),24.6914411519635
Lebanon,2018,World,Chemicals,Export,Export(US$ Mil),362.424695958349
Lebanon,2018,World,Plastic or Rubber,Export,Export(US$ Mil),180.185496851226
Lebanon,2018,World,Hides and Skins,Export,Export(US$ Mil),11.0107614257934
Lebanon,2018,World,Wood,Export,Export(US$ Mil),166.702137065958
Lebanon,2018,World,Textiles and Clothing,Export,Export(US$ Mil),51.947887837118
Lebanon,2018,World,Footwear,Export,Export(US$ Mil),8.75389168325002
Lebanon,2018,World,Stone and Glass,Export,Export(US$ Mil),671.830089467948
Lebanon,2018,World,Metals,Export,Export(US$ Mil),380.384935253732
Lebanon,2018,World,Mach and Elec,Export,Export(US$ Mil),321.526069524675
Lebanon,2018,World,Transportation,Export,Export(US$ Mil),22.6298707337644
Lebanon,2018,World,Miscellaneous,Export,Export(US$ Mil),100.609941446948
Lebanon,2018,World,Raw materials,Export,Export(US$ Mil),618.533912131012
Lebanon,2018,World,Intermediate goods,Export,Export(US$ Mil),863.450368259498
Lebanon,2018,World,Consumer goods,Export,Export(US$ Mil),1124.7253781596
Lebanon,2018,World,Capital goods,Export,Export(US$ Mil),341.305449277896
Lebanon,2018,World,Raw materials,Import,Import(US$ Mil),1859.35372101976
Lebanon,2018,World,Intermediate goods,Import,Import(US$ Mil),4216.04441766794
Lebanon,2018,World,Consumer goods,Import,Import(US$ Mil),11070.6989675645
Lebanon,2018,World,Capital goods,Import,Import(US$ Mil),2819.74794606236
Lebanon,2018,World,All Products,Export,Exports (in US$ Mil),2952.75993245268
Lebanon,2018,World,All Products,Import,Imports (in US$ Mil),19982.9440511026
Lebanon,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),113261459.661194
Lebanon,2019,...,...,Development,Trade Balance (current US$ Mil),-13166.7
Lebanon,2019,...,...,Development,GDP (current US$ Mil),51991.634492
Lebanon,2018,...,...,Tariff,No. Of Tariff Agreement,7
Lebanon,2018,...,...,Import,No. Of Import partners,197
Lebanon,2018,...,...,Import,No. Of Import products,3994
Lebanon,2018,...,...,Export,No. Of Export partners,171
Lebanon,2018,...,...,Export,No. Of Export products,2722
Lebanon,2019,...,...,Others,Population,6855713
Lebanon,2019,...,...,Others,Ease of Doing Business Rank,143
Lebanon,2019,...,...,Others,Trading Across Borders Rank,153
Lebanon,2019,...,...,Others,CPIA Trade Ratings,
Lebanon,2018,...,...,Others,LPI Rank,79
Lebanon,2018,...,...,Others,LPI Score,2.72
Lebanon,,...,...,Others,Services Trade Restrictions Index - Over All,42.3
Lebanon,2018,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,15.4904
Lebanon,2018,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,7.1949
Lebanon,2018,Syrian Arab Republic,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9557
Lebanon,2018,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8943
Lebanon,2018,Iraq,All Products,Export,Partner share(%)-Top 5 Export Partner,4.988
Lebanon,2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.2526
Lebanon,2018,Greece,All Products,Import,Partner share(%)-Top 5 Import Partner,8.5493
Lebanon,2018,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,7.9621
Lebanon,2018,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,7.2
Lebanon,2018,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8499
Lebanon,2018,World,Animal,Export,Export Product share(%),0.8004
Lebanon,2018,World,Vegetable,Export,Export Product share(%),8.0439
Lebanon,2018,World,Food Products,Export,Export Product share(%),12.9629
Lebanon,2018,World,Minerals,Export,Export Product share(%),0.2082
Lebanon,2018,World,Fuels,Export,Export Product share(%),0.8362
Lebanon,2018,World,Chemicals,Export,Export Product share(%),12.2741
Lebanon,2018,World,Plastic or Rubber,Export,Export Product share(%),6.1023
Lebanon,2018,World,Hides and Skins,Export,Export Product share(%),0.3729
Lebanon,2018,World,Wood,Export,Export Product share(%),5.6456
Lebanon,2018,World,Textiles and Clothing,Export,Export Product share(%),1.7593
Lebanon,2018,World,Footwear,Export,Export Product share(%),0.2965
Lebanon,2018,World,Stone and Glass,Export,Export Product share(%),22.7526
Lebanon,2018,World,Metals,Export,Export Product share(%),12.8824
Lebanon,2018,World,Mach and Elec,Export,Export Product share(%),10.889
Lebanon,2018,World,Transportation,Export,Export Product share(%),0.7664
Lebanon,2018,World,Miscellaneous,Export,Export Product share(%),3.4073
Lebanon,2018,World,Raw materials,Export,Export Product share(%),20.9477
Lebanon,2018,World,Intermediate goods,Export,Export Product share(%),29.2421
Lebanon,2018,World,Consumer goods,Export,Export Product share(%),38.0906
Lebanon,2018,World,Capital goods,Export,Export Product share(%),11.5589
Lebanon,2018,World,Raw materials,Import,Import Product share(%),9.3047
Lebanon,2018,World,Intermediate goods,Import,Import Product share(%),21.0982
Lebanon,2018,World,Consumer goods,Import,Import Product share(%),55.4007
Lebanon,2018,World,Capital goods,Import,Import Product share(%),14.1108
Lebanon,2018,World,Raw materials,Tariff,Weighted Average (%),0.163872966995551
Lebanon,2018,World,Intermediate goods,Tariff,Weighted Average (%),0.723375215035272
Lebanon,2018,World,Consumer goods,Tariff,Weighted Average (%),0.723758478856897
Lebanon,2018,World,Capital goods,Tariff,Weighted Average (%),4.00199734023309
Lebanon,2018,World,All Products,Trade Indicator,World Growth (%),3.49929022901836
Lebanon,2018,World,All Products,Trade Indicator,Country Growth (%),1.77674236423517
Lebanon,2018,World,All Products,Tariff,Simple Average (%),5.01415903403841
Lebanon,2018,World,All Products,Tariff,Weighted Average (%),1.04794172633219
Lebanon,2018,World,All Products,Tariff,Maximum Rate (%),256.239410400391
Lebanon,2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),58.6511908871246
Lebanon,2018,...,...,Trade Indicator,Index of export market penetration,4.65955234270973
Lebanon,2018,...,...,Trade Indicator,HH Market concentration index,0.0533122925592645
Lebanon,2019,...,...,Development,Trade Balance (% of GDP),-25.32465103
Lebanon,2019,...,...,Development,Trade in services (% of GDP),51.93610611
Lebanon,2019,...,...,Development,Trade (% of GDP),96.04102754
Lebanon,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",7380
