Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
St. Lucia,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,32.95107033
St. Lucia,2019,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10.38925158
St. Lucia,2019,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.08557299
St. Lucia,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.7471365
St. Lucia,2019,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.14532548
St. Lucia,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,266.58758065
St. Lucia,2019,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,100.02149162
St. Lucia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33.7950253
St. Lucia,2019,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,29.72686986
St. Lucia,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21.7315894
St. Lucia,2019,World,Animal,Export,Export(US$ Mil),0.15586406
St. Lucia,2019,World,Vegetable,Export,Export(US$ Mil),9.36680675
St. Lucia,2019,World,Food Products,Export,Export(US$ Mil),27.98253994
St. Lucia,2019,World,Minerals,Export,Export(US$ Mil),3.67558428
St. Lucia,2019,World,Fuels,Export,Export(US$ Mil),3.41193515
St. Lucia,2019,World,Chemicals,Export,Export(US$ Mil),4.13462459
St. Lucia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.85008259
St. Lucia,2019,World,Hides and Skins,Export,Export(US$ Mil),0.55093381
St. Lucia,2019,World,Wood,Export,Export(US$ Mil),3.46743009
St. Lucia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),4.63583333
St. Lucia,2019,World,Footwear,Export,Export(US$ Mil),1.36799132
St. Lucia,2019,World,Stone and Glass,Export,Export(US$ Mil),10.20017898
St. Lucia,2019,World,Metals,Export,Export(US$ Mil),2.81476238
St. Lucia,2019,World,Mach and Elec,Export,Export(US$ Mil),13.75908395
St. Lucia,2019,World,Transportation,Export,Export(US$ Mil),2.91527735
St. Lucia,2019,World,Miscellaneous,Export,Export(US$ Mil),7.96633164
St. Lucia,2019,World,Raw materials,Export,Export(US$ Mil),13.48561954
St. Lucia,2019,World,Intermediate goods,Export,Export(US$ Mil),2.68332954
St. Lucia,2019,World,Consumer goods,Export,Export(US$ Mil),64.7155223000001
St. Lucia,2019,World,Capital goods,Export,Export(US$ Mil),15.60717146
St. Lucia,2019,World,Raw materials,Import,Import(US$ Mil),50.52508
St. Lucia,2019,World,Intermediate goods,Import,Import(US$ Mil),74.7723181500001
St. Lucia,2019,World,Consumer goods,Import,Import(US$ Mil),384.64590635
St. Lucia,2019,World,Capital goods,Import,Import(US$ Mil),109.19767385
St. Lucia,2019,World,All Products,Export,Exports (in US$ Mil),97.25526021
St. Lucia,2019,World,All Products,Import,Imports (in US$ Mil),623.792718070001
St. Lucia,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),289041.952976277
St. Lucia,2019,...,...,Development,Trade Balance (current US$ Mil),
St. Lucia,2019,...,...,Development,GDP (current US$ Mil),2122.45063
St. Lucia,2019,...,...,Tariff,No. Of Tariff Agreement,3
St. Lucia,2019,...,...,Import,No. Of Import partners,141
St. Lucia,2019,...,...,Import,No. Of Import products,3151
St. Lucia,2019,...,...,Export,No. Of Export partners,74
St. Lucia,2019,...,...,Export,No. Of Export products,1408
St. Lucia,2019,...,...,Others,Population,182790
St. Lucia,2019,...,...,Others,Ease of Doing Business Rank,93
St. Lucia,2019,...,...,Others,Trading Across Borders Rank,93
St. Lucia,2019,...,...,Others,CPIA Trade Ratings,4
St. Lucia,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,33.881
St. Lucia,2019,Barbados,All Products,Export,Partner share(%)-Top 5 Export Partner,10.6825
St. Lucia,2019,Trinidad and Tobago,All Products,Export,Partner share(%)-Top 5 Export Partner,8.3138
St. Lucia,2019,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.9658
St. Lucia,2019,Dominica,All Products,Export,Partner share(%)-Top 5 Export Partner,7.347
St. Lucia,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,42.7366
St. Lucia,2019,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,16.0344
St. Lucia,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,5.4177
St. Lucia,2019,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,4.7655
St. Lucia,2019,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,3.4838
St. Lucia,2019,World,Animal,Export,Export Product share(%),0.1603
St. Lucia,2019,World,Vegetable,Export,Export Product share(%),9.6312
St. Lucia,2019,World,Food Products,Export,Export Product share(%),28.7723
St. Lucia,2019,World,Minerals,Export,Export Product share(%),3.7793
St. Lucia,2019,World,Fuels,Export,Export Product share(%),3.5082
St. Lucia,2019,World,Chemicals,Export,Export Product share(%),4.2513
St. Lucia,2019,World,Plastic or Rubber,Export,Export Product share(%),0.8741
St. Lucia,2019,World,Hides and Skins,Export,Export Product share(%),0.5665
St. Lucia,2019,World,Wood,Export,Export Product share(%),3.5653
St. Lucia,2019,World,Textiles and Clothing,Export,Export Product share(%),4.7667
St. Lucia,2019,World,Footwear,Export,Export Product share(%),1.4066
St. Lucia,2019,World,Stone and Glass,Export,Export Product share(%),10.488
St. Lucia,2019,World,Metals,Export,Export Product share(%),2.8942
St. Lucia,2019,World,Mach and Elec,Export,Export Product share(%),14.1474
St. Lucia,2019,World,Transportation,Export,Export Product share(%),2.9976
St. Lucia,2019,World,Miscellaneous,Export,Export Product share(%),8.1912
St. Lucia,2019,World,Raw materials,Export,Export Product share(%),13.8662
St. Lucia,2019,World,Intermediate goods,Export,Export Product share(%),2.7591
St. Lucia,2019,World,Consumer goods,Export,Export Product share(%),66.5419
St. Lucia,2019,World,Capital goods,Export,Export Product share(%),16.0476
St. Lucia,2019,World,Raw materials,Import,Import Product share(%),8.0997
St. Lucia,2019,World,Intermediate goods,Import,Import Product share(%),11.9867
St. Lucia,2019,World,Consumer goods,Import,Import Product share(%),61.6625
St. Lucia,2019,World,Capital goods,Import,Import Product share(%),17.5054
St. Lucia,2019,World,Raw materials,Tariff,Weighted Average (%),6.75510129731743
St. Lucia,2019,World,Intermediate goods,Tariff,Weighted Average (%),4.56764437983708
