Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,444446.158005335
,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,123736.728337014
,2019,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,26070.884332629
,2019,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23513.5169966147
,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21722.1889821004
,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,316503.095882506
,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,184201.570304519
,2019,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,43153.923976297
,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39167.010157484
,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30360.8766161566
,2019,World,Animal,Export,Export(US$ Mil),46852.9177768886
,2019,World,Vegetable,Export,Export(US$ Mil),117643.474254601
,2019,World,Food Products,Export,Export(US$ Mil),67071.9929442718
,2019,World,Minerals,Export,Export(US$ Mil),74031.4756792942
,2019,World,Fuels,Export,Export(US$ Mil),98172.6004715526
,2019,World,Chemicals,Export,Export(US$ Mil),32268.3860700707
,2019,World,Plastic or Rubber,Export,Export(US$ Mil),23922.5022427965
,2019,World,Hides and Skins,Export,Export(US$ Mil),3011.55195705848
,2019,World,Wood,Export,Export(US$ Mil),25649.83119407
,2019,World,Textiles and Clothing,Export,Export(US$ Mil),20265.5034334584
,2019,World,Footwear,Export,Export(US$ Mil),2183.07277933365
,2019,World,Stone and Glass,Export,Export(US$ Mil),35356.5382292998
,2019,World,Metals,Export,Export(US$ Mil),60831.520140523
,2019,World,Mach and Elec,Export,Export(US$ Mil),181821.730814165
,2019,World,Transportation,Export,Export(US$ Mil),152842.637446366
,2019,World,Miscellaneous,Export,Export(US$ Mil),56183.2942328481
,2019,World,Raw materials,Export,Export(US$ Mil),300067.051724586
,2019,World,Intermediate goods,Export,Export(US$ Mil),171107.382397879
,2019,World,Consumer goods,Export,Export(US$ Mil),217807.366224649
,2019,World,Capital goods,Export,Export(US$ Mil),260195.408834718
,2019,World,Raw materials,Import,Import(US$ Mil),63354.2506191431
,2019,World,Intermediate goods,Import,Import(US$ Mil),214999.852373499
,2019,World,Consumer goods,Import,Import(US$ Mil),304072.200560185
,2019,World,Capital goods,Import,Import(US$ Mil),358821.311013876
,2019,World,All Products,Export,Exports (in US$ Mil),998109.029666598
,2019,World,All Products,Import,Imports (in US$ Mil),980570.085691428
,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),246727875.431247
,2019,...,...,Development,Trade Balance (current US$ Mil),-92140
,2019,...,...,Development,GDP (current US$ Mil),5733770
,2019,...,...,Tariff,No. Of Tariff Agreement,1111
,2019,...,...,Import,No. Of Import partners,237
,2019,...,...,Import,No. Of Import products,4629
,2019,...,...,Export,No. Of Export partners,230
,2019,...,...,Export,No. Of Export products,4520
,2019,...,...,Others,Population,646430784
,2019,...,...,Others,CPIA Trade Ratings,4.0625
,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,44.5288
,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,12.3971
,2019,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,2.612
,2019,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,2.3558
,2019,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,2.1763
,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,32.2775
,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,18.7852
,2019,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,4.4009
,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,3.9943
,2019,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,3.0962
,2019,World,Animal,Export,Export Product share(%),4.6942
,2019,World,Vegetable,Export,Export Product share(%),11.7866
,2019,World,Food Products,Export,Export Product share(%),6.7199
,2019,World,Minerals,Export,Export Product share(%),7.4172
,2019,World,Fuels,Export,Export Product share(%),9.8359
,2019,World,Chemicals,Export,Export Product share(%),3.233
,2019,World,Plastic or Rubber,Export,Export Product share(%),2.3968
,2019,World,Hides and Skins,Export,Export Product share(%),0.3017
,2019,World,Wood,Export,Export Product share(%),2.5698
,2019,World,Textiles and Clothing,Export,Export Product share(%),2.0304
,2019,World,Footwear,Export,Export Product share(%),0.2187
,2019,World,Stone and Glass,Export,Export Product share(%),3.5424
,2019,World,Metals,Export,Export Product share(%),6.0947
,2019,World,Mach and Elec,Export,Export Product share(%),18.2166
,2019,World,Transportation,Export,Export Product share(%),15.3132
,2019,World,Miscellaneous,Export,Export Product share(%),5.629
,2019,World,Raw materials,Export,Export Product share(%),30.0636
,2019,World,Intermediate goods,Export,Export Product share(%),17.1432
,2019,World,Consumer goods,Export,Export Product share(%),21.822
,2019,World,Capital goods,Export,Export Product share(%),26.0688
,2019,World,Raw materials,Import,Import Product share(%),6.461
,2019,World,Intermediate goods,Import,Import Product share(%),21.926
,2019,World,Consumer goods,Import,Import Product share(%),31.0097
,2019,World,Capital goods,Import,Import Product share(%),36.5931
,2019,World,Raw materials,Tariff,Weighted Average (%),1.23740544933561
,2019,World,Intermediate goods,Tariff,Weighted Average (%),3.94115921146578
,2019,World,Consumer goods,Tariff,Weighted Average (%),7.11561293115538
,2019,World,Capital goods,Tariff,Weighted Average (%),5.45016155433562
,2019,World,All Products,Trade Indicator,World Growth (%),
,2019,World,All Products,Trade Indicator,Country Growth (%),
,2019,World,All Products,Tariff,Simple Average (%),7.11757311245417
,2019,World,All Products,Tariff,Weighted Average (%),5.12899804735382
,2019,World,All Products,Tariff,Maximum Rate (%),3000
,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),45.9280709459122
,2019,...,...,Trade Indicator,Index of export market penetration,
,2019,...,...,Trade Indicator,HH Market concentration index,
,2019,...,...,Development,Trade Balance (% of GDP),-0.721890899999998
,2019,...,...,Development,Trade in services (% of GDP),7.632100227
,2019,...,...,Development,Trade (% of GDP),45.95080472
,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",8794.06169
