Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Lesotho,2017,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,331.175582907784
Lesotho,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,306.000665861093
Lesotho,2017,Eswatini,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.4176954625768
Lesotho,2017,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.92807537233701
Lesotho,2017,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.40706414342184
Lesotho,2017,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1461.14426071657
Lesotho,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,306.551987200837
Lesotho,2017,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,109.368944993457
Lesotho,2017,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,52.4517382308711
Lesotho,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33.7341506805959
Lesotho,2017,World,Animal,Export,Export(US$ Mil),4.40795697724133
Lesotho,2017,World,Vegetable,Export,Export(US$ Mil),15.8936556331361
Lesotho,2017,World,Food Products,Export,Export(US$ Mil),7.00329491092439
Lesotho,2017,World,Minerals,Export,Export(US$ Mil),2.0878394563145
Lesotho,2017,World,Fuels,Export,Export(US$ Mil),0.566072170707997
Lesotho,2017,World,Chemicals,Export,Export(US$ Mil),2.05302631754495
Lesotho,2017,World,Plastic or Rubber,Export,Export(US$ Mil),1.28877306174878
Lesotho,2017,World,Hides and Skins,Export,Export(US$ Mil),0.230285506723912
Lesotho,2017,World,Wood,Export,Export(US$ Mil),5.89688184166155
Lesotho,2017,World,Textiles and Clothing,Export,Export(US$ Mil),524.825899022007
Lesotho,2017,World,Footwear,Export,Export(US$ Mil),11.7169092275648
Lesotho,2017,World,Stone and Glass,Export,Export(US$ Mil),0.848603215139002
Lesotho,2017,World,Metals,Export,Export(US$ Mil),2.07394691804008
Lesotho,2017,World,Mach and Elec,Export,Export(US$ Mil),66.8916968425955
Lesotho,2017,World,Transportation,Export,Export(US$ Mil),5.75182087978569
Lesotho,2017,World,Miscellaneous,Export,Export(US$ Mil),21.6141756927977
Lesotho,2017,World,Raw materials,Export,Export(US$ Mil),37.0717358173702
Lesotho,2017,World,Intermediate goods,Export,Export(US$ Mil),72.919479438049
Lesotho,2017,World,Consumer goods,Export,Export(US$ Mil),509.216783468224
Lesotho,2017,World,Capital goods,Export,Export(US$ Mil),53.6956112065438
Lesotho,2017,World,Raw materials,Import,Import(US$ Mil),175.5144298852
Lesotho,2017,World,Intermediate goods,Import,Import(US$ Mil),641.844613004923
Lesotho,2017,World,Consumer goods,Import,Import(US$ Mil),991.682315193155
Lesotho,2017,World,Capital goods,Import,Import(US$ Mil),254.807089316163
Lesotho,2017,World,All Products,Export,Exports (in US$ Mil),673.150837673933
Lesotho,2017,World,All Products,Import,Imports (in US$ Mil),2065.57136485702
Lesotho,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1214867.96059993
Lesotho,2019,...,...,Development,Trade Balance (current US$ Mil),-1165.049468
Lesotho,2019,...,...,Development,GDP (current US$ Mil),2376.328637
Lesotho,2017,...,...,Tariff,No. Of Tariff Agreement,9
Lesotho,2017,...,...,Import,No. Of Import partners,84
Lesotho,2017,...,...,Import,No. Of Import products,3629
Lesotho,2017,...,...,Export,No. Of Export partners,82
Lesotho,2017,...,...,Export,No. Of Export products,1626
Lesotho,2019,...,...,Others,Population,2125268
Lesotho,2019,...,...,Others,Ease of Doing Business Rank,122
Lesotho,2019,...,...,Others,Trading Across Borders Rank,40
Lesotho,2019,...,...,Others,CPIA Trade Ratings,4
Lesotho,2018,...,...,Others,LPI Rank,139
Lesotho,2018,...,...,Others,LPI Score,2.28
Lesotho,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0436204
Lesotho,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0751967
Lesotho,,...,...,Others,Services Trade Restrictions Index - Over All,27.3
Lesotho,2017,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,49.1978
Lesotho,2017,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,45.458
Lesotho,2017,Eswatini,All Products,Export,Partner share(%)-Top 5 Export Partner,1.6962
Lesotho,2017,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,0.8806
Lesotho,2017,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,0.8032
Lesotho,2017,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,70.738
Lesotho,2017,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.841
Lesotho,2017,"Other Asia, nes",All Products,Import,Partner share(%)-Top 5 Import Partner,5.2949
Lesotho,2017,India,All Products,Import,Partner share(%)-Top 5 Import Partner,2.5393
Lesotho,2017,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,1.6332
Lesotho,2017,World,Animal,Export,Export Product share(%),0.6548
Lesotho,2017,World,Vegetable,Export,Export Product share(%),2.3611
Lesotho,2017,World,Food Products,Export,Export Product share(%),1.0404
Lesotho,2017,World,Minerals,Export,Export Product share(%),0.3102
Lesotho,2017,World,Fuels,Export,Export Product share(%),0.0841
