Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Lithuania,2019,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4632.25802499
Lithuania,2019,Latvia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3162.18536495
Lithuania,2019,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2612.41425799
Lithuania,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2517.203553
Lithuania,2019,Estonia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1696.765859
Lithuania,2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5189.60891698
Lithuania,2019,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4201.14603391
Lithuania,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4182.29150289
Lithuania,2019,Latvia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2541.90935887
Lithuania,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1927.36502997
Lithuania,2019,World,Animal,Export,Export(US$ Mil),1561.596609
Lithuania,2019,World,Vegetable,Export,Export(US$ Mil),1979.380119
Lithuania,2019,World,Food Products,Export,Export(US$ Mil),2520.95215798
Lithuania,2019,World,Minerals,Export,Export(US$ Mil),63.140796
Lithuania,2019,World,Fuels,Export,Export(US$ Mil),4357.943256
Lithuania,2019,World,Chemicals,Export,Export(US$ Mil),3637.87588497
Lithuania,2019,World,Plastic or Rubber,Export,Export(US$ Mil),2172.299289
Lithuania,2019,World,Hides and Skins,Export,Export(US$ Mil),115.880805
Lithuania,2019,World,Wood,Export,Export(US$ Mil),1733.623555
Lithuania,2019,World,Textiles and Clothing,Export,Export(US$ Mil),1479.72596397
Lithuania,2019,World,Footwear,Export,Export(US$ Mil),118.11388597
Lithuania,2019,World,Stone and Glass,Export,Export(US$ Mil),605.254846
Lithuania,2019,World,Metals,Export,Export(US$ Mil),1902.54439699
Lithuania,2019,World,Mach and Elec,Export,Export(US$ Mil),4960.15566298
Lithuania,2019,World,Transportation,Export,Export(US$ Mil),1948.81575099
Lithuania,2019,World,Miscellaneous,Export,Export(US$ Mil),3993.46891796
Lithuania,2019,World,Raw materials,Export,Export(US$ Mil),3286.082925
Lithuania,2019,World,Intermediate goods,Export,Export(US$ Mil),6736.89535
Lithuania,2019,World,Consumer goods,Export,Export(US$ Mil),16188.88018487
Lithuania,2019,World,Capital goods,Export,Export(US$ Mil),6398.97508797001
Lithuania,2019,World,Raw materials,Import,Import(US$ Mil),7241.67116797
Lithuania,2019,World,Intermediate goods,Import,Import(US$ Mil),7470.43586096
Lithuania,2019,World,Consumer goods,Import,Import(US$ Mil),12037.94076469
Lithuania,2019,World,Capital goods,Import,Import(US$ Mil),7930.47346288001
Lithuania,2019,World,All Products,Export,Exports (in US$ Mil),33150.77189681
Lithuania,2019,World,All Products,Import,Imports (in US$ Mil),35759.41563948
Lithuania,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),7720508.744
Lithuania,2019,...,...,Development,Trade Balance (current US$ Mil),2845.715399
Lithuania,2019,...,...,Development,GDP (current US$ Mil),54627.41186
Lithuania,2019,...,...,Tariff,No. Of Tariff Agreement,
Lithuania,2019,...,...,Import,No. Of Import partners,162
Lithuania,2019,...,...,Import,No. Of Import products,4354
Lithuania,2019,...,...,Export,No. Of Export partners,196
Lithuania,2019,...,...,Export,No. Of Export products,4212
Lithuania,2019,...,...,Others,Population,2794137
Lithuania,2019,...,...,Others,Ease of Doing Business Rank,11
Lithuania,2019,...,...,Others,Trading Across Borders Rank,19
Lithuania,2019,...,...,Others,CPIA Trade Ratings,
Lithuania,2018,...,...,Others,LPI Rank,54
Lithuania,2018,...,...,Others,LPI Score,3.02
Lithuania,,...,...,Others,Services Trade Restrictions Index - Over All,12.6
Lithuania,2019,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,13.9733
Lithuania,2019,Latvia,All Products,Export,Partner share(%)-Top 5 Export Partner,9.5388
Lithuania,2019,Poland,All Products,Export,Partner share(%)-Top 5 Export Partner,7.8804
Lithuania,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,7.5932
Lithuania,2019,Estonia,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1183
Lithuania,2019,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,14.5126
Lithuania,2019,Poland,All Products,Import,Partner share(%)-Top 5 Import Partner,11.7484
Lithuania,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,11.6956
Lithuania,2019,Latvia,All Products,Import,Partner share(%)-Top 5 Import Partner,7.1084
Lithuania,2019,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3898
Lithuania,2019,World,Animal,Export,Export Product share(%),4.7106
Lithuania,2019,World,Vegetable,Export,Export Product share(%),5.9708
Lithuania,2019,World,Food Products,Export,Export Product share(%),7.6045
Lithuania,2019,World,Minerals,Export,Export Product share(%),0.1905
Lithuania,2019,World,Fuels,Export,Export Product share(%),13.1458
Lithuania,2019,World,Chemicals,Export,Export Product share(%),10.9737
Lithuania,2019,World,Plastic or Rubber,Export,Export Product share(%),6.5528
Lithuania,2019,World,Hides and Skins,Export,Export Product share(%),0.3496
Lithuania,2019,World,Wood,Export,Export Product share(%),5.2295
Lithuania,2019,World,Textiles and Clothing,Export,Export Product share(%),4.4636
Lithuania,2019,World,Footwear,Export,Export Product share(%),0.3563
Lithuania,2019,World,Stone and Glass,Export,Export Product share(%),1.8258
Lithuania,2019,World,Metals,Export,Export Product share(%),5.7391
Lithuania,2019,World,Mach and Elec,Export,Export Product share(%),14.9624
Lithuania,2019,World,Transportation,Export,Export Product share(%),5.8786
Lithuania,2019,World,Miscellaneous,Export,Export Product share(%),12.0464
Lithuania,2019,World,Raw materials,Export,Export Product share(%),9.9125
Lithuania,2019,World,Intermediate goods,Export,Export Product share(%),20.322
Lithuania,2019,World,Consumer goods,Export,Export Product share(%),48.8341
Lithuania,2019,World,Capital goods,Export,Export Product share(%),19.3026
Lithuania,2019,World,Raw materials,Import,Import Product share(%),20.2511
Lithuania,2019,World,Intermediate goods,Import,Import Product share(%),20.8908
Lithuania,2019,World,Consumer goods,Import,Import Product share(%),33.6637
Lithuania,2019,World,Capital goods,Import,Import Product share(%),22.1773
Lithuania,2019,World,Raw materials,Tariff,Weighted Average (%),0.230019363420621
Lithuania,2019,World,Intermediate goods,Tariff,Weighted Average (%),3.03181937201387
Lithuania,2019,World,Consumer goods,Tariff,Weighted Average (%),2.69360668084344
Lithuania,2019,World,Capital goods,Tariff,Weighted Average (%),1.07579309150337
Lithuania,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Lithuania,2019,World,All Products,Trade Indicator,Country Growth (%),-2.69641798906772
Lithuania,2019,World,All Products,Tariff,Simple Average (%),2.7603675183849
Lithuania,2019,World,All Products,Tariff,Weighted Average (%),1.50487414751709
Lithuania,2019,World,All Products,Tariff,Maximum Rate (%),237.638900756836
Lithuania,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),50.7835002235601
Lithuania,2019,...,...,Trade Indicator,Index of export market penetration,8.67995602963267
Lithuania,2019,...,...,Trade Indicator,HH Market concentration index,0.0439085292364721
Lithuania,2019,...,...,Development,Trade Balance (% of GDP),5.20931763
Lithuania,2019,...,...,Development,Trade in services (% of GDP),38.48159767
