Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Madagascar,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,542.602931606285
Madagascar,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,533.05727924984
Madagascar,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,170.220166063776
Madagascar,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,165.93061688993
Madagascar,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,143.548174212134
Madagascar,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,689.787394134792
Madagascar,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,506.325429202426
Madagascar,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,358.546841682576
Madagascar,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,273.773903419362
Madagascar,2019,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,209.607222037542
Madagascar,2019,World,Animal,Export,Export(US$ Mil),112.959108052949
Madagascar,2019,World,Vegetable,Export,Export(US$ Mil),783.01861010035
Madagascar,2019,World,Food Products,Export,Export(US$ Mil),123.567064053643
Madagascar,2019,World,Minerals,Export,Export(US$ Mil),173.199804492588
Madagascar,2019,World,Fuels,Export,Export(US$ Mil),78.8059079680946
Madagascar,2019,World,Chemicals,Export,Export(US$ Mil),81.0775531743895
Madagascar,2019,World,Plastic or Rubber,Export,Export(US$ Mil),5.05973862279846
Madagascar,2019,World,Hides and Skins,Export,Export(US$ Mil),10.4162861012267
Madagascar,2019,World,Wood,Export,Export(US$ Mil),38.666137014749
Madagascar,2019,World,Textiles and Clothing,Export,Export(US$ Mil),545.01098614816
Madagascar,2019,World,Footwear,Export,Export(US$ Mil),2.31028518076094
Madagascar,2019,World,Stone and Glass,Export,Export(US$ Mil),120.218794137717
Madagascar,2019,World,Metals,Export,Export(US$ Mil),561.763123128486
Madagascar,2019,World,Mach and Elec,Export,Export(US$ Mil),16.9387257510297
Madagascar,2019,World,Transportation,Export,Export(US$ Mil),6.48231427193253
Madagascar,2019,World,Miscellaneous,Export,Export(US$ Mil),29.453928645209
Madagascar,2019,World,Raw materials,Export,Export(US$ Mil),495.590885540827
Madagascar,2019,World,Intermediate goods,Export,Export(US$ Mil),749.172018911158
Madagascar,2019,World,Consumer goods,Export,Export(US$ Mil),1415.09792482616
Madagascar,2019,World,Capital goods,Export,Export(US$ Mil),23.4850586106262
Madagascar,2019,World,Raw materials,Import,Import(US$ Mil),168.31737393881
Madagascar,2019,World,Intermediate goods,Import,Import(US$ Mil),1101.41198514176
Madagascar,2019,World,Consumer goods,Import,Import(US$ Mil),1704.35100574696
Madagascar,2019,World,Capital goods,Import,Import(US$ Mil),616.394044827307
Madagascar,2019,World,All Products,Export,Exports (in US$ Mil),2688.94836684408
Madagascar,2019,World,All Products,Import,Imports (in US$ Mil),3944.26314836879
Madagascar,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),968156.187670926
Madagascar,2019,...,...,Development,Trade Balance (current US$ Mil),-944.01051
Madagascar,2019,...,...,Development,GDP (current US$ Mil),14114.631281
Madagascar,2019,...,...,Tariff,No. Of Tariff Agreement,7
Madagascar,2019,...,...,Import,No. Of Import partners,136
Madagascar,2019,...,...,Import,No. Of Import products,3753
Madagascar,2019,...,...,Export,No. Of Export partners,140
Madagascar,2019,...,...,Export,No. Of Export products,1728
Madagascar,2019,...,...,Others,Population,26969307
Madagascar,2019,...,...,Others,Ease of Doing Business Rank,161
Madagascar,2019,...,...,Others,Trading Across Borders Rank,140
Madagascar,2019,...,...,Others,CPIA Trade Ratings,4
Madagascar,2018,...,...,Others,LPI Rank,128
Madagascar,2018,...,...,Others,LPI Score,2.39
Madagascar,,...,...,Others,Services Trade Restrictions Index - Over All,18.7
Madagascar,2019,France,All Products,Export,Partner share(%)-Top 5 Export Partner,20.179
Madagascar,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,19.824
Madagascar,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,6.3304
Madagascar,2019,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,6.1708
Madagascar,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,5.3385
Madagascar,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,17.4884
Madagascar,2019,France,All Products,Import,Partner share(%)-Top 5 Import Partner,12.837
Madagascar,2019,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,9.0903
Madagascar,2019,India,All Products,Import,Partner share(%)-Top 5 Import Partner,6.9411
Madagascar,2019,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3142
Madagascar,2019,World,Animal,Export,Export Product share(%),4.2009
Madagascar,2019,World,Vegetable,Export,Export Product share(%),29.1199
Madagascar,2019,World,Food Products,Export,Export Product share(%),4.5954
Madagascar,2019,World,Minerals,Export,Export Product share(%),6.4412
Madagascar,2019,World,Fuels,Export,Export Product share(%),2.9307
Madagascar,2019,World,Chemicals,Export,Export Product share(%),3.0152
Madagascar,2019,World,Plastic or Rubber,Export,Export Product share(%),0.1882
Madagascar,2019,World,Hides and Skins,Export,Export Product share(%),0.3874
Madagascar,2019,World,Wood,Export,Export Product share(%),1.438
Madagascar,2019,World,Textiles and Clothing,Export,Export Product share(%),20.2686
Madagascar,2019,World,Footwear,Export,Export Product share(%),0.0859
Madagascar,2019,World,Stone and Glass,Export,Export Product share(%),4.4708
Madagascar,2019,World,Metals,Export,Export Product share(%),20.8916
Madagascar,2019,World,Mach and Elec,Export,Export Product share(%),0.6299
Madagascar,2019,World,Transportation,Export,Export Product share(%),0.2411
Madagascar,2019,World,Miscellaneous,Export,Export Product share(%),1.0954
Madagascar,2019,World,Raw materials,Export,Export Product share(%),18.4307
Madagascar,2019,World,Intermediate goods,Export,Export Product share(%),27.8612
Madagascar,2019,World,Consumer goods,Export,Export Product share(%),52.6264
Madagascar,2019,World,Capital goods,Export,Export Product share(%),0.8734
Madagascar,2019,World,Raw materials,Import,Import Product share(%),4.2674
Madagascar,2019,World,Intermediate goods,Import,Import Product share(%),27.9244
Madagascar,2019,World,Consumer goods,Import,Import Product share(%),43.2109
Madagascar,2019,World,Capital goods,Import,Import Product share(%),15.6276
Madagascar,2019,World,Raw materials,Tariff,Weighted Average (%),6.19360870996287
Madagascar,2019,World,Intermediate goods,Tariff,Weighted Average (%),7.85465210482747
Madagascar,2019,World,Consumer goods,Tariff,Weighted Average (%),8.76127125124732
Madagascar,2019,World,Capital goods,Tariff,Weighted Average (%),4.42214619650639
Madagascar,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Madagascar,2019,World,All Products,Trade Indicator,Country Growth (%),-5.29276127036491
Madagascar,2019,World,All Products,Tariff,Simple Average (%),8.8932810479063
Madagascar,2019,World,All Products,Tariff,Weighted Average (%),7.54101610147372
Madagascar,2019,World,All Products,Tariff,Maximum Rate (%),20
Madagascar,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),22.1597955103384
Madagascar,2019,...,...,Trade Indicator,Index of export market penetration,3.36504154136296
Madagascar,2019,...,...,Trade Indicator,HH Market concentration index,0.10482566622674
Madagascar,2019,...,...,Development,Trade Balance (% of GDP),-6.68816982
Madagascar,2019,...,...,Development,Trade in services (% of GDP),19.27689846
Madagascar,2019,...,...,Development,Trade (% of GDP),59.88171175
Madagascar,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",520
