Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mexico,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,358660.831881
Mexico,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18258.716374
Mexico,2019,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14258.677907
Mexico,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7094.314883
Mexico,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6930.325599
Mexico,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,206142.139412
Mexico,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,83052.433871
Mexico,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17958.030353
Mexico,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17689.708318
Mexico,2019,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17645.847396
Mexico,2019,World,Animal,Export,Export(US$ Mil),4514.718603
Mexico,2019,World,Vegetable,Export,Export(US$ Mil),16930.318071
Mexico,2019,World,Food Products,Export,Export(US$ Mil),15721.952264
Mexico,2019,World,Minerals,Export,Export(US$ Mil),6242.895702
Mexico,2019,World,Fuels,Export,Export(US$ Mil),25010.382179
Mexico,2019,World,Chemicals,Export,Export(US$ Mil),9357.247236
Mexico,2019,World,Plastic or Rubber,Export,Export(US$ Mil),12793.932988
Mexico,2019,World,Hides and Skins,Export,Export(US$ Mil),687.405494
Mexico,2019,World,Wood,Export,Export(US$ Mil),3058.366533
Mexico,2019,World,Textiles and Clothing,Export,Export(US$ Mil),6946.675312
Mexico,2019,World,Footwear,Export,Export(US$ Mil),743.272487
Mexico,2019,World,Stone and Glass,Export,Export(US$ Mil),11199.842833
Mexico,2019,World,Metals,Export,Export(US$ Mil),18635.344373
Mexico,2019,World,Mach and Elec,Export,Export(US$ Mil),159638.274682
Mexico,2019,World,Transportation,Export,Export(US$ Mil),126724.043307
Mexico,2019,World,Miscellaneous,Export,Export(US$ Mil),42499.13217
Mexico,2019,World,Raw materials,Export,Export(US$ Mil),47663.937725
Mexico,2019,World,Intermediate goods,Export,Export(US$ Mil),27698.21622
Mexico,2019,World,Consumer goods,Export,Export(US$ Mil),132978.788783
Mexico,2019,World,Capital goods,Export,Export(US$ Mil),216655.579282
Mexico,2019,World,Raw materials,Import,Import(US$ Mil),17939.409036
Mexico,2019,World,Intermediate goods,Import,Import(US$ Mil),75322.9206199999
Mexico,2019,World,Consumer goods,Import,Import(US$ Mil),121994.625712
Mexico,2019,World,Capital goods,Import,Import(US$ Mil),202575.330904
Mexico,2019,World,All Products,Export,Exports (in US$ Mil),460703.804234
Mexico,2019,World,All Products,Import,Imports (in US$ Mil),455289.486227
Mexico,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),385663734.721999
Mexico,2019,...,...,Development,Trade Balance (current US$ Mil),-3180
Mexico,2019,...,...,Development,GDP (current US$ Mil),1268870
Mexico,2018,...,...,Tariff,No. Of Tariff Agreement,57
Mexico,2019,...,...,Import,No. Of Import partners,210
Mexico,2019,...,...,Import,No. Of Import products,3982
Mexico,2019,...,...,Export,No. Of Export partners,161
Mexico,2019,...,...,Export,No. Of Export products,3050
Mexico,2019,...,...,Others,Population,127575529
Mexico,2019,...,...,Others,Ease of Doing Business Rank,60
Mexico,2019,...,...,Others,Trading Across Borders Rank,69
Mexico,2019,...,...,Others,CPIA Trade Ratings,
Mexico,2018,...,...,Others,LPI Rank,51
Mexico,2018,...,...,Others,LPI Score,3.05
Mexico,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),3454
Mexico,2014,...,...,Others,No Of NTM Measures,55
Mexico,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1518051
Mexico,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2185722
Mexico,,...,...,Others,Services Trade Restrictions Index - Over All,29.5
Mexico,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,1.277190208
Mexico,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.8149527311
Mexico,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,77.8506
Mexico,2019,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,3.9632
Mexico,2019,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,3.095
Mexico,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,1.5399
Mexico,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,1.5043
Mexico,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,45.2772
Mexico,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,18.2417
Mexico,2019,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,3.9443
Mexico,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,3.8854
Mexico,2019,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,3.8757
Mexico,2019,World,Animal,Export,Export Product share(%),0.98
Mexico,2019,World,Vegetable,Export,Export Product share(%),3.6749
Mexico,2019,World,Food Products,Export,Export Product share(%),3.4126
Mexico,2019,World,Minerals,Export,Export Product share(%),1.3551
Mexico,2019,World,Fuels,Export,Export Product share(%),5.4287
Mexico,2019,World,Chemicals,Export,Export Product share(%),2.0311
Mexico,2019,World,Plastic or Rubber,Export,Export Product share(%),2.777
Mexico,2019,World,Hides and Skins,Export,Export Product share(%),0.1492
Mexico,2019,World,Wood,Export,Export Product share(%),0.6638
Mexico,2019,World,Textiles and Clothing,Export,Export Product share(%),1.5078
Mexico,2019,World,Footwear,Export,Export Product share(%),0.1613
Mexico,2019,World,Stone and Glass,Export,Export Product share(%),2.431
Mexico,2019,World,Metals,Export,Export Product share(%),4.045
Mexico,2019,World,Mach and Elec,Export,Export Product share(%),34.651
Mexico,2019,World,Transportation,Export,Export Product share(%),27.5066
Mexico,2019,World,Miscellaneous,Export,Export Product share(%),9.2248
Mexico,2019,World,Raw materials,Export,Export Product share(%),10.3459
Mexico,2019,World,Intermediate goods,Export,Export Product share(%),6.0122
Mexico,2019,World,Consumer goods,Export,Export Product share(%),28.8643
Mexico,2019,World,Capital goods,Export,Export Product share(%),47.0271
Mexico,2019,World,Raw materials,Import,Import Product share(%),3.9402
Mexico,2019,World,Intermediate goods,Import,Import Product share(%),16.544
Mexico,2019,World,Consumer goods,Import,Import Product share(%),26.795
Mexico,2019,World,Capital goods,Import,Import Product share(%),44.4937
Mexico,2018,World,Raw materials,Tariff,Weighted Average (%),0.900279246793304
Mexico,2018,World,Intermediate goods,Tariff,Weighted Average (%),0.502916830605659
Mexico,2018,World,Consumer goods,Tariff,Weighted Average (%),3.41981047138673
Mexico,2018,World,Capital goods,Tariff,Weighted Average (%),0.406161067116609
Mexico,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Mexico,2019,World,All Products,Trade Indicator,Country Growth (%),1.33955716982068
Mexico,2018,World,All Products,Tariff,Simple Average (%),3.27725999431889
Mexico,2018,World,All Products,Tariff,Weighted Average (%),1.20592789347278
Mexico,2018,World,All Products,Tariff,Maximum Rate (%),75
Mexico,2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),80.4331974455519
Mexico,2019,...,...,Trade Indicator,Index of export market penetration,13.5562625326205
Mexico,2019,...,...,Trade Indicator,HH Market concentration index,0.542791635973069
Mexico,2019,...,...,Development,Trade Balance (% of GDP),-0.250645779999999
Mexico,2019,...,...,Development,Trade in services (% of GDP),5.647770129
Mexico,2019,...,...,Development,Trade (% of GDP),77.91529344
Mexico,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",9480
