Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
North Macedonia,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3501.61600637
North Macedonia,2019,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,610.522541279999
North Macedonia,2019,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,351.09421404
North Macedonia,2019,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,238.52802871
North Macedonia,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,194.60678325
North Macedonia,2019,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1084.94157869
North Macedonia,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1075.15874332
North Macedonia,2019,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,765.00930961
North Macedonia,2019,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,711.39075677
North Macedonia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,544.87828269
North Macedonia,2019,World,Animal,Export,Export(US$ Mil),39.40361994
North Macedonia,2019,World,Vegetable,Export,Export(US$ Mil),196.15680806
North Macedonia,2019,World,Food Products,Export,Export(US$ Mil),459.57271447
North Macedonia,2019,World,Minerals,Export,Export(US$ Mil),309.11377654
North Macedonia,2019,World,Fuels,Export,Export(US$ Mil),149.15031363
North Macedonia,2019,World,Chemicals,Export,Export(US$ Mil),1670.16509237
North Macedonia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),131.261914697339
North Macedonia,2019,World,Hides and Skins,Export,Export(US$ Mil),7.81262562
North Macedonia,2019,World,Wood,Export,Export(US$ Mil),42.13104479
North Macedonia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),554.92248777
North Macedonia,2019,World,Footwear,Export,Export(US$ Mil),45.37655124
North Macedonia,2019,World,Stone and Glass,Export,Export(US$ Mil),72.1929362
North Macedonia,2019,World,Metals,Export,Export(US$ Mil),793.13236646
North Macedonia,2019,World,Mach and Elec,Export,Export(US$ Mil),1985.82906164
North Macedonia,2019,World,Transportation,Export,Export(US$ Mil),380.31141665
